time,open,high,low,close,vol
2006-04-17,0.7278,0.7387,0.727,0.7377,6232
2006-04-18,0.7378,0.743,0.7366,0.7426,8249
2006-04-19,0.7426,0.7484,0.7411,0.7468,8102
2006-04-20,0.7469,0.747,0.7357,0.7368,8497
2006-04-21,0.737,0.7464,0.7362,0.7441,8106
2006-04-24,0.7469,0.7486,0.7419,0.7436,8508
2006-04-25,0.7435,0.7484,0.7428,0.7454,7798
2006-04-26,0.7456,0.7547,0.743,0.7525,8384
2006-04-27,0.7526,0.7583,0.7491,0.7566,8488
2006-04-28,0.7567,0.7609,0.7535,0.7595,7858
2006-05-01,0.7588,0.764,0.7565,0.757,7421
2006-05-02,0.7569,0.7637,0.7551,0.7604,7777
2006-05-03,0.7603,0.7721,0.76,0.7696,8614
2006-05-04,0.7695,0.7732,0.7651,0.7723,7918
2006-05-05,0.7723,0.7747,0.7675,0.7719,7695
2006-05-08,0.7728,0.7746,0.7675,0.7678,7856
2006-05-09,0.7677,0.7745,0.7632,0.7742,8032
2006-05-10,0.7747,0.7772,0.7709,0.774,8374
2006-05-11,0.7741,0.7795,0.768,0.7755,8213
2006-05-12,0.7754,0.7791,0.7698,0.7723,8385
2006-05-15,0.7744,0.775,0.7594,0.7608,8677
2006-05-16,0.7609,0.7694,0.7598,0.7669,8227
2006-05-17,0.767,0.7727,0.7574,0.7579,8994
2006-05-18,0.7578,0.7676,0.7574,0.7647,8545
2006-05-19,0.7647,0.7656,0.7525,0.7585,8281
2006-05-22,0.7563,0.7569,0.7466,0.7538,8368
2006-05-23,0.7538,0.7596,0.7502,0.7509,8646
2006-05-24,0.7513,0.7562,0.7491,0.7534,8680
2006-05-25,0.7534,0.7623,0.7504,0.7617,8300
2006-05-26,0.7617,0.7617,0.7558,0.7577,7679
2006-05-29,0.7575,0.7597,0.7568,0.759,6507
2006-05-30,0.759,0.7649,0.7566,0.7618,8110
2006-05-31,0.7618,0.7655,0.7511,0.7522,8138
2006-06-01,0.7523,0.7532,0.744,0.7462,8261
2006-06-02,0.7463,0.7525,0.7445,0.751,7665
2006-06-05,0.7508,0.7547,0.7467,0.748,8384
2006-06-06,0.748,0.7487,0.7394,0.7411,8421
2006-06-07,0.7411,0.7435,0.7391,0.7412,8197
2006-06-08,0.7412,0.7467,0.7404,0.7426,9059
2006-06-09,0.7426,0.7506,0.7412,0.748,8247
2006-06-12,0.7485,0.7501,0.7442,0.7449,7629
2006-06-13,0.7449,0.7452,0.7366,0.7379,8895
2006-06-14,0.7379,0.7411,0.7344,0.738,8594
2006-06-15,0.7379,0.743,0.7363,0.7422,8137
2006-06-16,0.742,0.745,0.7373,0.7382,8188
2006-06-19,0.7378,0.7389,0.7357,0.7363,7721
2006-06-20,0.7361,0.7407,0.7359,0.7379,7945
2006-06-21,0.738,0.7406,0.734,0.7395,8110
2006-06-22,0.7395,0.7425,0.7321,0.7336,8525
2006-06-23,0.7336,0.7355,0.7304,0.7316,7990
2006-06-26,0.7315,0.7343,0.7292,0.732,7987
2006-06-27,0.732,0.7354,0.7314,0.7324,8174
2006-06-28,0.7325,0.7331,0.7269,0.7286,8247
2006-06-29,0.7289,0.7404,0.7272,0.7383,8650
2006-06-30,0.7383,0.7453,0.7381,0.7418,8543
2006-07-03,0.743,0.7463,0.7411,0.7427,7921
2006-07-04,0.7427,0.7472,0.7419,0.7451,7870
2006-07-05,0.745,0.7477,0.7399,0.7416,8706
2006-07-06,0.7416,0.7473,0.7408,0.7466,7949
2006-07-07,0.7466,0.7534,0.7452,0.7519,8173
2006-07-10,0.7514,0.7535,0.746,0.7474,8345
2006-07-11,0.7475,0.7536,0.7466,0.7522,8447
2006-07-12,0.7522,0.7557,0.7509,0.7525,8954
2006-07-13,0.7522,0.7569,0.7515,0.7541,8798
2006-07-14,0.7541,0.7551,0.748,0.7534,9321
2006-07-17,0.7532,0.7539,0.7467,0.7477,8684
2006-07-18,0.7476,0.7532,0.7445,0.7469,9310
2006-07-19,0.747,0.7515,0.7405,0.7509,9938
2006-07-20,0.751,0.7533,0.7489,0.7504,8442
2006-07-21,0.7504,0.7545,0.749,0.7525,7822
2006-07-24,0.7524,0.7554,0.7502,0.7545,8355
2006-07-25,0.7543,0.7567,0.7518,0.753,8553
2006-07-26,0.753,0.7623,0.7524,0.7609,8333
2006-07-27,0.7608,0.7663,0.7602,0.7625,8388
2006-07-28,0.7623,0.7687,0.7592,0.7672,7971
2006-07-31,0.767,0.7672,0.7642,0.7655,8324
2006-08-01,0.7653,0.7665,0.7596,0.7655,8851
2006-08-02,0.7655,0.7684,0.7631,0.7646,9287
2006-08-03,0.7644,0.7652,0.7585,0.7607,9573
2006-08-04,0.7606,0.7675,0.7585,0.766,8771
2006-08-07,0.7668,0.7669,0.7616,0.7627,7928
2006-08-08,0.7627,0.7644,0.7586,0.7594,8729
2006-08-09,0.7593,0.7669,0.7565,0.7646,8662
2006-08-10,0.7647,0.7718,0.7643,0.7677,9282
2006-08-11,0.7676,0.7704,0.7651,0.7673,8393
2006-08-14,0.766,0.7685,0.759,0.76,8214
2006-08-15,0.76,0.7657,0.7585,0.7652,8308
2006-08-16,0.7651,0.7702,0.7627,0.769,8356
2006-08-17,0.769,0.7692,0.7599,0.7614,9220
2006-08-18,0.7615,0.7625,0.7562,0.7585,7957
2006-08-21,0.7595,0.7649,0.7578,0.762,9417
2006-08-22,0.7618,0.7642,0.7606,0.7624,9162
2006-08-23,0.7624,0.7673,0.7616,0.7625,9114
2006-08-24,0.7628,0.7647,0.7597,0.7615,8665
2006-08-25,0.7614,0.7618,0.7551,0.7579,8438
2006-08-28,0.7574,0.7602,0.7563,0.7589,8647
2006-08-29,0.759,0.7648,0.7586,0.7633,9689
2006-08-30,0.7644,0.7659,0.7613,0.7632,10174
2006-08-31,0.7633,0.7651,0.7608,0.7639,9552
2006-09-01,0.7638,0.7678,0.7621,0.7671,8709
2006-09-04,0.7671,0.7722,0.7669,0.7707,8337
2006-09-05,0.7707,0.7722,0.7683,0.7706,8869
2006-09-06,0.7707,0.7713,0.7649,0.7662,8493
2006-09-07,0.7662,0.7685,0.7576,0.7596,9928
2006-09-08,0.7596,0.7598,0.7528,0.7546,10173
2006-09-11,0.7531,0.7549,0.7501,0.7509,9161
2006-09-12,0.751,0.7546,0.7501,0.7506,9307
2006-09-13,0.7505,0.7543,0.7483,0.7539,9768
2006-09-14,0.7537,0.7573,0.7511,0.7547,9071
2006-09-15,0.7545,0.7566,0.7502,0.7528,9122
2006-09-18,0.752,0.7561,0.7509,0.7554,8375
2006-09-19,0.7554,0.7577,0.7505,0.7514,8975
2006-09-20,0.7513,0.7549,0.7511,0.7528,9044
2006-09-21,0.7529,0.7583,0.7522,0.7571,10094
2006-09-22,0.7572,0.7578,0.7493,0.7513,9295
2006-09-25,0.751,0.7544,0.749,0.7539,9172
2006-09-26,0.7539,0.7558,0.7502,0.7513,9728
2006-09-27,0.7513,0.7529,0.7472,0.7514,9250
2006-09-28,0.7513,0.7517,0.7462,0.7486,8580
2006-09-29,0.7485,0.7493,0.7434,0.7457,8629
2006-10-02,0.7449,0.7494,0.7433,0.748,8000
2006-10-03,0.7479,0.7485,0.7423,0.7429,6879
2006-10-04,0.743,0.7465,0.7416,0.7455,7570
2006-10-05,0.7454,0.7476,0.7439,0.7453,5266
2006-10-06,0.7454,0.7483,0.7414,0.7426,4627
2006-10-09,0.7429,0.745,0.7415,0.7441,4790
2006-10-10,0.744,0.746,0.7425,0.7434,5006
2006-10-11,0.7436,0.7459,0.7416,0.7423,4869
2006-10-12,0.7426,0.7522,0.7416,0.752,5560
2006-10-13,0.7521,0.753,0.7488,0.7509,4519
2006-10-16,0.7507,0.7545,0.7492,0.7533,4984
2006-10-17,0.7534,0.7553,0.7521,0.7524,5134
2006-10-18,0.7523,0.7556,0.7523,0.7553,4970
2006-10-19,0.7555,0.7599,0.7542,0.7585,5034
2006-10-20,0.7587,0.7603,0.7573,0.7586,4538
2006-10-23,0.7585,0.7613,0.7564,0.7569,4648
2006-10-24,0.757,0.7588,0.7558,0.7583,5148
2006-10-25,0.7584,0.7623,0.758,0.7606,6066
2006-10-26,0.7607,0.7645,0.7605,0.7638,4551
2006-10-27,0.7639,0.7695,0.7623,0.768,4545
2006-10-30,0.7682,0.7702,0.7674,0.7689,5998
2006-10-31,0.7688,0.7753,0.7671,0.7738,5617
2006-11-01,0.7738,0.7766,0.7729,0.7743,5399
2006-11-02,0.7745,0.775,0.7706,0.7735,7029
2006-11-03,0.7738,0.7749,0.7684,0.7699,6115
2006-11-06,0.7695,0.772,0.7669,0.7717,5816
2006-11-07,0.7716,0.7761,0.7702,0.7722,5409
2006-11-08,0.7725,0.7732,0.7677,0.77,4337
2006-11-09,0.7702,0.7707,0.7644,0.7694,4371
2006-11-10,0.7695,0.7696,0.766,0.7668,3550
2006-11-13,0.7667,0.7677,0.7613,0.7628,5348
2006-11-14,0.7625,0.7673,0.7625,0.7653,5119
2006-11-15,0.7652,0.7663,0.763,0.7649,7410
