time,open,high,low,close,vol
2006-04-17,143.71,144.6,143.55,144.37,12044
2006-04-18,144.37,144.8,144.16,144.75,13801
2006-04-19,144.7,145.45,144.24,145.17,14039
2006-04-20,145.16,145.52,144.52,144.64,13919
2006-04-21,144.63,145.13,143.73,143.75,13082
2006-04-24,143.14,143.45,141.72,142.09,14088
2006-04-25,142.1,142.88,141.49,142.74,13453
2006-04-26,142.77,143.21,142.63,142.93,14377
2006-04-27,142.89,143.17,142.07,143.0,14560
2006-04-28,142.98,143.86,142.92,143.78,15291
2006-05-01,143.57,143.7,142.42,142.77,14962
2006-05-02,142.78,143.8,142.76,143.06,15242
2006-05-03,143.08,143.77,142.81,143.53,14516
2006-05-04,143.56,144.53,143.38,144.1,13540
2006-05-05,144.12,144.79,142.96,143.31,13570
2006-05-08,142.65,142.99,141.62,141.98,13925
2006-05-09,142.0,142.05,141.26,141.73,13552
2006-05-10,141.72,141.94,141.01,141.39,14215
2006-05-11,141.38,142.19,141.23,142.12,14340
2006-05-12,142.12,142.49,141.18,142.26,14243
2006-05-15,141.96,142.12,140.98,141.39,14379
2006-05-16,141.39,141.79,140.8,141.06,14084
2006-05-17,141.06,141.58,140.18,141.43,14263
2006-05-18,141.53,142.6,141.03,142.41,14470
2006-05-19,142.44,142.95,142.04,142.67,14042
2006-05-22,142.71,143.81,142.43,143.3,14140
2006-05-23,143.29,143.83,142.63,143.38,14326
2006-05-24,143.35,144.25,143.24,143.98,14732
2006-05-25,144.01,144.17,142.81,143.24,14138
2006-05-26,143.25,143.66,142.76,143.49,13818
2006-05-29,143.46,143.75,143.03,143.32,12853
2006-05-30,143.32,144.48,143.29,144.38,14381
2006-05-31,144.38,144.51,143.79,144.28,14405
2006-06-01,144.31,144.41,143.72,144.28,14250
2006-06-02,144.3,144.77,144.02,144.34,13455
2006-06-05,144.34,145.01,144.22,144.77,13494
2006-06-06,144.76,145.54,144.48,145.19,14073
2006-06-07,145.17,145.32,144.72,145.17,13670
2006-06-08,145.19,145.73,144.29,144.32,14449
2006-06-09,144.32,144.39,143.68,144.04,13888
2006-06-12,143.92,144.33,143.63,144.0,13347
2006-06-13,143.99,144.99,143.85,144.65,14248
2006-06-14,144.65,145.21,144.36,144.93,14063
2006-06-15,144.92,145.3,144.77,145.06,14060
2006-06-16,145.05,145.82,144.9,145.62,13201
2006-06-19,145.75,145.87,144.83,145.23,13533
2006-06-20,145.23,145.3,144.18,144.62,13583
2006-06-21,144.62,145.54,144.42,145.42,13648
2006-06-22,145.46,146.31,145.22,145.97,13757
2006-06-23,145.99,146.2,145.16,145.69,13322
2006-06-26,145.69,146.43,145.52,146.34,13577
2006-06-27,146.32,146.68,146.08,146.24,13904
2006-06-28,146.23,146.4,145.64,146.12,13611
2006-06-29,146.14,146.34,145.32,145.77,14430
2006-06-30,145.75,146.48,145.59,146.37,13819
2006-07-03,146.19,147.04,145.91,146.81,13396
2006-07-04,146.83,147.02,146.46,146.99,13804
2006-07-05,146.99,147.42,146.54,147.22,13932
2006-07-06,147.17,147.43,146.61,147.12,13139
2006-07-07,147.13,147.33,145.92,146.0,13037
2006-07-10,145.92,146.09,145.0,145.52,12887
2006-07-11,145.51,145.99,145.14,145.91,13410
2006-07-12,145.92,146.81,145.75,146.68,13059
2006-07-13,146.67,146.86,146.15,146.49,13939
2006-07-14,146.5,147.22,146.38,146.91,14025
2006-07-17,147.05,147.19,146.46,146.66,12500
2006-07-18,146.66,146.99,146.23,146.7,13681
2006-07-19,146.75,147.29,146.29,147.18,13453
2006-07-20,147.2,147.91,146.94,147.81,13383
2006-07-21,147.82,147.86,146.85,147.49,13048
2006-07-24,147.53,147.71,147.17,147.29,12625
2006-07-25,147.32,147.82,147.25,147.44,13484
2006-07-26,147.45,148.07,146.79,147.94,13169
2006-07-27,147.94,148.05,146.87,146.99,13097
2006-07-28,147.01,147.17,146.11,146.56,12936
2006-07-31,146.38,146.64,145.71,146.35,12180
2006-08-01,146.37,147.03,145.87,147.0,12858
2006-08-02,147.01,147.03,146.39,146.68,12895
2006-08-03,146.63,147.45,146.17,147.17,12956
2006-08-04,147.22,147.83,147.01,147.62,12445
2006-08-07,147.16,148.05,147.09,147.68,12155
2006-08-08,147.71,148.05,147.36,147.88,13001
2006-08-09,147.91,148.48,147.61,148.38,13141
2006-08-10,148.39,148.63,147.19,147.44,13067
2006-08-11,147.43,148.38,147.25,147.91,12739
2006-08-14,147.93,148.58,147.9,148.42,12406
2006-08-15,148.37,148.62,148.02,148.41,12713
2006-08-16,148.43,148.94,148.17,148.8,12527
2006-08-17,148.79,148.93,148.25,148.9,12926
2006-08-18,148.85,148.98,148.1,148.53,12067
2006-08-21,148.48,149.76,148.45,149.41,12349
2006-08-22,149.42,149.72,148.93,149.16,13049
2006-08-23,149.24,149.36,148.71,148.84,12779
2006-08-24,148.85,149.52,148.48,148.73,13056
2006-08-25,148.69,149.83,148.54,149.58,12372
2006-08-28,149.67,150.0,149.57,149.85,11368
2006-08-29,149.87,150.07,149.0,149.64,12690
2006-08-30,149.66,150.46,149.61,150.34,12712
2006-08-31,150.34,150.78,150.04,150.32,13456
2006-09-01,150.33,150.52,149.64,150.28,12444
2006-09-04,150.22,150.4,149.02,149.35,12588
2006-09-05,149.37,149.46,148.21,148.82,13029
2006-09-06,148.86,149.46,148.63,149.39,12959
2006-09-07,149.38,149.83,147.81,148.25,13630
2006-09-08,148.29,148.38,147.55,148.19,12896
2006-09-11,148.1,149.51,147.74,149.41,12660
2006-09-12,149.42,149.82,149.15,149.51,12757
2006-09-13,149.52,149.77,149.0,149.19,12744
2006-09-14,149.21,149.87,149.01,149.59,13239
2006-09-15,149.59,149.85,148.46,148.72,12790
2006-09-18,148.42,149.97,148.29,149.79,11785
2006-09-19,149.8,150.27,148.59,149.11,11844
2006-09-20,149.11,149.29,148.26,148.93,12884
2006-09-21,148.91,149.2,148.48,148.77,13580
2006-09-22,148.77,149.37,148.59,149.14,12585
2006-09-25,148.96,149.22,148.29,148.59,12209
2006-09-26,148.56,148.78,147.69,148.55,12809
2006-09-27,148.57,149.43,148.27,149.22,12941
2006-09-28,149.2,149.81,149.07,149.55,12546
2006-09-29,149.51,149.87,149.08,149.74,11800
2006-10-02,149.78,150.22,149.47,149.97,12752
2006-10-03,149.95,150.19,149.58,150.14,10603
2006-10-04,150.15,150.45,149.44,149.8,10509
2006-10-05,149.78,149.83,148.99,149.44,9546
2006-10-06,149.43,149.99,149.13,149.95,9017
2006-10-09,149.76,150.28,149.59,149.98,6500
2006-10-10,149.99,150.21,149.77,149.98,8947
2006-10-11,149.99,150.15,149.74,149.85,8482
2006-10-12,149.86,150.08,149.62,149.84,8002
2006-10-13,149.87,150.12,149.61,149.68,8160
2006-10-16,149.62,149.74,148.96,149.17,8125
2006-10-17,149.18,149.32,148.49,148.51,9153
2006-10-18,148.52,149.12,148.49,148.99,8839
2006-10-19,149.0,149.28,148.74,149.23,8370
2006-10-20,149.22,149.83,149.05,149.79,6694
2006-10-23,149.77,149.91,149.49,149.74,6664
2006-10-24,149.73,150.03,149.61,149.91,6702
2006-10-25,149.92,150.15,149.57,150.06,7715
2006-10-26,150.05,150.44,149.92,150.24,7473
2006-10-27,150.22,150.74,149.35,149.8,8017
2006-10-30,149.62,149.67,149.1,149.46,6903
2006-10-31,149.44,149.77,148.93,149.19,8203
2006-11-01,149.19,149.56,149.04,149.47,11547
2006-11-02,149.45,149.85,148.85,149.77,9468
2006-11-03,149.76,150.16,149.43,150.08,6473
2006-11-06,150.05,150.57,149.85,150.49,6654
2006-11-07,150.52,150.55,150.16,150.37,7857
2006-11-08,150.38,150.48,150.16,150.31,7047
2006-11-09,150.35,151.46,150.3,151.21,8430
2006-11-10,151.18,151.3,150.88,151.01,7985
2006-11-13,150.96,151.43,150.79,151.24,11487
2006-11-14,151.25,151.3,150.53,150.65,8706
2006-11-15,150.63,151.42,150.62,151.27,10936
2006-11-16,151.28,151.46,151.08,151.25,8210
2006-11-17,151.26,151.29,150.79,151.05,7334
2006-11-20,151.14,151.66,151.09,151.3,6424
2006-11-21,151.29,151.53,151.12,151.4,6636
2006-11-22,151.38,151.43,150.63,151.05,8120
2006-11-23,151.03,151.11,150.33,150.62,6316
2006-11-24,150.61,151.74,150.48,151.72,7275
2006-11-27,151.83,152.53,151.81,152.47,8551
2006-11-28,152.5,153.39,152.31,153.33,8618
2006-11-29,153.34,153.43,152.53,153.06,8368
2006-11-30,153.04,153.43,152.89,153.24,8370
2006-12-01,153.24,154.08,153.05,153.95,8105
2006-12-04,153.86,154.15,153.59,153.81,7246
2006-12-05,153.84,153.89,152.59,153.07,8034
2006-12-06,153.06,153.18,152.43,153.15,7844
2006-12-07,153.13,153.26,152.6,153.08,7027
2006-12-08,153.06,154.0,152.93,153.55,8887
2006-12-11,153.39,154.88,153.19,154.79,8200
2006-12-12,154.77,155.25,154.53,155.08,7508
2006-12-13,155.06,155.44,154.93,155.18,8244
2006-12-14,155.19,155.55,154.73,154.87,8348
2006-12-15,154.88,155.48,153.78,154.56,10007
2006-12-18,154.34,154.78,154.08,154.73,7430
2006-12-19,154.74,155.9,154.35,155.8,8737
2006-12-20,155.83,156.37,155.8,155.96,7710
2006-12-21,155.97,156.4,155.58,155.93,8684
2006-12-22,155.92,156.37,155.85,155.99,7496
2006-12-26,156.01,156.37,155.93,156.11,9433
2006-12-27,156.12,156.23,155.42,155.76,7980
2006-12-28,155.75,156.71,155.72,156.38,8729
2006-12-29,156.37,157.17,156.26,157.11,7616
2007-01-02,157.14,157.9,156.88,157.77,10223
2007-01-03,157.74,158.04,157.05,157.18,9123
2007-01-04,157.17,157.31,155.62,155.65,8388
2007-01-05,155.63,155.66,153.99,154.24,10427
2007-01-08,154.44,154.81,153.66,154.8,7116
2007-01-09,154.81,155.43,154.66,155.12,8509
2007-01-10,155.11,155.22,154.5,154.72,9224
2007-01-11,154.77,156.33,154.61,155.35,9237
2007-01-12,155.34,155.86,155.1,155.48,8313
2007-01-15,155.55,156.08,155.06,155.81,5853
2007-01-16,155.79,156.3,155.7,155.81,8501
2007-01-17,155.83,156.21,155.49,156.09,8117
2007-01-18,156.08,157.36,155.95,157.09,9971
2007-01-19,157.08,157.67,156.86,157.15,7692
2007-01-22,157.06,157.62,157.04,157.46,6872
2007-01-23,157.48,158.46,157.34,158.43,7971
2007-01-24,158.4,158.61,156.43,156.93,10686
2007-01-25,156.94,157.1,155.74,156.76,10461
2007-01-26,156.73,157.4,156.54,156.97,8888
2007-01-29,156.96,157.98,156.92,157.77,5751
2007-01-30,157.75,158.12,157.38,157.77,6729
2007-01-31,157.78,157.86,156.78,157.4,9360
2007-02-01,157.42,157.47,156.58,157.28,8694
2007-02-02,157.27,157.76,156.78,156.98,7270
2007-02-05,156.97,156.98,155.46,155.54,7126
2007-02-06,155.52,156.17,155.24,155.88,7339
2007-02-07,155.87,157.23,155.8,156.98,6329
2007-02-08,156.97,158.01,156.93,157.92,7457
2007-02-09,157.93,158.37,157.54,158.29,6642
2007-02-12,158.89,158.91,157.54,157.92,5874
2007-02-13,157.91,158.05,157.27,157.99,6728
2007-02-14,158.0,158.73,157.74,158.54,7475
2007-02-15,158.55,158.56,156.61,156.61,9698
2007-02-16,156.65,157.03,156.21,156.87,6843
2007-02-19,156.93,157.44,156.84,157.37,5119
2007-02-20,157.36,158.09,157.34,157.7,6117
2007-02-21,157.68,159.03,157.27,158.83,9224
2007-02-22,158.81,159.64,158.55,159.52,6736
2007-02-23,159.56,159.58,159.12,159.36,7094
2007-02-26,159.5,159.5,158.6,159.22,5404
2007-02-27,159.21,159.27,155.7,156.5,13169
2007-02-28,156.49,156.92,155.87,156.74,15556
2007-03-01,156.79,157.27,154.53,154.93,12395
2007-03-02,154.92,155.19,153.59,154.06,10278
2007-03-05,154.09,154.09,150.74,150.75,11733
2007-03-06,150.74,153.33,150.74,153.3,9568
2007-03-07,153.29,153.54,152.41,152.67,8915
2007-03-08,152.69,154.29,152.22,153.99,10650
2007-03-09,154.0,155.19,153.86,155.16,9029
2007-03-12,155.28,155.72,154.19,154.99,9946
2007-03-13,155.0,155.28,153.13,153.19,11119
2007-03-14,153.21,155.16,152.63,154.99,12006
2007-03-15,154.97,155.82,154.72,155.36,10701
2007-03-16,155.38,155.86,155.22,155.38,11574
2007-03-19,154.85,156.58,154.8,156.25,10100
2007-03-20,156.24,156.94,155.58,156.16,10916
2007-03-21,156.15,157.47,156.04,157.17,8244
2007-03-22,157.19,157.64,156.83,157.44,9724
2007-03-23,157.42,157.61,156.41,156.89,8176
2007-03-26,156.68,157.54,156.29,157.44,8668
2007-03-27,157.42,158.0,157.17,157.36,9601
2007-03-28,157.38,157.55,155.49,155.66,10663
2007-03-29,155.61,157.47,155.33,157.38,9353
2007-03-30,157.37,157.57,156.61,157.33,11283
2007-04-02,157.11,157.61,156.94,157.54,8546
2007-04-03,157.52,158.85,157.33,158.41,8019
2007-04-04,158.37,158.97,158.07,158.57,9327
2007-04-05,158.6,159.44,158.36,159.39,8503
2007-04-06,159.41,159.72,159.24,159.52,5003
2007-04-09,159.49,159.6,159.24,159.33,4755
2007-04-10,159.32,160.08,159.04,159.88,8065
