time,open,high,low,close,vol
2006-04-17,207.83,208.72,207.55,208.57,13985
2006-04-18,208.49,209.32,208.31,208.76,13762
2006-04-19,208.73,210.84,208.16,210.25,14609
2006-04-20,210.25,210.57,208.8,208.82,14091
2006-04-21,208.84,209.78,207.6,207.7,13038
2006-04-24,206.73,207.16,204.41,204.97,14288
2006-04-25,204.97,205.58,204.13,205.31,13576
2006-04-26,205.32,205.92,204.55,204.87,14359
2006-04-27,204.9,205.91,203.83,205.52,16158
2006-04-28,205.66,207.94,205.42,207.82,29110
2006-05-01,207.29,207.74,206.19,207.15,13740
2006-05-02,207.25,208.86,207.09,208.65,14739
2006-05-03,208.67,209.68,207.89,209.32,14242
2006-05-04,209.41,210.7,209.08,210.26,14140
2006-05-05,210.28,211.06,208.63,209.39,14089
2006-05-08,208.49,208.96,206.88,207.66,14086
2006-05-09,207.6,207.68,206.64,207.32,14154
2006-05-10,207.38,207.58,205.41,206.23,15190
2006-05-11,206.24,208.53,205.93,208.45,15301
2006-05-12,208.41,209.03,207.17,208.55,16509
2006-05-15,207.98,208.45,206.91,207.53,16138
2006-05-16,207.57,208.14,206.95,207.13,15602
2006-05-17,207.14,209.31,206.44,208.95,16921
2006-05-18,208.99,210.19,208.2,209.97,16331
2006-05-19,209.98,210.25,209.09,209.75,16636
2006-05-22,209.91,211.18,209.36,210.08,16041
2006-05-23,210.11,210.8,209.13,210.21,15942
2006-05-24,210.49,211.34,210.17,210.91,17640
2006-05-25,210.95,211.13,209.05,209.63,15961
2006-05-26,209.65,209.86,208.56,209.49,17693
2006-05-29,209.33,209.39,208.72,208.98,11150
2006-05-30,208.99,211.51,208.97,211.2,15511
2006-05-31,211.19,211.41,209.65,210.69,15936
2006-06-01,210.77,210.94,209.86,210.14,15597
2006-06-02,210.14,210.88,209.79,210.26,14697
2006-06-05,210.31,210.94,209.53,210.05,15151
2006-06-06,210.05,211.28,209.89,210.65,15483
2006-06-07,210.66,211.04,210.38,210.62,14442
2006-06-08,210.6,211.17,210.19,210.37,15948
2006-06-09,210.3,210.37,209.6,209.79,14316
2006-06-12,209.86,210.96,209.84,210.85,13833
2006-06-13,210.84,212.14,210.5,211.49,15324
2006-06-14,211.55,212.48,211.08,211.9,15072
2006-06-15,211.91,212.85,211.67,212.31,15306
2006-06-16,212.32,213.4,212.14,213.14,14224
2006-06-19,213.42,213.76,211.94,212.55,14142
2006-06-20,212.51,212.72,211.28,211.72,13870
2006-06-21,211.69,212.23,211.24,211.9,13723
2006-06-22,211.94,212.7,211.41,212.28,15798
2006-06-23,212.29,212.52,210.86,211.68,14781
2006-06-26,211.85,212.19,211.39,211.97,13302
2006-06-27,211.95,212.4,211.38,211.75,13981
2006-06-28,211.76,212.1,211.06,211.7,14054
2006-06-29,211.73,211.98,209.91,210.26,15366
2006-06-30,210.22,211.82,209.85,211.64,14966
2006-07-03,211.23,211.96,210.79,211.37,13821
2006-07-04,211.34,212.02,210.98,211.95,14348
2006-07-05,211.97,212.56,211.52,212.16,14249
2006-07-06,212.19,212.39,211.2,211.53,13966
2006-07-07,211.54,211.86,210.73,210.95,14010
2006-07-10,210.71,210.98,209.54,210.4,13476
2006-07-11,210.46,211.03,210.0,210.81,14667
2006-07-12,210.8,212.18,210.66,211.78,14925
2006-07-13,211.79,212.83,211.43,212.74,13945
2006-07-14,212.73,213.8,212.63,213.52,14747
2006-07-17,213.89,213.92,212.75,213.12,13713
2006-07-18,213.13,214.75,212.57,214.22,14807
2006-07-19,214.27,215.46,213.85,215.26,14722
2006-07-20,215.28,216.61,214.97,216.32,14683
2006-07-21,216.34,216.44,214.92,215.76,14007
2006-07-24,215.96,216.41,215.62,215.85,13449
2006-07-25,215.88,216.32,215.44,215.68,15073
2006-07-26,215.67,216.25,214.67,215.75,13916
2006-07-27,215.77,215.89,214.92,215.11,15272
2006-07-28,215.14,215.33,213.55,213.71,14425
2006-07-31,213.63,214.45,212.96,214.13,13751
2006-08-01,214.11,215.3,213.57,215.05,14756
2006-08-02,215.08,215.48,214.35,215.23,14486
2006-08-03,215.23,217.47,214.95,216.99,14189
2006-08-04,217.03,218.83,216.9,218.79,14419
2006-08-07,217.84,219.8,217.76,219.36,13174
2006-08-08,219.42,220.11,218.93,219.88,14070
2006-08-09,219.83,220.2,219.16,219.69,14525
2006-08-10,219.74,219.97,218.01,218.25,15265
2006-08-11,218.25,220.37,218.03,219.8,14265
2006-08-14,219.91,220.62,219.81,220.33,13140
2006-08-15,220.29,220.62,219.66,219.84,14119
2006-08-16,219.89,220.29,219.25,219.7,13759
2006-08-17,219.72,219.77,218.39,218.92,14902
2006-08-18,218.78,218.92,217.47,217.89,13114
2006-08-21,217.79,219.88,217.69,219.47,13052
2006-08-22,219.43,220.4,219.23,219.93,14462
2006-08-23,219.99,220.84,219.51,220.27,13916
2006-08-24,220.34,220.58,219.75,219.88,15209
2006-08-25,219.94,221.69,219.71,221.49,15755
2006-08-28,221.41,222.41,221.15,221.95,12087
