time,open,high,low,close,vol
2006-04-17,0.6175,0.6246,0.6174,0.624,3268
2006-04-18,0.6237,0.6314,0.6232,0.6311,3057
2006-04-19,0.6312,0.6357,0.629,0.6344,3492
2006-04-20,0.6347,0.6354,0.6239,0.6256,6987
2006-04-21,0.6257,0.6355,0.6243,0.6331,6187
2006-04-24,0.6344,0.6371,0.6267,0.628,5135
2006-04-25,0.6281,0.6307,0.623,0.6257,5641
2006-04-26,0.6256,0.6343,0.6253,0.6316,3733
2006-04-27,0.6317,0.6351,0.6268,0.634,6286
2006-04-28,0.6338,0.6387,0.6317,0.6383,5443
2006-05-01,0.6376,0.646,0.635,0.6354,5050
2006-05-02,0.6353,0.6412,0.6337,0.6385,2629
2006-05-03,0.6387,0.6443,0.6379,0.6414,3521
2006-05-04,0.641,0.6437,0.6362,0.6408,5785
2006-05-05,0.6407,0.6435,0.6381,0.641,8193
2006-05-08,0.6419,0.6429,0.6313,0.6324,4823
2006-05-09,0.6325,0.6337,0.624,0.6305,5823
2006-05-10,0.6307,0.6318,0.6234,0.6265,5881
2006-05-11,0.6264,0.633,0.6203,0.6296,7976
2006-05-12,0.6295,0.6331,0.6252,0.6276,5345
2006-05-15,0.6293,0.6297,0.6183,0.6202,8695
2006-05-16,0.6203,0.6281,0.6192,0.6262,4870
2006-05-17,0.6261,0.6297,0.6183,0.6223,5139
2006-05-18,0.6222,0.6264,0.6208,0.6225,4764
2006-05-19,0.6226,0.6235,0.6154,0.6197,4695
2006-05-22,0.6187,0.6228,0.6141,0.6223,3365
2006-05-23,0.6222,0.6308,0.6202,0.6219,8278
2006-05-24,0.6218,0.6348,0.6214,0.6324,5144
2006-05-25,0.6323,0.6416,0.6316,0.6405,4564
2006-05-26,0.6406,0.6406,0.6316,0.6343,3111
2006-05-29,0.6344,0.6357,0.6328,0.6351,4367
2006-05-30,0.6348,0.6412,0.6328,0.64,10146
2006-05-31,0.6399,0.6427,0.6338,0.6341,4779
2006-06-01,0.6343,0.6352,0.6271,0.6273,5209
2006-06-02,0.6274,0.6331,0.6229,0.6303,6750
2006-06-05,0.6309,0.6352,0.6303,0.6309,6763
2006-06-06,0.631,0.6326,0.626,0.6279,9228
2006-06-07,0.628,0.6298,0.6225,0.6284,9674
2006-06-08,0.6283,0.6304,0.6242,0.6253,6128
2006-06-09,0.6254,0.6345,0.625,0.6334,4533
2006-06-12,0.6322,0.6336,0.6282,0.6285,7527
2006-06-13,0.6286,0.6289,0.6191,0.6212,6158
2006-06-14,0.6211,0.6263,0.619,0.6235,4286
2006-06-15,0.6233,0.6238,0.6201,0.6228,3684
2006-06-16,0.6229,0.6251,0.6156,0.6175,3204
2006-06-19,0.6158,0.618,0.6147,0.6161,7109
2006-06-20,0.6162,0.6219,0.6158,0.6189,3942
2006-06-21,0.6188,0.6222,0.6159,0.6198,6248
2006-06-22,0.6199,0.6208,0.6075,0.609,8822
2006-06-23,0.6091,0.6116,0.6042,0.6077,4942
2006-06-26,0.6071,0.6089,0.6025,0.6039,3722
2006-06-27,0.604,0.6086,0.602,0.6041,3902
2006-06-28,0.6042,0.6053,0.5928,0.5953,5752
2006-06-29,0.5955,0.6069,0.593,0.6033,4664
2006-06-30,0.6034,0.6121,0.6031,0.6081,12495
2006-07-03,0.6085,0.6108,0.6045,0.6069,3189
2006-07-04,0.6067,0.6114,0.6063,0.6106,3214
2006-07-05,0.6107,0.6117,0.6032,0.6041,3649
