time,open,high,low,close,vol
2006-04-17,1.1516,1.1537,1.1433,1.1465,7066
2006-04-18,1.1461999999999999,1.1471,1.1396,1.1403,8494
2006-04-19,1.1408,1.142,1.1349,1.1358,8424
2006-04-20,1.1358,1.1427,1.135,1.1399,8253
2006-04-21,1.1398,1.1418,1.1356,1.1373,8014
2006-04-24,1.1358,1.1404,1.134,1.137,8437
2006-04-25,1.1371,1.1391,1.1303,1.1309,7906
2006-04-26,1.131,1.1337,1.1252,1.1278,8237
2006-04-27,1.1276,1.1319,1.1215,1.1231,8376
2006-04-28,1.1231,1.1257,1.1162,1.1171,8025
2006-05-01,1.1175,1.1191,1.1111,1.1146,7602
2006-05-02,1.1147,1.1169,1.1051,1.1072,8251
2006-05-03,1.1069,1.1101,1.1011,1.1086,8276
2006-05-04,1.1086,1.1146,1.105,1.1088,8506
2006-05-05,1.1086,1.1112,1.1045,1.1061,7621
2006-05-08,1.1056,1.1137,1.1023,1.1127,8172
2006-05-09,1.1127,1.1168,1.0973,1.099,8317
2006-05-10,1.099,1.1033,1.0977999999999999,1.1015,8419
2006-05-11,1.1013,1.1084,1.0977,1.1035,8426
2006-05-12,1.1035,1.1102,1.0993,1.1091,9139
2006-05-15,1.1086,1.1179000000000001,1.1077,1.1129,9131
2006-05-16,1.113,1.1176,1.1062,1.1072,8507
2006-05-17,1.1072,1.1155,1.1013,1.1154,9027
2006-05-18,1.1156,1.1226,1.1096,1.1203,9059
2006-05-19,1.1204,1.1276,1.117,1.1191,8927
2006-05-22,1.1205,1.1271,1.1123,1.1149,7910
2006-05-23,1.115,1.1261,1.1124,1.1243,8727
2006-05-24,1.125,1.1268,1.1179999999999999,1.1197,9058
2006-05-25,1.1195,1.1233,1.1055,1.1065,8817
2006-05-26,1.1063,1.1114,1.1053,1.1072,8058
2006-05-29,1.1042,1.1078000000000001,1.1028,1.106,7361
2006-05-30,1.1059,1.1062,1.0973,1.0987,8743
2006-05-31,1.0986,1.1039,1.093,1.1012,8573
2006-06-01,1.1014,1.1103,1.1003,1.1025,8405
2006-06-02,1.1026,1.1057,1.0974,1.101,8113
2006-06-05,1.1013,1.1087,1.0975,1.1068,8283
2006-06-06,1.1065,1.1176,1.105,1.1133,8661
2006-06-07,1.1135,1.1166,1.1097,1.1131,8517
2006-06-08,1.1129,1.1247,1.1111,1.1221,9184
2006-06-09,1.1222,1.1234,1.1049,1.1072,9111
2006-06-12,1.1063,1.1077,1.0958,1.1007,8619
2006-06-13,1.1008,1.1145,1.0971,1.1141,8898
2006-06-14,1.1138,1.1177,1.1083,1.1128,8607
2006-06-15,1.1128,1.1192,1.1108,1.112,8972
2006-06-16,1.1121,1.1255,1.1109,1.1228,8098
2006-06-19,1.1221,1.1257,1.1185,1.1206,8552
2006-06-20,1.1206,1.125,1.1152,1.1177,8526
2006-06-21,1.1178,1.1184,1.1031,1.1081,8606
2006-06-22,1.1082,1.1204,1.1069,1.1182,8886
2006-06-23,1.1182,1.1291,1.1177,1.123,8649
2006-06-26,1.1205,1.1254,1.117,1.1236,8188
2006-06-27,1.1238,1.1253,1.1191,1.1235,8442
2006-06-28,1.1235,1.1271,1.1205,1.1236,8444
2006-06-29,1.1234,1.1244,1.1093,1.1105,9040
2006-06-30,1.1105,1.1181,1.108,1.1164,8823
2006-07-03,1.1168,1.119,1.1086,1.1122,8343
2006-07-04,1.1122,1.1132,1.1055,1.1088,8160
2006-07-05,1.1091,1.1144,1.1041,1.1132,8652
2006-07-06,1.1133,1.1154,1.1085,1.1131,8589
2006-07-07,1.113,1.1155,1.1085,1.1133,8383
2006-07-10,1.1143,1.1265,1.1132,1.1234,8454
2006-07-11,1.1232,1.1346,1.1223,1.1317,9013
2006-07-12,1.1319,1.1402,1.131,1.1334,9490
2006-07-13,1.1338,1.1354,1.1287,1.1314,9162
2006-07-14,1.1314,1.1332,1.1254,1.1276,8786
2006-07-17,1.1279,1.1372,1.1274,1.1358,8604
2006-07-18,1.1360000000000001,1.1379,1.1306,1.1366,8939
2006-07-19,1.1362,1.1408,1.1313,1.1346,9009
2006-07-20,1.1343,1.1355,1.1283,1.1333,8877
2006-07-21,1.1332,1.1398,1.1261,1.1367,8824
2006-07-24,1.1376,1.1461000000000001,1.1374,1.1404,8865
2006-07-25,1.1401,1.1438,1.1377,1.1416,10098
2006-07-26,1.1413,1.1431,1.1337,1.1355,9142
2006-07-27,1.1355,1.1389,1.1287,1.1351,9679
2006-07-28,1.1349,1.1374,1.1282,1.1313,8680
2006-07-31,1.1301,1.1323,1.1219999999999999,1.1319,8687
2006-08-01,1.1320000000000001,1.1375,1.1293,1.1307,9049
2006-08-02,1.1309,1.1323,1.1245,1.1263,9200
2006-08-03,1.1264,1.1280000000000001,1.1228,1.125,8877
2006-08-04,1.125,1.1349,1.1231,1.1269,8781
2006-08-07,1.1271,1.1273,1.1174,1.1202,7965
2006-08-08,1.1201,1.1243,1.1179000000000001,1.1233,8918
2006-08-09,1.1233,1.1257,1.1172,1.12,8311
2006-08-10,1.1198,1.1286,1.1186,1.1273,8893
2006-08-11,1.1272,1.1284,1.1171,1.125,9135
2006-08-14,1.1257,1.1282,1.1206,1.1276,8414
2006-08-15,1.1278,1.1322,1.1209,1.1224,9037
2006-08-16,1.1222,1.1241,1.1142,1.1198,8496
2006-08-17,1.1198,1.1236,1.1153,1.1226,8747
2006-08-18,1.123,1.1275,1.1198,1.1246,8273
2006-08-21,1.1256,1.1259000000000001,1.1166,1.1176,8737
2006-08-22,1.1176,1.1205,1.1145,1.1155,8509
2006-08-23,1.1155,1.1162,1.1047,1.1124,9001
2006-08-24,1.1123,1.1136,1.1074,1.1101,8796
2006-08-25,1.11,1.1108,1.1052,1.1092,8280
2006-08-28,1.1091,1.1127,1.1063,1.1113,7709
2006-08-29,1.1109,1.1131,1.1056,1.1081,8585
2006-08-30,1.1078000000000001,1.1116,1.1054,1.1086,8429
2006-08-31,1.1085,1.1118,1.103,1.1037,9046
2006-09-01,1.104,1.1077,1.1034,1.1045,8266
2006-09-04,1.1043,1.108,1.1041,1.1071,6946
2006-09-05,1.107,1.1141,1.1064,1.1111,9040
2006-09-06,1.1112,1.1141,1.1044,1.1058,8903
2006-09-07,1.1055,1.1111,1.1042,1.1101,9683
2006-09-08,1.1102,1.1213,1.1091,1.1202,9605
2006-09-11,1.121,1.123,1.1174,1.1214,8504
2006-09-12,1.1215,1.1224,1.1155,1.1202,6845
2006-09-13,1.1203,1.1234,1.1171,1.1188,5720
2006-09-14,1.1189,1.1201,1.1118,1.1179999999999999,6110
2006-09-15,1.1181,1.1219999999999999,1.1171,1.119,5311
2006-09-18,1.1191,1.1221,1.116,1.1175,5171
2006-09-19,1.1179000000000001,1.1285,1.1171,1.1272,6358
2006-09-20,1.1273,1.1294,1.1254,1.1279,7543
2006-09-21,1.1276,1.1285,1.1163,1.1174,5689
2006-09-22,1.1173,1.1205,1.1118,1.1174,5269
2006-09-25,1.1173,1.1189,1.1141,1.117,4637
2006-09-26,1.1171,1.1182,1.1124,1.1133,5531
2006-09-27,1.1134,1.1165,1.1089,1.1115,4944
2006-09-28,1.1116,1.1124,1.1085,1.1106,5601
2006-09-29,1.1107,1.1189,1.11,1.1178,5634
2006-10-02,1.1175,1.1219,1.1144,1.116,5116
2006-10-03,1.1159,1.1226,1.1146,1.1224,4815
2006-10-04,1.1225,1.1304,1.1217,1.1263,6940
2006-10-05,1.1262,1.1287,1.1239,1.1256,4563
2006-10-06,1.1255,1.1280999999999999,1.1199,1.1253,4601
2006-10-09,1.1263,1.1265,1.1211,1.1227,2290
2006-10-10,1.1228,1.1337,1.1226,1.1335,4496
2006-10-11,1.1336,1.1384,1.1328,1.1375,4087
2006-10-12,1.1376,1.1384,1.133,1.1337,3820
2006-10-13,1.1336,1.1383,1.1320000000000001,1.1377,3421
2006-10-16,1.1372,1.1392,1.1346,1.1367,3812
2006-10-17,1.1368,1.1413,1.1349,1.141,4417
2006-10-18,1.1409,1.141,1.1354,1.1359,3917
2006-10-19,1.1358,1.1371,1.1262,1.1280999999999999,5525
2006-10-20,1.1279,1.1288,1.1203,1.1252,4264
2006-10-23,1.1249,1.1287,1.124,1.1278,3154
2006-10-24,1.1280999999999999,1.1320999999999999,1.1246,1.127,3508
2006-10-25,1.1269,1.1286,1.123,1.1236,3637
2006-10-26,1.1235,1.1306,1.1211,1.1226,4732
2006-10-27,1.1225,1.1259000000000001,1.1177,1.1193,3748
2006-10-30,1.1196,1.1265,1.1176,1.1256,3621
2006-10-31,1.1253,1.1286,1.1199,1.1223,4401
2006-11-01,1.1224,1.1351,1.1208,1.1326,6141
2006-11-02,1.1325,1.1372,1.1302,1.1328,4579
2006-11-03,1.133,1.1354,1.1274,1.1297,3978
2006-11-06,1.1292,1.1363,1.1284,1.1289,3298
2006-11-07,1.129,1.1305,1.1254,1.1289,4222
2006-11-08,1.129,1.1324,1.1264,1.1293,3752
2006-11-09,1.1292,1.1331,1.1279,1.1280000000000001,3814
2006-11-10,1.1282,1.1323,1.1264,1.1320999999999999,3819
2006-11-13,1.1309,1.1395,1.1302,1.1371,3570
2006-11-14,1.1372,1.1402,1.1342,1.1374,4205
2006-11-15,1.1373,1.1426,1.1358,1.1384,3742
2006-11-16,1.1383,1.1424,1.1364,1.1421999999999999,3758
2006-11-17,1.1424,1.1473,1.1403,1.1465,4624
2006-11-20,1.1463,1.1482999999999999,1.142,1.1461000000000001,3460
2006-11-21,1.1461999999999999,1.1492,1.1442,1.146,4040
2006-11-22,1.1461999999999999,1.154,1.1379,1.142,4414
2006-11-23,1.1421000000000001,1.1425,1.1395,1.142,2504
2006-11-24,1.1418,1.1426,1.1304,1.1345,4127
2006-11-27,1.1323,1.1349,1.1301,1.133,3586
2006-11-28,1.1329,1.1334,1.1285,1.1309,4386
2006-11-29,1.1308,1.1393,1.1293,1.1388,4450
2006-11-30,1.139,1.1435,1.1365,1.1409,4589
2006-12-01,1.1409,1.1464,1.1369,1.1446,4769
2006-12-04,1.1436,1.1475,1.1396,1.1409,4051
2006-12-05,1.1408,1.1431,1.1375,1.1426,3923
