time,open,high,low,close,vol
2006-04-17,1.2971,1.2974,1.2752,1.2793,9202
2006-04-18,1.2793999999999999,1.2821,1.2665,1.2668,10375
2006-04-19,1.267,1.2763,1.2650000000000001,1.267,10181
2006-04-20,1.2669000000000001,1.2819,1.2666,1.2782,10065
2006-04-21,1.2784,1.2828,1.2727,1.2747,9904
2006-04-24,1.2716,1.275,1.2655,1.2686,9407
2006-04-25,1.2687,1.2735,1.2639,1.2678,9688
2006-04-26,1.268,1.2745,1.2669000000000001,1.2708,9445
2006-04-27,1.2709,1.2752,1.2576,1.2602,9951
2006-04-28,1.26,1.2615,1.2375,1.2381,10221
2006-05-01,1.2386,1.2443,1.2285,1.2425,9043
2006-05-02,1.2427,1.2452,1.2324,1.2374,9459
2006-05-03,1.2372,1.2402,1.2293,1.2368000000000001,9568
2006-05-04,1.2368000000000001,1.2424,1.2248999999999999,1.2283,10613
2006-05-05,1.2283,1.232,1.2214,1.2265,9161
2006-05-08,1.2242,1.23,1.2181,1.2286,8970
2006-05-09,1.2284,1.2322,1.2182,1.2203,9200
2006-05-10,1.22,1.2223,1.2123,1.219,9711
2006-05-11,1.2189,1.2308,1.2086999999999999,1.2135,9757
2006-05-12,1.2134,1.2136,1.1963,1.1979,10224
2006-05-15,1.1956,1.2137,1.1918,1.2114,10005
2006-05-16,1.2116,1.217,1.2055,1.2071,9500
2006-05-17,1.2071,1.2191,1.2004,1.2163,9970
2006-05-18,1.2163,1.2171,1.2028,1.2045,10009
2006-05-19,1.2045,1.2243,1.204,1.2167,10006
2006-05-22,1.2174,1.2235,1.2017,1.2046999999999999,9477
2006-05-23,1.2046999999999999,1.2128,1.2029,1.2116,9793
2006-05-24,1.2125,1.2209,1.2024,1.218,13155
2006-05-25,1.2178,1.2206,1.2145,1.2151,9281
2006-05-26,1.2149,1.2303,1.2138,1.2257,9194
2006-05-29,1.227,1.2282,1.2222,1.2252,9366
2006-05-30,1.2254,1.2255,1.2067,1.2111,10353
2006-05-31,1.2112,1.2198,1.2068,1.2179,9371
2006-06-01,1.2178,1.2297,1.2173,1.2199,10149
2006-06-02,1.2202,1.223,1.2051,1.2092,9574
2006-06-05,1.2067,1.2084,1.2016,1.2079,9287
2006-06-06,1.2081,1.2184,1.204,1.2156,9649
2006-06-07,1.2157,1.2245,1.2139,1.2204,9390
2006-06-08,1.2202,1.2366,1.2184,1.232,10011
2006-06-09,1.2321,1.2368000000000001,1.2272,1.2311,9160
2006-06-12,1.2342,1.2371,1.2291,1.2343,9839
2006-06-13,1.2345,1.241,1.2302,1.2388,10642
2006-06-14,1.2389000000000001,1.24,1.2266,1.231,10197
2006-06-15,1.2309,1.2345,1.2258,1.2313,10115
