time,open,high,low,close,vol
2006-04-17,118.56,118.58,117.52,117.8,8609
2006-04-18,117.78,118.24,117.0,117.04,10592
2006-04-19,117.04,117.97,116.75,117.3,11066
2006-04-20,117.29,117.92,117.27,117.44,10195
2006-04-21,117.45,117.79,116.46,116.48,10361
2006-04-24,115.69,115.99,114.23,114.75,10507
2006-04-25,114.75,115.03,114.28,114.85,10290
2006-04-26,114.88,115.4,114.61,114.82,10370
2006-04-27,114.82,115.14,113.82,114.21,10371
2006-04-28,114.18,114.5,113.65,113.83,10172
2006-05-01,113.67,113.86,112.34,113.58,9489
2006-05-02,113.61,114.05,113.08,113.42,9925
2006-05-03,113.43,113.89,112.88,113.65,9739
2006-05-04,113.64,114.21,113.24,113.5,10230
2006-05-05,113.5,114.04,112.24,112.6,9015
2006-05-08,111.93,112.21,110.97,111.79,10019
2006-05-09,111.75,111.96,110.87,111.06,9779
2006-05-10,111.06,111.28,110.1,110.62,10326
2006-05-11,110.62,111.54,110.1,110.74,10340
2006-05-12,110.73,110.75,109.31,110.07,10284
2006-05-15,109.64,110.61,109.33,110.44,10833
2006-05-16,110.48,110.89,109.65,109.69,10408
2006-05-17,109.69,111.36,108.97,111.17,10762
2006-05-18,111.17,111.27,110.31,110.79,10527
2006-05-19,110.79,112.26,110.42,111.7,10168
2006-05-22,111.84,112.96,111.28,111.43,10496
2006-05-23,111.45,112.02,110.96,112.01,10339
2006-05-24,112.19,112.99,111.62,112.88,11525
2006-05-25,112.89,112.98,111.66,111.68,9923
2006-05-26,111.69,112.85,111.46,112.67,9824
2006-05-29,112.67,112.73,112.14,112.41,8322
2006-05-30,112.43,112.83,111.62,112.14,10648
2006-05-31,112.13,112.72,111.44,112.58,10380
2006-06-01,112.58,113.4,112.36,112.59,10575
2006-06-02,112.61,112.95,111.32,111.75,9946
2006-06-05,111.66,112.32,111.43,112.2,9637
2006-06-06,112.2,113.58,112.06,113.21,10495
2006-06-07,113.21,113.71,112.91,113.41,10158
2006-06-08,113.39,114.74,113.37,114.12,10546
2006-06-09,114.06,114.36,113.54,113.98,9844
2006-06-12,114.1,114.6,113.96,114.45,9160
2006-06-13,114.44,115.46,114.25,115.31,10291
2006-06-14,115.32,115.42,114.46,114.99,10111
2006-06-15,114.99,115.23,114.63,114.86,9713
2006-06-16,114.83,115.22,114.54,115.19,9092
2006-06-19,115.23,115.79,115.14,115.48,9574
2006-06-20,115.48,115.65,114.62,114.9,9382
2006-06-21,114.9,115.25,114.36,114.82,9182
2006-06-22,114.82,116.31,114.67,116.13,9583
2006-06-23,116.13,116.61,115.76,116.45,9168
2006-06-26,116.49,116.57,116.09,116.27,8544
2006-06-27,116.26,116.72,115.86,116.28,9373
2006-06-28,116.29,116.51,116.05,116.45,9061
2006-06-29,116.45,116.65,114.84,115.06,9722
2006-06-30,115.06,115.25,114.17,114.43,9639
2006-07-03,114.33,114.97,114.09,114.76,9247
2006-07-04,114.76,114.95,114.37,114.93,9012
2006-07-05,114.93,115.81,114.57,115.7,10268
2006-07-06,115.68,115.72,114.88,115.13,10059
2006-07-07,115.13,115.32,113.82,113.97,9512
2006-07-10,113.88,114.37,113.44,114.23,9155
2006-07-11,114.21,114.71,113.91,114.28,9633
2006-07-12,114.3,115.74,114.17,115.5,10088
2006-07-13,115.47,115.53,114.97,115.4,9552
2006-07-14,115.4,116.42,115.33,116.11,10297
2006-07-17,116.38,117.31,116.14,117.11,8966
2006-07-18,117.12,117.61,116.68,117.29,9786
2006-07-19,117.29,117.89,116.64,116.87,9795
2006-07-20,116.87,117.15,116.54,117.06,9474
2006-07-21,117.06,117.06,115.82,116.06,9349
2006-07-24,116.17,116.95,116.15,116.62,9589
2006-07-25,116.63,117.42,116.52,117.2,9588
2006-07-26,117.19,117.21,116.17,116.36,9915
2006-07-27,116.36,116.45,115.29,115.78,10056
2006-07-28,115.81,116.04,114.61,114.75,9680
2006-07-31,114.68,114.86,114.17,114.64,9295
2006-08-01,114.62,115.4,114.48,114.63,10278
2006-08-02,114.64,114.9,114.2,114.65,9900
2006-08-03,114.66,115.32,114.53,114.97,10047
2006-08-04,114.96,115.57,113.97,114.45,9575
2006-08-07,114.23,115.25,114.16,115.21,8938
2006-08-08,115.21,115.4,114.56,115.34,9632
2006-08-09,115.35,115.76,114.78,115.33,9626
2006-08-10,115.36,115.64,114.66,115.25,10643
2006-08-11,115.25,116.46,115.11,116.4,9950
2006-08-14,116.37,116.77,116.16,116.65,8639
2006-08-15,116.61,116.75,115.84,116.1,9631
2006-08-16,116.11,116.39,115.63,115.84,9208
2006-08-17,115.85,116.2,115.18,116.08,10002
2006-08-18,116.04,116.11,115.45,115.81,9268
2006-08-21,115.76,116.0,115.34,115.95,9005
2006-08-22,115.98,116.86,115.9,116.5,9871
2006-08-23,116.53,116.66,116.08,116.39,9077
2006-08-24,116.39,116.61,116.15,116.5,9241
2006-08-25,116.5,117.43,116.42,117.23,9563
2006-08-28,117.29,117.35,116.86,117.22,9104
2006-08-29,117.22,117.26,116.51,116.64,9776
2006-08-30,116.65,117.3,116.58,117.13,9895
2006-08-31,117.11,117.51,116.9,117.36,10116
2006-09-01,117.37,117.5,116.94,117.1,9190
2006-09-04,116.95,117.05,115.88,116.14,8719
2006-09-05,116.14,116.21,115.57,116.11,9724
2006-09-06,116.14,116.92,115.96,116.69,9911
2006-09-07,116.64,117.09,115.96,116.44,10009
2006-09-08,116.44,117.05,116.09,116.91,9625
2006-09-11,116.95,117.8,116.61,117.64,9381
2006-09-12,117.67,118.17,117.37,117.9,9742
2006-09-13,117.88,118.04,117.35,117.47,9730
2006-09-14,117.48,117.79,117.3,117.57,9788
2006-09-15,117.56,118.13,117.35,117.55,9408
2006-09-18,117.47,118.31,117.46,117.9,9599
2006-09-19,117.89,118.14,116.99,117.67,10094
2006-09-20,117.69,117.71,116.97,117.28,9800
2006-09-21,117.36,117.5,116.22,116.37,10186
2006-09-22,116.42,116.64,116.07,116.58,9333
2006-09-25,116.46,116.77,116.12,116.54,10731
2006-09-26,116.55,117.24,116.26,117.11,12948
2006-09-27,117.1,117.64,116.89,117.45,12462
2006-09-28,117.46,117.93,117.33,117.78,11744
2006-09-29,117.77,118.19,117.52,118.17,11408
2006-10-02,118.09,118.39,117.53,117.73,16490
2006-10-03,117.74,117.98,117.38,117.96,12091
2006-10-04,117.95,118.28,117.76,117.81,11547
2006-10-05,117.82,117.88,117.45,117.74,9165
2006-10-06,117.73,119.08,117.64,119.0,6846
2006-10-09,118.96,119.28,118.81,119.09,6081
2006-10-10,119.08,119.77,118.89,119.66,6955
2006-10-11,119.67,119.82,119.33,119.65,6311
2006-10-12,119.66,119.78,119.25,119.31,6356
2006-10-13,119.32,119.87,119.06,119.62,6139
2006-10-16,119.69,119.8,119.0,119.03,6329
2006-10-17,119.05,119.12,118.46,118.47,7092
2006-10-18,118.46,119.16,118.32,118.9,7184
2006-10-19,118.89,119.01,118.04,118.21,7469
2006-10-20,118.2,118.78,118.13,118.73,5929
2006-10-23,118.72,119.39,118.54,119.32,6073
2006-10-24,119.33,119.64,119.07,119.42,6833
2006-10-25,119.43,119.43,118.87,119.02,6673
2006-10-26,119.04,119.06,118.26,118.4,6786
2006-10-27,118.42,118.71,117.14,117.58,7590
2006-10-30,117.54,117.6,117.19,117.54,6875
2006-10-31,117.53,118.03,116.61,116.87,9017
2006-11-01,116.87,117.23,116.57,117.17,8956
2006-11-02,117.15,117.36,116.66,117.18,7144
2006-11-03,117.17,118.18,116.95,117.99,6536
2006-11-06,118.0,118.46,117.78,118.2,5713
2006-11-07,118.23,118.26,117.24,117.63,7136
2006-11-08,117.62,117.99,117.37,117.82,6190
2006-11-09,117.81,118.58,117.69,117.79,7173
2006-11-10,117.78,117.85,117.17,117.59,7037
2006-11-13,117.48,118.28,117.12,118.07,11073
2006-11-14,118.08,118.08,117.24,117.6,8685
2006-11-15,117.59,118.18,117.52,117.88,6839
2006-11-16,117.89,118.33,117.74,118.18,6668
2006-11-17,118.17,118.45,117.5,117.74,6443
2006-11-20,117.84,118.18,117.77,118.08,5773
2006-11-21,118.06,118.24,117.73,117.82,5335
2006-11-22,117.84,117.89,116.35,116.7,7934
2006-11-23,116.69,116.81,116.02,116.29,5432
2006-11-24,116.28,116.47,115.57,115.88,6941
2006-11-27,115.43,116.39,115.37,116.11,9114
2006-11-28,116.1,116.39,115.88,116.22,9240
2006-11-29,116.23,116.45,115.58,116.37,10490
2006-11-30,116.36,116.54,115.5,115.74,7841
2006-12-01,115.73,116.36,114.96,115.42,8850
2006-12-04,115.1,115.82,115.08,115.3,7577
2006-12-05,115.31,115.42,114.41,114.94,8123
2006-12-06,114.93,115.34,114.51,115.33,7151
2006-12-07,115.32,115.36,114.74,115.22,6831
2006-12-08,115.23,116.49,114.88,116.31,8986
2006-12-11,116.36,117.24,116.15,116.8,8057
2006-12-12,116.81,117.23,116.66,116.73,7747
2006-12-13,116.75,117.64,116.64,117.49,7218
2006-12-14,117.5,117.87,117.25,117.73,6870
2006-12-15,117.74,118.31,117.43,118.16,8582
2006-12-18,117.98,118.27,117.68,118.11,5793
2006-12-19,118.12,118.3,117.8,118.07,7816
2006-12-20,118.06,118.5,117.94,118.37,6332
2006-12-21,118.38,118.5,117.94,118.34,6647
2006-12-22,118.35,118.95,118.21,118.85,5521
2006-12-26,118.73,119.23,118.7,119.15,11782
2006-12-27,119.14,119.21,118.28,118.64,8089
2006-12-28,118.66,119.02,118.52,118.92,8191
2006-12-29,118.91,119.17,118.71,119.06,7594
2007-01-02,118.98,118.99,118.5,118.81,9670
2007-01-03,118.8,119.67,118.65,119.41,7401
2007-01-04,119.39,119.5,118.86,118.87,7454
2007-01-05,118.86,119.03,117.97,118.61,8624
2007-01-08,118.71,118.82,118.1,118.79,6374
2007-01-09,118.78,119.53,118.66,119.36,7490
2007-01-10,119.37,119.76,119.13,119.61,7234
2007-01-11,119.6,120.62,119.49,120.43,8559
2007-01-12,120.46,120.71,120.14,120.3,7509
2007-01-15,120.31,120.58,120.04,120.46,6115
