signal_time,entry_time,exit_time,entry_date,exit_date,side,entry,exit,sl,tp,atr,adx,asia_high,asia_low,asia_range,ema_fast,ema_slow,signal_hour,entry_hour,weekday,month,body_ratio,risk_amt,risk_per_unit,pnl,pnl_r,won,exit_reason,bars_held,balance_after
2024-12-11 11:35:00,2024-12-11 11:40:00,2024-12-11 13:40:00,2024-12-11,2024-12-11,BUY,160.2525,160.1545,159.97763,160.63732,0.19371,23.9735,159.997,159.432,0.565,159.58627,159.55298,11,11,2,12,0.5221,50.0,0.27487,-17.83,-0.3565,False,timeout,25,9982.17
2025-01-08 10:45:00,2025-01-08 10:50:00,2025-01-08 12:50:00,2025-01-08,2025-01-08,SELL,163.2825,163.3725,163.42539,163.08246,0.11907,23.425,163.79,163.345,0.445,163.41545,163.55938,10,10,2,1,0.8839,49.91,0.14289,-31.44,-0.6299,False,timeout,25,9950.74
2025-03-05 10:10:00,2025-03-05 10:15:00,2025-03-05 10:35:00,2025-03-05,2025-03-05,BUY,159.7455,159.42954,159.42954,160.18784,0.21457,32.8767,159.533,158.726,0.807,159.36641,159.04754,10,10,2,3,0.9611,49.75,0.31596,-49.75,-1.0,False,sl,5,9900.98
2025-03-07 09:45:00,2025-03-07 09:50:00,2025-03-07 10:00:00,2025-03-07,2025-03-07,BUY,159.9905,159.79759,159.79759,160.26057,0.14407,38.7378,159.818,159.268,0.55,159.77546,159.62682,9,9,4,3,0.5058,49.5,0.19291,-49.5,-1.0,False,sl,3,9851.48
2025-03-10 11:10:00,2025-03-10 11:15:00,2025-03-10 12:45:00,2025-03-10,2025-03-10,SELL,159.3555,159.79141,159.79141,158.74523,0.15407,24.1567,160.371,159.776,0.595,159.7999,159.96849,11,11,0,3,0.856,49.26,0.43591,-49.26,-1.0,False,sl,19,9802.22
2025-03-13 10:10:00,2025-03-13 10:15:00,2025-03-13 12:15:00,2025-03-13,2025-03-13,SELL,160.7955,161.0175,161.13509,160.32008,0.10086,49.095,161.511,161.125,0.386,160.74312,161.10712,10,10,3,3,0.627,49.01,0.33959,-32.04,-0.6537,False,timeout,25,9770.18
2025-03-17 11:10:00,2025-03-17 11:15:00,2025-03-17 13:15:00,2025-03-17,2025-03-17,BUY,161.9965,161.9745,161.84787,162.20458,0.12386,20.5445,161.942,161.536,0.406,161.93491,161.8988,11,11,0,3,0.7636,48.85,0.14863,-7.23,-0.148,False,timeout,25,9762.95
2025-03-19 10:25:00,2025-03-19 10:30:00,2025-03-19 10:35:00,2025-03-19,2025-03-19,SELL,163.0315,162.6962,163.271,162.6962,0.18,45.772,163.67,163.253,0.417,163.41077,163.48357,10,10,2,3,0.4167,48.81,0.2395,68.34,1.4,True,tp,2,9831.29
2025-03-25 11:30:00,2025-03-25 11:35:00,2025-03-25 12:00:00,2025-03-25,2025-03-25,SELL,162.4325,162.65746,162.65746,162.11756,0.09457,21.7085,163.021,162.648,0.373,162.49593,162.61305,11,11,1,3,0.5813,49.16,0.22496,-49.16,-1.0,False,sl,6,9782.13
2025-04-01 10:45:00,2025-04-01 10:50:00,2025-04-01 12:25:00,2025-04-01,2025-04-01,SELL,161.6535,161.96436,161.96436,161.2183,0.11357,18.9039,162.377,161.953,0.424,161.87188,162.00648,10,10,1,4,0.5068,48.91,0.31086,-48.91,-1.0,False,sl,20,9733.22
