signal_time,entry_time,exit_time,entry_date,exit_date,side,entry,exit,sl,tp,atr,adx,ema50,ema200,st_direction_prev,st_direction_curr,signal_hour,entry_hour,weekday,month,risk_amt,risk_per_unit,pnl,pnl_r,won,exit_reason,bars_held,balance_after
2024-12-13 09:00:00,2024-12-13 09:05:00,2024-12-13 09:25:00,2024-12-13,2024-12-13,SELL,1.26371,1.263006,1.264213,1.263006,0.000503,33.1718,1.266106,1.268114,1,-1,9,9,4,12,50.0,0.000503,70.0,1.4,True,tp,5,10070.0
2025-01-16 09:05:00,2025-01-16 09:10:00,2025-01-16 09:10:00,2025-01-16,2025-01-16,SELL,1.22029,1.220804,1.220804,1.219571,0.000514,34.536,1.221811,1.222576,1,-1,9,9,3,1,50.35,0.000514,-50.35,-1.0,False,sl,1,10019.65
2025-01-21 10:00:00,2025-01-21 10:05:00,2025-01-21 10:10:00,2025-01-21,2025-01-21,SELL,1.22552,1.226256,1.226256,1.224489,0.000736,32.5961,1.228005,1.228323,1,-1,10,10,1,1,50.1,0.000736,-50.1,-1.0,False,sl,2,9969.55
2025-02-10 10:10:00,2025-02-10 10:15:00,2025-02-10 10:35:00,2025-02-10,2025-02-10,SELL,1.23987,1.239179,1.240364,1.239179,0.000494,32.2406,1.240281,1.240506,1,-1,10,10,0,2,49.85,0.000494,69.79,1.4,True,tp,5,10039.34
2025-04-23 11:10:00,2025-04-23 11:15:00,2025-04-23 11:30:00,2025-04-23,2025-04-23,SELL,1.32994,1.328765,1.330779,1.328765,0.000839,35.2561,1.330926,1.331767,1,-1,11,11,2,4,50.2,0.000839,70.28,1.4,True,tp,4,10109.61
2025-07-07 09:25:00,2025-07-07 09:30:00,2025-07-07 09:40:00,2025-07-07,2025-07-07,SELL,1.36101,1.360312,1.361509,1.360312,0.000499,30.2876,1.362405,1.363856,1,-1,9,9,0,7,50.55,0.000499,70.77,1.4,True,tp,3,10180.38
2025-07-11 09:00:00,2025-07-11 09:05:00,2025-07-11 09:10:00,2025-07-11,2025-07-11,SELL,1.35433,1.353698,1.354781,1.353698,0.000451,34.5637,1.355944,1.356873,1,-1,9,9,4,7,50.9,0.000451,71.26,1.4,True,tp,2,10251.64
2025-07-15 10:00:00,2025-07-15 10:05:00,2025-07-15 10:20:00,2025-07-15,2025-07-15,SELL,1.34299,1.343448,1.343448,1.342349,0.000458,33.0884,1.343557,1.344025,1,-1,10,10,1,7,51.26,0.000458,-51.26,-1.0,False,sl,4,10200.39
2025-07-25 09:05:00,2025-07-25 09:10:00,2025-07-25 09:10:00,2025-07-25,2025-07-25,SELL,1.34901,1.348436,1.34942,1.348436,0.00041,32.7751,1.349616,1.351102,1,-1,9,9,4,7,51.0,0.00041,71.4,1.4,True,tp,1,10271.79
2025-07-29 09:30:00,2025-07-29 09:35:00,2025-07-29 09:40:00,2025-07-29,2025-07-29,SELL,1.33298,1.3335,1.3335,1.332252,0.00052,34.6939,1.334767,1.336494,1,-1,9,9,1,7,51.36,0.00052,-51.36,-1.0,False,sl,2,10220.43
2025-08-05 09:45:00,2025-08-05 09:50:00,2025-08-05 09:55:00,2025-08-05,2025-08-05,SELL,1.32757,1.32798,1.32798,1.326996,0.00041,31.079,1.328138,1.328418,1,-1,9,9,1,8,51.1,0.00041,-51.1,-1.0,False,sl,2,10169.33
2025-09-03 10:05:00,2025-09-03 10:10:00,2025-09-03 10:15:00,2025-09-03,2025-09-03,SELL,1.33668,1.335879,1.337252,1.335879,0.000572,31.6223,1.337206,1.338607,1,-1,10,10,2,9,50.85,0.000572,71.19,1.4,True,tp,2,10240.51
2025-09-25 10:45:00,2025-09-25 10:50:00,2025-09-25 10:55:00,2025-09-25,2025-09-25,SELL,1.34455,1.34381,1.345079,1.34381,0.000529,30.1736,1.345738,1.345806,1,-1,10,10,3,9,51.2,0.000529,71.68,1.4,True,tp,2,10312.2
2025-09-26 12:55:00,2025-09-26 13:00:00,2025-09-26 13:50:00,2025-09-26,2025-09-26,SELL,1.33514,1.334551,1.335561,1.334551,0.000421,31.637,1.335782,1.33592,1,-1,12,13,4,9,51.56,0.000421,72.19,1.4,True,tp,11,10384.38
2025-10-24 11:00:00,2025-10-24 11:05:00,2025-10-24 11:20:00,2025-10-24,2025-10-24,SELL,1.33093,1.330158,1.331481,1.330158,0.000551,36.8535,1.332224,1.332547,1,-1,11,11,4,10,51.92,0.000551,72.69,1.4,True,tp,4,10457.07
2026-02-17 09:00:00,2026-02-17 09:05:00,2026-02-17 09:05:00,2026-02-17,2026-02-17,SELL,1.35882,1.358213,1.359254,1.358213,0.000434,36.1961,1.361071,1.362115,1,-1,9,9,1,2,52.29,0.000434,73.2,1.4,True,tp,1,10530.27
2026-02-19 11:25:00,2026-02-19 11:30:00,2026-02-19 11:40:00,2026-02-19,2026-02-19,SELL,1.35018,1.349454,1.350699,1.349454,0.000519,31.8035,1.350274,1.350685,1,-1,11,11,3,2,52.65,0.000519,73.71,1.4,True,tp,3,10603.98
2026-02-27 12:00:00,2026-02-27 12:05:00,2026-02-27 12:15:00,2026-02-27,2026-02-27,SELL,1.34762,1.348204,1.348204,1.346802,0.000584,31.9434,1.348755,1.349237,1,-1,12,12,4,2,53.02,0.000584,-53.02,-1.0,False,sl,3,10550.96
