mode,session_start,session_end,adx_min,adx_max,rr_ratio,atr_sl_mult,trades,win_rate,profit_factor,sharpe,sortino,max_dd_pct,total_return_pct,avg_win,avg_loss,expectancy
SELL_ONLY,8,14,30,38,1.2,1.2,22,63.64,2.105,6.0,131174.792,1.4,4.46,60.71,50.47,20.28
SELL_ONLY,8,14,30,38,1.4,1.0,22,59.09,2.018,5.626,129682.874,1.3,4.66,71.11,50.91,21.19
SELL_ONLY,8,14,28,38,1.2,1.2,26,61.54,1.922,5.248,125719.03,1.4,4.66,60.77,50.58,17.94
SELL_ONLY,8,14,30,40,1.2,1.2,26,61.54,1.919,5.248,97180.37,1.7,4.66,60.88,50.77,17.94
SELL_ONLY,8,14,28,38,1.4,1.0,26,57.69,1.904,5.149,136295.624,1.3,5.07,71.26,51.05,19.52
SELL_ONLY,8,14,30,40,1.4,1.0,26,57.69,1.901,5.149,139191.622,1.49,5.07,71.38,51.21,19.52
SELL_ONLY,8,14,28,40,1.4,1.0,30,56.67,1.822,4.805,128583.289,1.49,5.49,71.56,51.37,18.29
SELL_ONLY,8,14,28,40,1.2,1.2,30,60.0,1.797,4.713,104840.107,1.7,4.87,60.96,50.88,16.22
SELL_ONLY,8,14,30,38,1.2,1.0,22,59.09,1.728,4.403,103466.169,1.4,3.32,60.59,50.63,15.09
SELL_ONLY,8,14,28,38,1.2,1.0,26,57.69,1.631,3.932,99899.807,1.4,3.52,60.65,50.71,13.54
SELL_ONLY,8,14,30,40,1.2,1.0,26,57.69,1.629,3.932,87881.314,1.7,3.52,60.76,50.85,13.54
SELL_ONLY,8,14,28,38,1.6,1.2,26,50.0,1.599,3.663,69761.519,1.9,3.92,80.44,50.31,15.07
SELL_ONLY,8,14,30,38,1.6,1.2,22,50.0,1.599,3.663,97176.879,1.9,3.3,80.2,50.16,15.02
SELL_ONLY,8,14,32,38,1.4,1.0,15,53.33,1.592,3.713,95374.494,1.3,2.09,70.4,50.55,13.96
SELL_ONLY,8,14,30,38,1.4,1.4,22,54.55,1.565,3.508,88351.435,1.6,2.85,65.7,50.37,12.94
SELL_ONLY,8,14,28,40,1.2,1.0,30,56.67,1.562,3.592,85152.338,1.7,3.72,60.85,50.95,12.4
SELL_ONLY,8,14,32,40,1.4,1.0,19,52.63,1.546,3.486,79354.711,1.79,2.49,70.66,50.79,13.13
SELL_ONLY,8,14,28,38,1.4,1.4,26,53.85,1.537,3.372,82939.69,1.6,3.25,66.47,50.46,12.51
SELL_ONLY,8,14,30,42,1.4,1.0,29,51.72,1.493,3.195,70454.515,1.9,3.51,70.76,50.77,12.09
SELL_ONLY,8,14,28,42,1.4,1.0,33,51.52,1.48,3.128,73673.975,1.9,3.91,70.93,50.9,11.86
SELL_ONLY,8,14,30,42,1.2,1.2,29,55.17,1.474,3.102,73740.638,2.19,3.1,60.33,50.39,10.7
SELL_ONLY,8,14,30,38,1.2,1.4,22,54.55,1.437,2.898,67183.774,1.79,2.19,60.05,50.16,9.95
