entry_time,exit_time,signal,entry_price,sl_price,tp_price,exit_price,risk_distance,bars_held,exit_reason,won,balance_before,pnl,balance_after,segment,candidate
2024-12-12 15:35:00,2024-12-12 16:15:00,SELL,151.862,152.094,151.5372,152.094,0.232,8,sl,False,10000.0,-50.0,9950.0,IS,A
2025-03-05 15:15:00,2025-03-05 16:00:00,SELL,149.368,149.685,148.9242,148.9242,0.317,9,tp,True,9950.0,69.65,10019.65,IS,A
2025-04-15 11:50:00,2025-04-15 12:25:00,SELL,142.904,143.062,142.6828,142.6828,0.158,7,tp,True,10019.65,70.14,10089.79,IS,A
2025-05-12 10:00:00,2025-05-12 10:25:00,BUY,146.666,146.057,147.5186,147.5186,0.609,5,tp,True,10089.79,70.63,10160.42,IS,A
2025-06-05 15:45:00,2025-06-05 18:45:00,BUY,143.332,142.881,143.9634,143.9634,0.451,36,tp,True,10160.42,71.12,10231.54,IS,A
2025-07-03 15:30:00,2025-07-03 19:00:00,BUY,144.985,143.655,146.847,145.048,1.33,42,timeout,False,10231.54,-51.16,10180.38,IS,A
2025-08-12 15:45:00,2025-08-12 16:05:00,SELL,147.909,148.145,147.5786,148.145,0.236,4,sl,False,10180.38,-50.9,10129.48,IS,A
2025-08-21 09:40:00,2025-08-21 13:10:00,BUY,147.567,147.455,147.7238,147.7238,0.112,42,tp,True,10129.48,70.91,10200.39,IS,A
2025-09-11 15:40:00,2025-09-11 16:55:00,BUY,147.603,147.376,147.9208,147.376,0.227,15,sl,False,10200.39,-51.0,10149.38,IS,A
2025-09-25 15:30:00,2025-09-25 18:25:00,BUY,149.149,148.735,149.7286,149.7286,0.414,35,tp,True,10149.38,71.05,10220.43,IS,A
2026-02-03 11:10:00,2026-02-03 11:50:00,BUY,155.668,155.533,155.857,155.857,0.135,8,tp,True,10000.0,70.0,10070.0,OOS,A
2026-02-05 09:10:00,2026-02-05 11:30:00,BUY,157.043,156.88,157.2712,157.2712,0.163,28,tp,True,10070.0,70.49,10140.49,OOS,A
2026-03-18 15:15:00,2026-03-18 15:40:00,BUY,159.185,159.061,159.3586,159.3586,0.124,5,tp,True,10140.49,70.98,10211.47,OOS,A
2026-03-23 14:05:00,2026-03-23 17:35:00,SELL,158.534,159.644,156.98,158.281,1.11,42,timeout,False,10211.47,-51.06,10160.42,OOS,A
