entry_time,exit_time,signal,entry_price,sl_price,tp_price,exit_price,risk_distance,bars_held,exit_reason,won,balance_before,pnl,balance_after,segment,candidate
2024-12-12 15:35:00,2024-12-12 16:15:00,SELL,151.862,152.094,151.5488,152.094,0.232,8,sl,False,10000.0,-50.0,9950.0,IS,C
2025-03-05 15:15:00,2025-03-05 15:55:00,SELL,149.368,149.685,148.94005,148.94005,0.317,8,tp,True,9950.0,67.16,10017.16,IS,C
2025-04-15 11:50:00,2025-04-15 12:25:00,SELL,142.904,143.062,142.6907,142.6907,0.158,7,tp,True,10017.16,67.62,10084.78,IS,C
2025-05-12 10:00:00,2025-05-12 10:25:00,BUY,146.666,146.057,147.48815,147.48815,0.609,5,tp,True,10084.78,68.07,10152.85,IS,C
2025-06-05 15:45:00,2025-06-05 18:45:00,BUY,143.332,142.881,143.94085,143.94085,0.451,36,tp,True,10152.85,68.53,10221.38,IS,C
2025-07-03 15:30:00,2025-07-03 19:00:00,BUY,144.985,143.655,146.7805,145.048,1.33,42,timeout,False,10221.38,-51.11,10170.28,IS,C
2025-08-12 15:45:00,2025-08-12 16:05:00,SELL,147.909,148.145,147.5904,148.145,0.236,4,sl,False,10170.28,-50.85,10119.42,IS,C
2025-08-21 09:40:00,2025-08-21 13:05:00,BUY,147.567,147.455,147.7182,147.7182,0.112,41,tp,True,10119.42,68.31,10187.73,IS,C
2025-09-11 15:40:00,2025-09-11 16:55:00,BUY,147.603,147.376,147.90945,147.376,0.227,15,sl,False,10187.73,-50.94,10136.79,IS,C
2025-09-25 15:30:00,2025-09-25 18:20:00,BUY,149.149,148.735,149.7079,149.7079,0.414,34,tp,True,10136.79,68.42,10205.21,IS,C
2026-02-03 11:10:00,2026-02-03 11:50:00,BUY,155.668,155.533,155.85025,155.85025,0.135,8,tp,True,10000.0,67.5,10067.5,OOS,C
2026-02-05 09:10:00,2026-02-05 11:25:00,BUY,157.043,156.88,157.26305,157.26305,0.163,27,tp,True,10067.5,67.96,10135.46,OOS,C
2026-03-18 15:15:00,2026-03-18 15:40:00,BUY,159.185,159.061,159.3524,159.3524,0.124,5,tp,True,10135.46,68.41,10203.87,OOS,C
2026-03-23 14:05:00,2026-03-23 17:35:00,SELL,158.534,159.644,157.0355,158.281,1.11,42,timeout,False,10203.87,-51.02,10152.85,OOS,C
