rr_ratio,buffer_pips,min_body_ratio,max_bars_in_trade,total_trades,winning_trades,losing_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,max_drawdown,total_return,avg_win,avg_loss,expectancy,tp_count,sl_count,breakeven_count,timeout_count,score_ftmo,timeout_ratio,sl_ratio,tp_ratio
1.4,0.035,0.55,42,14,9,5,0.6428571428571429,2.506,7.494,430879298.771,0.01,0.0384,71.07,51.05,27.46,9,3,0,2,56.33257142857143,0.14285714285714285,0.21428571428571427,0.6428571428571429
1.4,0.035,0.55,48,14,9,5,0.6428571428571429,2.506,7.494,430879298.771,0.01,0.0384,71.07,51.05,27.46,9,3,0,2,56.33257142857143,0.14285714285714285,0.21428571428571427,0.6428571428571429
1.4,0.04,0.45,42,14,9,5,0.6428571428571429,2.506,7.494,430879298.771,0.01,0.0384,71.07,51.05,27.46,9,3,0,2,56.33257142857143,0.14285714285714285,0.21428571428571427,0.6428571428571429
1.4,0.04,0.45,48,14,9,5,0.6428571428571429,2.506,7.494,430879298.771,0.01,0.0384,71.07,51.05,27.46,9,3,0,2,56.33257142857143,0.14285714285714285,0.21428571428571427,0.6428571428571429
1.4,0.04,0.5,42,14,9,5,0.6428571428571429,2.506,7.494,430879298.771,0.01,0.0384,71.07,51.05,27.46,9,3,0,2,56.33257142857143,0.14285714285714285,0.21428571428571427,0.6428571428571429
1.4,0.04,0.5,48,14,9,5,0.6428571428571429,2.506,7.494,430879298.771,0.01,0.0384,71.07,51.05,27.46,9,3,0,2,56.33257142857143,0.14285714285714285,0.21428571428571427,0.6428571428571429
1.4,0.04,0.55,42,14,9,5,0.6428571428571429,2.506,7.494,430879298.771,0.01,0.0384,71.07,51.05,27.46,9,3,0,2,56.33257142857143,0.14285714285714285,0.21428571428571427,0.6428571428571429
1.4,0.04,0.55,48,14,9,5,0.6428571428571429,2.506,7.494,430879298.771,0.01,0.0384,71.07,51.05,27.46,9,3,0,2,56.33257142857143,0.14285714285714285,0.21428571428571427,0.6428571428571429
1.35,0.035,0.55,42,14,9,5,0.6428571428571429,2.417,7.2,405366716.853,0.01,0.0361,68.46,50.99,25.8,9,3,0,2,54.02657142857142,0.14285714285714285,0.21428571428571427,0.6428571428571429
1.35,0.035,0.55,48,14,9,5,0.6428571428571429,2.417,7.2,405366716.853,0.01,0.0361,68.46,50.99,25.8,9,3,0,2,54.02657142857142,0.14285714285714285,0.21428571428571427,0.6428571428571429
1.35,0.04,0.45,42,14,9,5,0.6428571428571429,2.417,7.2,405366716.853,0.01,0.0361,68.46,50.99,25.8,9,3,0,2,54.02657142857142,0.14285714285714285,0.21428571428571427,0.6428571428571429
1.35,0.04,0.45,48,14,9,5,0.6428571428571429,2.417,7.2,405366716.853,0.01,0.0361,68.46,50.99,25.8,9,3,0,2,54.02657142857142,0.14285714285714285,0.21428571428571427,0.6428571428571429
1.35,0.04,0.5,42,14,9,5,0.6428571428571429,2.417,7.2,405366716.853,0.01,0.0361,68.46,50.99,25.8,9,3,0,2,54.02657142857142,0.14285714285714285,0.21428571428571427,0.6428571428571429
1.35,0.04,0.5,48,14,9,5,0.6428571428571429,2.417,7.2,405366716.853,0.01,0.0361,68.46,50.99,25.8,9,3,0,2,54.02657142857142,0.14285714285714285,0.21428571428571427,0.6428571428571429
1.35,0.04,0.55,42,14,9,5,0.6428571428571429,2.417,7.2,405366716.853,0.01,0.0361,68.46,50.99,25.8,9,3,0,2,54.02657142857142,0.14285714285714285,0.21428571428571427,0.6428571428571429
1.35,0.04,0.55,48,14,9,5,0.6428571428571429,2.417,7.2,405366716.853,0.01,0.0361,68.46,50.99,25.8,9,3,0,2,54.02657142857142,0.14285714285714285,0.21428571428571427,0.6428571428571429
1.4,0.045,0.45,42,13,8,5,0.6153846153846154,2.23,6.484,378545813.349,0.01,0.0312,70.75,50.76,24.02,8,3,0,2,49.75384615384615,0.15384615384615385,0.23076923076923078,0.6153846153846154
1.4,0.045,0.45,48,13,8,5,0.6153846153846154,2.23,6.484,378545813.349,0.01,0.0312,70.75,50.76,24.02,8,3,0,2,49.75384615384615,0.15384615384615385,0.23076923076923078,0.6153846153846154
1.4,0.045,0.5,42,13,8,5,0.6153846153846154,2.23,6.484,378545813.349,0.01,0.0312,70.75,50.76,24.02,8,3,0,2,49.75384615384615,0.15384615384615385,0.23076923076923078,0.6153846153846154
1.4,0.045,0.5,48,13,8,5,0.6153846153846154,2.23,6.484,378545813.349,0.01,0.0312,70.75,50.76,24.02,8,3,0,2,49.75384615384615,0.15384615384615385,0.23076923076923078,0.6153846153846154
