rr_ratio,buffer_pips,min_body_ratio,max_bars_in_trade,total_trades,winning_trades,losing_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,max_drawdown,total_return,avg_win,avg_loss,expectancy,tp_count,sl_count,breakeven_count,timeout_count,score_ftmo
1.4,0.04,0.45,36,14,8,6,0.5714285714285714,1.855,4.964,294812134.746,0.0199,0.0261,70.66,50.78,18.62,8,3,0,3,33.77642857142857
1.4,0.04,0.5,36,14,8,6,0.5714285714285714,1.855,4.964,294812134.746,0.0199,0.0261,70.66,50.78,18.62,8,3,0,3,33.77642857142857
1.3,0.04,0.45,36,14,8,6,0.5714285714285714,1.723,4.383,249456487.813,0.0199,0.022,65.5,50.68,15.71,8,3,0,3,30.32742857142857
1.3,0.04,0.5,36,14,8,6,0.5714285714285714,1.723,4.383,249456487.813,0.0199,0.022,65.5,50.68,15.71,8,3,0,3,30.32742857142857
1.4,0.03,0.45,36,15,8,7,0.5333333333333333,1.593,3.712,222243024.311,0.0199,0.0209,70.31,50.45,13.96,8,4,0,3,27.477666666666664
1.4,0.03,0.5,36,15,8,7,0.5333333333333333,1.593,3.712,222243024.311,0.0199,0.0209,70.31,50.45,13.96,8,4,0,3,27.477666666666664
1.4,0.04,0.4,36,15,8,7,0.5333333333333333,1.59,3.712,222243009.4,0.0199,0.0209,70.53,50.7,13.96,8,4,0,3,27.44166666666667
1.2,0.04,0.45,36,14,8,6,0.5714285714285714,1.591,3.749,204100745.37,0.0199,0.0179,60.36,50.57,12.81,8,3,0,3,26.883428571428567
1.2,0.04,0.5,36,14,8,6,0.5714285714285714,1.591,3.749,204100745.37,0.0199,0.0179,60.36,50.57,12.81,8,3,0,3,26.883428571428567
1.3,0.03,0.45,36,15,8,7,0.5333333333333333,1.479,3.136,179911031.547,0.0199,0.0169,65.17,50.36,11.26,8,4,0,3,24.359666666666666
1.3,0.03,0.5,36,15,8,7,0.5333333333333333,1.479,3.136,179911031.547,0.0199,0.0169,65.17,50.36,11.26,8,4,0,3,24.359666666666666
1.3,0.04,0.4,36,15,8,7,0.5333333333333333,1.477,3.136,179911036.178,0.0199,0.0169,65.38,50.6,11.26,8,4,0,3,24.335666666666665
1.2,0.03,0.45,36,15,8,7,0.5333333333333333,1.365,2.507,137579005.499,0.0199,0.0129,60.05,50.28,8.57,8,4,0,3,21.246666666666663
1.2,0.03,0.5,36,15,8,7,0.5333333333333333,1.365,2.507,137579005.499,0.0199,0.0129,60.05,50.28,8.57,8,4,0,3,21.246666666666663
1.2,0.04,0.4,36,15,8,7,0.5333333333333333,1.364,2.507,137579008.969,0.0199,0.0129,60.24,50.49,8.57,8,4,0,3,21.234666666666666
1.2,0.04,0.45,30,14,7,7,0.5,1.194,1.443,79372502.41,0.0248,0.0068,59.92,50.19,4.86,7,3,0,4,15.238
1.2,0.04,0.5,30,14,7,7,0.5,1.194,1.443,79372502.41,0.0248,0.0068,59.92,50.19,4.86,7,3,0,4,15.238
1.3,0.03,0.45,30,15,7,8,0.4666666666666667,1.132,1.015,58206503.156,0.0248,0.0053,64.68,50.01,3.51,7,4,0,4,13.402333333333335
1.3,0.03,0.5,30,15,7,8,0.4666666666666667,1.132,1.015,58206503.156,0.0248,0.0053,64.68,50.01,3.51,7,4,0,4,13.402333333333335
1.2,0.03,0.45,30,15,7,8,0.4666666666666667,1.044,0.386,21166001.935,0.0248,0.0018,59.62,49.95,1.18,7,4,0,4,10.831333333333333
1.2,0.03,0.5,30,15,7,8,0.4666666666666667,1.044,0.386,21166001.935,0.0248,0.0018,59.62,49.95,1.18,7,4,0,4,10.831333333333333
