rr_ratio,breakeven_trigger_r,max_hold_m5_bars,breakout_buffer_atr,body_pct_min,regime_adx_min,min_h1_ema_spread_atr,h1_slope_lookback,trades,win_rate,profit_factor,sharpe,sortino,max_dd_pct,total_return_pct,avg_win,avg_loss,expectancy,timeout_pct,avg_timeout_r,second_half_pf,trades_csv,verdict,score
1.5,0.8,24,0.02,0.2,24,0.2,3,37,45.95,2.181,0.077,0.064,1.05,4.0,43.5,21.19,10.82,64.86,0.0795,1.49,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,254.49
1.5,0.8,24,0.02,0.2,24,0.15,3,38,44.74,2.181,0.079,0.068,1.05,4.0,43.5,21.19,10.54,63.16,0.0795,1.495,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,RECHAZADO,254.43
1.5,0.8,24,0.02,0.25,24,0.2,3,37,45.95,2.163,0.077,0.064,1.05,3.94,43.13,21.19,10.66,64.86,0.0745,1.459,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,252.19
1.5,0.8,24,0.02,0.3,24,0.2,3,37,45.95,2.163,0.077,0.064,1.05,3.94,43.13,21.19,10.66,64.86,0.0745,1.459,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,252.19
1.5,0.8,24,0.02,0.25,24,0.15,3,38,44.74,2.163,0.079,0.068,1.05,3.94,43.13,21.19,10.38,63.16,0.0745,1.464,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,RECHAZADO,252.13
1.5,0.8,24,0.02,0.3,24,0.15,3,38,44.74,2.163,0.079,0.068,1.05,3.94,43.13,21.19,10.38,63.16,0.0745,1.464,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,RECHAZADO,252.13
1.5,1.2,24,0.02,0.2,24,0.2,3,37,54.05,2.086,0.081,0.067,1.05,4.25,40.79,23.0,11.48,72.97,0.1252,1.396,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,247.06
1.5,1.2,24,0.02,0.2,24,0.15,3,38,52.63,2.082,0.082,0.071,1.05,4.24,40.79,21.77,11.16,73.68,0.1201,1.395,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,246.49
1.5,1.2,24,0.02,0.25,24,0.2,3,37,54.05,2.071,0.081,0.067,1.05,4.19,40.48,23.0,11.31,72.97,0.1208,1.371,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,245.04
1.5,1.2,24,0.02,0.3,24,0.2,3,37,54.05,2.071,0.081,0.067,1.05,4.19,40.48,23.0,11.31,72.97,0.1208,1.371,backtest/results/xau_m5_trades_SELL_ONLY_20241101_1800_20260409_0930.csv,APROBADO,245.04
