rr_ratio,breakeven_trigger_r,max_hold_m5_bars,breakout_buffer_atr,body_pct_min,regime_adx_min,min_h1_ema_spread_atr,h1_slope_lookback,trades,win_rate,profit_factor,sharpe,sortino,max_dd_pct,total_return_pct,avg_win,avg_loss,expectancy,timeout_pct,avg_timeout_r,second_half_pf,trades_csv,verdict,score
1.5,0.8,24,0.01,0.15,22,0.2,3,41,48.78,2.331,0.082,0.067,1.05,4.87,42.63,21.52,11.87,65.85,0.0766,1.673,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf001_body015_adx22_spr02_slp3.csv,APROBADO,276.2
1.5,0.8,24,0.01,0.2,22,0.2,3,41,48.78,2.331,0.082,0.067,1.05,4.87,42.63,21.52,11.87,65.85,0.0766,1.673,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf001_body02_adx22_spr02_slp3.csv,APROBADO,276.2
1.5,0.8,24,0.02,0.15,22,0.2,3,41,48.78,2.331,0.082,0.067,1.05,4.87,42.63,21.52,11.87,65.85,0.0766,1.673,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf002_body015_adx22_spr02_slp3.csv,APROBADO,276.2
1.5,0.8,24,0.02,0.2,22,0.2,3,41,48.78,2.331,0.082,0.067,1.05,4.87,42.63,21.52,11.87,65.85,0.0766,1.673,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf002_body02_adx22_spr02_slp3.csv,APROBADO,276.2
1.5,0.8,24,0.01,0.15,22,0.15,3,42,47.62,2.331,0.084,0.071,1.05,4.87,42.63,21.52,11.59,64.29,0.0766,1.906,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf001_body015_adx22_spr015_slp3.csv,APROBADO,276.14
1.5,0.8,24,0.01,0.2,22,0.15,3,42,47.62,2.331,0.084,0.071,1.05,4.87,42.63,21.52,11.59,64.29,0.0766,1.906,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf001_body02_adx22_spr015_slp3.csv,APROBADO,276.14
1.5,0.8,24,0.02,0.15,22,0.15,3,42,47.62,2.331,0.084,0.071,1.05,4.87,42.63,21.52,11.59,64.29,0.0766,1.906,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf002_body015_adx22_spr015_slp3.csv,APROBADO,276.14
1.5,0.8,24,0.02,0.2,22,0.15,3,42,47.62,2.331,0.084,0.071,1.05,4.87,42.63,21.52,11.59,64.29,0.0766,1.906,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be08_h24_buf002_body02_adx22_spr015_slp3.csv,APROBADO,276.14
1.5,0.7,24,0.01,0.15,22,0.2,3,41,46.34,2.327,0.082,0.067,1.05,4.85,44.8,21.51,11.84,63.41,0.0786,1.667,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf001_body015_adx22_spr02_slp3.csv,APROBADO,275.68
1.5,0.7,24,0.01,0.2,22,0.2,3,41,46.34,2.327,0.082,0.067,1.05,4.85,44.8,21.51,11.84,63.41,0.0786,1.667,backtest/results/xau_m5_trades_SELL_ONLY_20241104_2100_20260410_1200_rr15_be07_h24_buf001_body02_adx22_spr02_slp3.csv,APROBADO,275.68
