trade_id,trade_date,entry_hour,side,entry_time,exit_time,entry,exit,sl,tp,risk_distance,bars_in_trade,pnl,r_multiple,exit_reason,be_activated,mfe_r,mae_r,best_r,worst_r,orb_high,orb_low,atr_at_entry,adx_h1_at_entry,balance_after
1,2024-11-12,9,SELL,2024-11-12 09:25:00,2024-11-12 11:25:00,2600.18,2594.52,2618.347874866859,2572.928187699711,18.167874866859165,25,15.576945684287253,0.3115,timeout,False,0.5174,0.349,0.5174,0.349,2618.07,2603.41,2.7787486685864997,44.81738056020801,10015.576945684288
2,2024-11-14,9,SELL,2024-11-14 09:15:00,2024-11-14 11:15:00,2550.88,2551.88,2565.341877436427,2529.18718384536,14.461877436426676,25,-3.462751288590299,-0.0691,timeout,False,0.0249,0.6126,0.0249,0.6126,2565.12,2551.81,2.2187743642678837,36.54677200144984,10012.114194395697
3,2024-11-26,9,SELL,2024-11-26 09:30:00,2024-11-26 11:30:00,2616.05,2623.15,2626.636161148267,2600.1707582776,10.58616114826691,25,-33.57497103274601,-0.6707,timeout,False,0.4969,0.6896,0.4969,0.6896,2626.44,2617.81,1.961611482668675,46.775482649526516,9978.539223362952
4,2024-12-13,9,SELL,2024-12-13 09:30:00,2024-12-13 11:20:00,2682.64,2670.692429190628,2690.605047206248,2670.692429190628,7.965047206248073,23,74.8390441752207,1.5,tp,True,1.5003,0.2624,1.5003,0.2624,2690.44,2683.26,1.6504720624775036,28.88259070411759,10053.378267538172
5,2025-02-28,9,SELL,2025-02-28 09:20:00,2025-02-28 10:40:00,2861.67,2853.424733388285,2867.16684440781,2853.424733388285,5.496844407809931,17,75.40033700653836,1.5,tp,True,1.7264,0.0309,1.7264,0.0309,2866.98,2861.72,1.868444078101047,44.47876864990593,10128.77860454471
6,2025-04-07,9,SELL,2025-04-07 09:30:00,2025-04-07 11:30:00,3018.61,3023.55,3045.0099236533315,2979.0101145200033,26.39992365333137,25,-9.476574054436218,-0.1871,timeout,False,0.2004,0.4814,0.2004,0.4814,3044.44,3018.91,5.699236533313334,26.900582176831403,10119.302030490275
7,2025-04-23,9,SELL,2025-04-23 09:45:00,2025-04-23 11:45:00,3312.63,3317.65,3350.069272425284,3256.4710913620743,37.43927242528389,25,-6.7841724614759,-0.1341,timeout,False,0.5604,0.2102,0.5604,0.2102,3349.41,3315.86,6.592724252841525,39.27070472868572,10112.5178580288
8,2025-06-17,9,SELL,2025-06-17 09:35:00,2025-06-17 11:35:00,3386.83,3384.46,3396.4475876955007,3372.4036184567485,9.617587695500788,25,12.459812211922443,0.2464,timeout,False,0.5937,0.522,0.5937,0.522,3396.19,3386.96,2.575876955008528,24.535054889373512,10124.977670240722
9,2025-06-20,9,SELL,2025-06-20 09:45:00,2025-06-20 11:45:00,3340.81,3351.36,3357.9173243051405,3315.149013542289,17.107324305140537,25,-31.220111490183136,-0.6167,timeout,False,0.007,0.8464,0.007,0.8464,3357.62,3342.61,2.9732430514041384,26.371358672191327,10093.757558750538
10,2025-06-27,9,SELL,2025-06-27 09:40:00,2025-06-27 11:40:00,3287.47,3287.65,3301.2510695387,3266.7983956919497,13.781069538700194,25,-0.6591927990334338,-0.0131,timeout,False,0.4078,0.6052,0.4078,0.6052,3300.9,3289.16,3.510695386999298,28.0559959152098,10093.098365951504
11,2025-07-09,9,SELL,2025-07-09 09:15:00,2025-07-09 11:15:00,3287.89,3286.83,3297.8895441933955,3272.8906837099066,9.99954419339565,25,5.349585971615663,0.106,timeout,False,0.234,0.807,0.234,0.807,3297.65,3288.93,2.395441933953681,31.08777548321757,10098.447951923119
12,2025-07-24,9,SELL,2025-07-24 09:30:00,2025-07-24 11:30:00,3371.81,3373.87,3385.5208383965664,3351.2437424051504,13.710838396566487,25,-7.586262115878552,-0.1502,timeout,False,0.4391,0.415,0.4391,0.415,3385.27,3374.38,2.5083839656663525,43.73813637405093,10090.86168980724
13,2025-08-12,9,SELL,2025-08-12 09:15:00,2025-08-12 09:35:00,3348.42,3348.42,3355.8530529059076,3337.270420641139,7.433052905907516,5,0.0,0.0,breakeven,True,0.8314,0.0726,0.8314,0.0726,3355.63,3348.48,2.2305290590738482,32.49277601040719,10090.86168980724
14,2025-10-28,9,SELL,2025-10-28 09:10:00,2025-10-28 11:10:00,3956.94,3921.79,3994.7381934611485,3900.242709808277,37.79819346114846,25,46.91941015134807,0.9299,timeout,True,0.9336,0.0799,0.9336,0.0799,3994.1,3959.29,6.381934611486673,38.22938958295705,10137.781099958587
15,2025-11-18,9,SELL,2025-11-18 09:25:00,2025-11-18 10:10:00,4003.67,4025.5663238670218,4025.5663238670218,3970.8255141994678,21.896323867021692,10,-50.68890549979294,-1.0,sl,False,0.2594,1.055,0.2594,1.055,4025.11,4007.61,4.563238670215615,51.374944126044994,10087.092194458794
16,2026-03-13,9,SELL,2026-03-13 09:25:00,2026-03-13 11:20:00,5096.22,5063.288082032544,5118.174611978305,5063.288082032544,21.954611978304456,24,75.65319145844094,1.5,tp,True,1.5933,0.0843,1.5933,0.0843,5117.7,5098.17,4.746119783049327,39.02396631776398,10162.745385917235
17,2026-03-19,9,SELL,2026-03-19 09:20:00,2026-03-19 09:45:00,4821.76,4773.000047864765,4854.266634756824,4773.000047864765,32.50663475682359,6,76.22059039437855,1.5,tp,True,1.9353,0.1335,1.9353,0.1335,4853.62,4826.8,6.4663475682406215,45.49079721136245,10238.965976311612
