trade_id,trade_date,entry_hour,side,entry_time,exit_time,entry,exit,sl,tp,risk_distance,bars_in_trade,max_hold_used,pnl,r_multiple,exit_reason,be_activated,mfe_r,mae_r,best_r,worst_r,orb_high,orb_low,atr_at_entry,adx_h1_at_entry,balance_after
1,2024-11-12,9,SELL,2024-11-12 09:25:00,2024-11-12 10:25:00,2600.18,2602.01,2618.347874866859,2572.928187699711,18.167874866859165,13,12,-5.036362297217731,-0.1007,timeout,False,0.2741,0.349,0.2741,0.349,2618.07,2603.41,2.7787486685864997,44.81738056020801,9994.963637702782
2,2024-11-14,9,SELL,2024-11-14 09:15:00,2024-11-14 10:15:00,2550.88,2557.9,2565.341877436427,2529.18718384536,14.461877436426676,13,12,-24.25848408863643,-0.4854,timeout,False,0.0249,0.6126,0.0249,0.6126,2565.12,2551.81,2.2187743642678837,36.54677200144984,9970.705153614146
3,2024-11-26,9,SELL,2024-11-26 09:30:00,2024-11-26 10:30:00,2616.05,2615.5,2626.636161148267,2600.1707582776,10.58616114826691,13,12,2.5901210824602727,0.052,timeout,False,0.4969,0.2116,0.4969,0.2116,2626.44,2617.81,1.961611482668675,46.775482649526516,9973.295274696606
4,2024-12-13,9,SELL,2024-12-13 09:30:00,2024-12-13 10:30:00,2682.64,2683.13,2690.605047206248,2670.692429190628,7.965047206248073,13,12,-3.067724872220608,-0.0615,timeout,False,0.2122,0.2561,0.2122,0.2561,2690.44,2683.26,1.6504720624775036,28.88259070411759,9970.227549824385
5,2024-12-19,15,SELL,2024-12-19 15:10:00,2024-12-19 16:00:00,2603.01,2595.62,2614.3207559633747,2586.0438660549385,11.310755963374504,11,24,32.57075912157839,0.6534,timeout,False,0.7312,0.2166,0.7312,0.2166,2614.1,2603.23,2.207559633747606,22.227680633965385,10002.798308945963
6,2025-02-12,15,SELL,2025-02-12 15:10:00,2025-02-12 15:30:00,2882.61,2864.270264390989,2894.8364904060077,2864.270264390989,12.226490406007542,5,24,75.02098731709472,1.5,tp,False,1.5188,0.0098,1.5188,0.0098,2894.61,2883.46,2.264904060073746,35.778022726523155,10077.819296263058
7,2025-02-27,15,SELL,2025-02-27 15:30:00,2025-02-27 16:00:00,2889.38,2890.12,2898.68416216096,2875.42375675856,9.304162160960004,7,24,-4.0076613832701025,-0.0795,timeout,False,0.8899,0.2279,0.8899,0.2279,2898.42,2888.6,2.6416216095999463,43.91166263923788,10073.811634879788
8,2025-04-04,15,SELL,2025-04-04 15:15:00,2025-04-04 16:00:00,3092.87,3076.9,3109.501803903654,3067.9222941445187,16.631803903654145,10,24,48.36479937503406,0.9602,timeout,True,1.3853,0.677,1.3853,0.677,3108.75,3096.05,7.518039036539113,24.050591603137853,10122.176434254823
9,2025-04-07,9,SELL,2025-04-07 09:30:00,2025-04-07 10:30:00,3018.61,3022.59,3045.0099236533315,2979.0101145200033,26.39992365333137,13,12,-7.629995968425975,-0.1508,timeout,False,0.2004,0.4814,0.2004,0.4814,3044.44,3018.91,5.699236533313334,26.900582176831403,10114.546438286397
10,2025-04-23,9,SELL,2025-04-23 09:45:00,2025-04-23 10:45:00,3312.63,3313.97,3350.069272425284,3256.4710913620743,37.43927242528389,13,12,-1.8100635174399857,-0.0358,timeout,False,0.5604,0.1595,0.5604,0.1595,3349.41,3315.86,6.592724252841525,39.27070472868572,10112.736374768958
