trade_id,trade_date,entry_hour,side,entry_time,exit_time,entry,exit,sl,tp,risk_distance,bars_in_trade,pnl,r_multiple,exit_reason,be_activated,mfe_r,mae_r,best_r,worst_r,orb_high,orb_low,atr_at_entry,adx_h1_at_entry,balance_after
1,2025-07-24,9,SELL,2025-07-24 09:30:00,2025-07-24 11:30:00,3371.81,3373.87,3385.5208383965664,3351.2437424051504,13.710838396566487,25,-7.512305011617004,-0.1502,timeout,False,0.4391,0.415,0.4391,0.415,3385.27,3374.38,2.5083839656663525,47.40326456929685,9992.487694988384
2,2025-07-25,10,SELL,2025-07-25 10:40:00,2025-07-25 12:40:00,3353.75,3347.17,3363.6006121951755,3338.974081707237,9.850612195175472,25,33.37384912240553,0.668,timeout,True,1.0832,0.1665,1.0832,0.1665,3363.4,3355.25,2.0061219517539866,47.67342287462901,10025.861544110789
3,2025-07-28,11,SELL,2025-07-28 11:15:00,2025-07-28 13:15:00,3337.45,3337.27,3344.275748374145,3327.2113774387817,6.825748374145405,25,1.321946678238228,0.0264,timeout,False,0.7618,0.4791,0.7618,0.4791,3344.05,3337.97,2.2574837414497004,40.873060936682954,10027.183490789026
4,2025-08-01,10,SELL,2025-08-01 10:35:00,2025-08-01 12:35:00,3288.17,3294.38,3300.556819576624,3269.5897706350643,12.38681957662402,25,-25.135107963997385,-0.5013,timeout,False,0.243,0.6523,0.243,0.6523,3300.35,3290.04,2.068195766239823,22.479265321927908,10002.048382825029
5,2025-08-12,9,SELL,2025-08-12 09:50:00,2025-08-12 10:35:00,3347.13,3355.8958370614096,3355.8958370614096,3333.981244407886,8.765837061409457,10,-50.010241914125146,-1.0,sl,False,0.4073,1.2469,0.4073,1.2469,3355.63,3348.48,2.6583706140941143,32.49277601698194,9952.038140910903
6,2025-10-22,11,SELL,2025-10-22 11:10:00,2025-10-22 11:20:00,4102.63,4102.63,4147.774576632308,4034.9131350515386,45.14457663230769,3,0.0,0.0,breakeven,True,1.0311,0.2623,1.0311,0.2623,4146.84,4107.47,9.345766323079824,49.341777269600186,9952.038140910903
7,2025-10-28,9,SELL,2025-10-28 09:10:00,2025-10-28 11:10:00,3956.94,3921.79,3994.7381934611485,3900.242709808277,37.79819346114846,25,46.27392325146198,0.9299,timeout,False,0.9336,0.0799,0.9336,0.0799,3994.1,3959.29,6.381934611486673,38.22938958295705,9998.312064162365
8,2025-11-18,9,SELL,2025-11-18 09:25:00,2025-11-18 10:10:00,4003.67,4025.5663238670218,4025.5663238670218,3970.8255141994678,21.896323867021692,10,-49.99156032081182,-1.0,sl,False,0.2594,1.055,0.2594,1.055,4025.11,4007.61,4.563238670215615,51.374944126044994,9948.320503841553
9,2026-01-08,14,SELL,2026-01-08 14:15:00,2026-01-08 16:00:00,4412.3,4424.38,4438.182538240137,4373.476192639795,25.882538240136455,22,-23.215596277966064,-0.4667,timeout,False,0.1793,0.9164,0.1793,0.9164,4437.78,4415.67,4.025382401372573,32.956767698696325,9925.104907563587
10,2026-01-30,10,SELL,2026-01-30 10:35:00,2026-01-30 12:35:00,5077.74,5080.48,5244.188388387694,4828.067417418458,166.44838838769465,25,-0.8169135102521828,-0.0165,timeout,False,0.8139,0.3231,0.8139,0.3231,5241.45,5145.17,27.38388387694509,41.2972240511827,9924.287994053335
11,2026-02-05,14,SELL,2026-02-05 14:20:00,2026-02-05 16:00:00,4820.05,4825.63,4935.286825409646,4647.194761885532,115.23682540964546,21,-2.402770416920116,-0.0484,timeout,False,0.1576,0.44,0.1576,0.44,4933.94,4826.62,13.468254096463118,34.17090413729599,9921.885223636415
12,2026-02-13,13,SELL,2026-02-13 13:25:00,2026-02-13 15:25:00,4938.79,4967.08,4987.144634208248,4866.258048687628,48.35463420824817,25,-29.024119153484836,-0.5851,timeout,False,0.0922,0.772,0.0922,0.772,4986.26,4944.67,8.846342082474766,32.568850972076056,9892.86110448293
13,2026-03-06,15,SELL,2026-03-06 15:55:00,2026-03-06 16:00:00,5101.88,5088.88,5130.971307026552,5058.243039460172,29.091307026551476,2,22.10405916807021,0.4469,timeout,False,0.9673,0.021,0.9673,0.021,5129.82,5108.97,11.513070265519302,28.018389121923033,9914.965163651
14,2026-03-13,9,SELL,2026-03-13 09:25:00,2026-03-13 11:20:00,5096.22,5063.288082032544,5118.174611978305,5063.288082032544,21.954611978304456,24,74.3622387273825,1.5,tp,True,1.5933,0.0843,1.5933,0.0843,5117.7,5098.17,4.746119783049327,39.02396631776398,9989.327402378383
15,2026-03-16,10,SELL,2026-03-16 10:40:00,2026-03-16 12:40:00,4998.11,4981.28,5026.670475220784,4955.269287168823,28.56047522078461,25,29.432349931572475,0.5893,timeout,False,0.6421,0.1807,0.6421,0.1807,5026.0,5002.98,6.704752207840435,50.39104964949161,10018.759752309956
16,2026-03-17,15,SELL,2026-03-17 15:40:00,2026-03-17 16:00:00,5017.13,5016.87,5044.6945935899785,4975.783109615033,27.564593589978358,5,0.47250425207608154,0.0094,timeout,False,0.2775,0.0352,0.2775,0.0352,5044.21,5019.95,4.845935899780674,22.207016115775197,10019.232256562032
17,2026-03-19,9,SELL,2026-03-19 09:20:00,2026-03-19 09:45:00,4821.76,4773.000047864765,4854.266634756824,4773.000047864765,32.50663475682359,6,75.14424192421454,1.5,tp,True,1.9353,0.1335,1.9353,0.1335,4853.62,4826.8,6.4663475682406215,45.49079721136245,10094.376498486246
18,2026-03-20,15,SELL,2026-03-20 15:25:00,2026-03-20 16:00:00,4681.07,4670.28,4728.466487003045,4609.975269495432,47.39648700304497,8,11.490126094331508,0.2277,timeout,False,0.4078,0.034,0.4078,0.034,4727.42,4685.55,10.464870030443848,31.368476573358354,10105.866624580578
19,2026-03-23,12,SELL,2026-03-23 12:35:00,2026-03-23 14:05:00,4281.47,4384.111880067617,4384.111880067617,4127.5071798985755,102.64188006761651,19,-50.52933312290289,-1.0,sl,False,0.5644,1.3498,0.5644,1.3498,4381.61,4302.2,25.018800676170674,51.61997621050898,10055.337291457676
