entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-02 10:00:00+00:00,2025-07-02 12:00:00+00:00,short,0.656,0.658,0.651,0.656,SL,-0.55,2
2025-07-04 10:00:00+00:00,2025-07-04 12:00:00+00:00,short,0.655,0.658,0.649,0.656,SL,-3.61,2
2025-07-08 07:00:00+00:00,2025-07-08 09:00:00+00:00,long,0.654,0.649,0.667,0.654,SL,-0.13,2
2025-07-10 10:00:00+00:00,2025-07-10 13:00:00+00:00,long,0.656,0.653,0.663,0.656,SL,6.21,3
2025-07-15 10:00:00+00:00,2025-07-15 12:00:00+00:00,long,0.657,0.654,0.664,0.657,SL,1.72,2
2025-07-18 10:00:00+00:00,2025-07-18 12:00:00+00:00,long,0.651,0.648,0.66,0.652,SL,4.74,2
2025-07-23 09:00:00+00:00,2025-07-23 11:00:00+00:00,long,0.657,0.654,0.664,0.658,SL,9.3,2
2025-07-24 08:00:00+00:00,2025-07-24 10:00:00+00:00,long,0.662,0.66,0.668,0.662,SL,-1.08,2
2025-07-25 07:00:00+00:00,2025-07-25 09:00:00+00:00,short,0.657,0.66,0.65,0.657,SL,-2.55,2
2025-07-28 08:00:00+00:00,2025-07-28 10:00:00+00:00,short,0.656,0.659,0.651,0.655,SL,19.59,2
2025-07-29 09:00:00+00:00,2025-07-29 11:00:00+00:00,short,0.65,0.653,0.644,0.65,SL,3.13,2
2025-07-30 10:00:00+00:00,2025-07-30 12:00:00+00:00,short,0.65,0.653,0.643,0.65,SL,2.85,2
2025-07-31 07:00:00+00:00,2025-07-31 10:00:00+00:00,long,0.647,0.643,0.656,0.647,SL,3.99,3
2025-08-07 07:00:00+00:00,2025-08-07 10:00:00+00:00,long,0.652,0.649,0.657,0.652,SL,10.67,3
2025-08-12 08:00:00+00:00,2025-08-12 10:00:00+00:00,short,0.65,0.653,0.642,0.65,SL,-1.01,2
2025-08-13 09:00:00+00:00,2025-08-13 11:00:00+00:00,long,0.654,0.652,0.661,0.655,SL,8.66,2
2025-08-14 09:00:00+00:00,2025-08-14 11:00:00+00:00,short,0.654,0.657,0.645,0.653,SL,4.63,2
2025-08-19 08:00:00+00:00,2025-08-19 10:00:00+00:00,short,0.648,0.65,0.643,0.648,SL,-0.05,2
2025-08-25 09:00:00+00:00,2025-08-25 11:00:00+00:00,long,0.65,0.647,0.658,0.65,SL,-2.51,2
2025-09-08 09:00:00+00:00,2025-09-08 11:00:00+00:00,long,0.658,0.654,0.665,0.658,SL,7.33,2
2025-09-09 07:00:00+00:00,2025-09-09 09:00:00+00:00,long,0.661,0.658,0.666,0.661,SL,7.7,2
2025-09-10 07:00:00+00:00,2025-09-10 09:00:00+00:00,long,0.661,0.658,0.67,0.661,SL,-1.81,2
2025-09-18 07:00:00+00:00,2025-09-18 09:00:00+00:00,short,0.663,0.666,0.655,0.662,SL,5.71,2
2025-09-19 08:00:00+00:00,2025-09-19 10:00:00+00:00,short,0.66,0.662,0.654,0.659,SL,10.04,2
2025-09-22 10:00:00+00:00,2025-09-22 12:00:00+00:00,short,0.658,0.66,0.654,0.658,SL,-2.8,2
2025-09-29 07:00:00+00:00,2025-09-29 09:00:00+00:00,long,0.657,0.654,0.665,0.657,SL,-0.99,2
2025-09-30 07:00:00+00:00,2025-09-30 09:00:00+00:00,long,0.661,0.657,0.67,0.661,SL,-0.38,2
2025-10-03 10:00:00+00:00,2025-10-03 12:00:00+00:00,long,0.661,0.659,0.665,0.661,SL,1.55,2
2025-10-07 11:00:00+00:00,2025-10-07 13:00:00+00:00,short,0.659,0.663,0.65,0.659,SL,-0.21,2
2025-10-09 07:00:00+00:00,2025-10-09 09:00:00+00:00,long,0.661,0.658,0.668,0.661,SL,1.43,2
2025-10-14 07:00:00+00:00,2025-10-14 09:00:00+00:00,short,0.648,0.652,0.638,0.647,SL,10.16,2
2025-10-17 11:00:00+00:00,2025-10-17 13:00:00+00:00,short,0.646,0.649,0.638,0.646,SL,-2.12,2
2025-10-21 07:00:00+00:00,2025-10-21 09:00:00+00:00,short,0.65,0.653,0.645,0.649,SL,14.48,2
2025-10-24 11:00:00+00:00,2025-10-24 13:00:00+00:00,short,0.65,0.652,0.644,0.65,SL,0.79,2
2025-10-27 11:00:00+00:00,2025-10-27 13:00:00+00:00,long,0.655,0.653,0.662,0.656,SL,3.75,2
2025-10-28 09:00:00+00:00,2025-10-28 11:00:00+00:00,short,0.655,0.656,0.651,0.655,SL,-0.54,2
2025-10-29 09:00:00+00:00,2025-10-29 11:00:00+00:00,long,0.661,0.658,0.669,0.661,SL,6.16,2
2025-10-30 07:00:00+00:00,2025-10-30 09:00:00+00:00,long,0.659,0.656,0.668,0.659,SL,-1.87,2
2025-10-31 08:00:00+00:00,2025-10-31 10:00:00+00:00,short,0.654,0.656,0.649,0.654,SL,2.06,2
2025-11-03 07:00:00+00:00,2025-11-03 09:00:00+00:00,long,0.656,0.654,0.661,0.656,SL,-0.85,2
2025-11-04 07:00:00+00:00,2025-11-04 09:00:00+00:00,short,0.651,0.654,0.644,0.651,SL,4.12,2
2025-11-10 07:00:00+00:00,2025-11-10 09:00:00+00:00,long,0.653,0.649,0.662,0.653,SL,0.02,2
2025-11-11 07:00:00+00:00,2025-11-11 09:00:00+00:00,short,0.652,0.654,0.646,0.652,SL,0.47,2
2025-11-13 09:00:00+00:00,2025-11-13 11:00:00+00:00,long,0.658,0.653,0.668,0.658,SL,1.59,2
2025-11-14 11:00:00+00:00,2025-11-14 14:00:00+00:00,short,0.652,0.655,0.645,0.651,SL,15.0,3
2025-11-21 09:00:00+00:00,2025-11-21 11:00:00+00:00,short,0.644,0.646,0.638,0.644,SL,-1.19,2
2025-11-26 07:00:00+00:00,2025-11-26 09:00:00+00:00,long,0.651,0.646,0.661,0.651,SL,2.27,2
2025-11-28 08:00:00+00:00,2025-11-28 10:00:00+00:00,short,0.653,0.654,0.649,0.652,SL,5.88,2
2025-12-02 08:00:00+00:00,2025-12-02 10:00:00+00:00,long,0.655,0.653,0.661,0.656,SL,2.9,2
2025-12-03 07:00:00+00:00,2025-12-03 09:00:00+00:00,long,0.658,0.655,0.666,0.658,SL,-0.38,2
2025-12-04 09:00:00+00:00,2025-12-04 11:00:00+00:00,long,0.662,0.659,0.667,0.662,SL,2.0,2
2025-12-05 07:00:00+00:00,2025-12-05 09:00:00+00:00,long,0.662,0.66,0.667,0.662,SL,5.03,2
2025-12-17 08:00:00+00:00,2025-12-17 10:00:00+00:00,short,0.662,0.664,0.656,0.661,SL,0.16,2
2025-12-22 09:00:00+00:00,2025-12-22 11:00:00+00:00,long,0.664,0.66,0.673,0.664,SL,-0.69,2
2025-12-23 09:00:00+00:00,2025-12-23 13:00:00+00:00,long,0.668,0.665,0.673,0.67,SL,27.85,4
2025-12-24 08:00:00+00:00,2025-12-24 10:00:00+00:00,long,0.672,0.67,0.676,0.671,SL,-1.16,2
2025-12-30 07:00:00+00:00,2025-12-30 09:00:00+00:00,long,0.671,0.669,0.678,0.672,SL,2.01,2
