entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-02 10:15:00+00:00,2025-07-02 10:45:00+00:00,short,0.657,0.658,0.653,0.657,SL,-0.44,2
2025-07-03 10:15:00+00:00,2025-07-03 10:45:00+00:00,long,0.658,0.657,0.661,0.658,SL,-3.05,2
2025-07-04 10:15:00+00:00,2025-07-04 10:45:00+00:00,short,0.656,0.658,0.651,0.655,SL,7.49,2
2025-07-07 10:00:00+00:00,2025-07-07 10:30:00+00:00,long,0.651,0.65,0.655,0.651,SL,-0.65,2
2025-07-10 10:00:00+00:00,2025-07-10 10:30:00+00:00,long,0.656,0.655,0.659,0.656,SL,5.37,2
2025-07-14 10:30:00+00:00,2025-07-14 11:00:00+00:00,long,0.657,0.655,0.66,0.657,SL,6.0,2
2025-07-15 10:45:00+00:00,2025-07-15 11:15:00+00:00,long,0.657,0.655,0.662,0.657,SL,2.67,2
2025-07-18 10:45:00+00:00,2025-07-18 11:15:00+00:00,long,0.651,0.65,0.655,0.652,SL,6.41,2
2025-07-22 10:45:00+00:00,2025-07-22 11:15:00+00:00,short,0.651,0.652,0.647,0.651,SL,-1.37,2
2025-07-23 11:00:00+00:00,2025-07-23 11:45:00+00:00,long,0.658,0.656,0.663,0.658,SL,1.92,3
2025-07-24 11:00:00+00:00,2025-07-24 11:30:00+00:00,short,0.661,0.662,0.657,0.661,SL,-4.03,2
2025-07-25 10:15:00+00:00,2025-07-25 10:45:00+00:00,short,0.657,0.658,0.655,0.657,SL,3.4,2
2025-07-28 10:15:00+00:00,2025-07-28 11:15:00+00:00,short,0.654,0.657,0.648,0.652,SL,22.34,4
2025-07-30 10:15:00+00:00,2025-07-30 10:45:00+00:00,short,0.651,0.652,0.648,0.65,SL,6.09,2
2025-07-31 10:15:00+00:00,2025-07-31 10:45:00+00:00,short,0.646,0.648,0.642,0.646,SL,-2.1,2
2025-08-01 12:30:00+00:00,2025-08-01 13:00:00+00:00,short,0.642,0.644,0.637,0.642,SL,0.14,2
2025-08-04 11:15:00+00:00,2025-08-04 11:45:00+00:00,short,0.647,0.649,0.644,0.647,SL,1.57,2
2025-08-06 10:15:00+00:00,2025-08-06 10:45:00+00:00,long,0.649,0.648,0.652,0.649,SL,-1.15,2
2025-08-07 10:30:00+00:00,2025-08-07 11:00:00+00:00,long,0.653,0.651,0.656,0.654,SL,13.54,2
2025-08-08 10:45:00+00:00,2025-08-08 11:15:00+00:00,long,0.653,0.652,0.656,0.653,SL,5.2,2
2025-08-11 10:45:00+00:00,2025-08-11 11:15:00+00:00,short,0.652,0.653,0.648,0.652,SL,-2.2,2
2025-08-12 11:15:00+00:00,2025-08-12 11:45:00+00:00,short,0.649,0.651,0.646,0.649,SL,2.48,2
2025-08-14 10:30:00+00:00,2025-08-14 11:00:00+00:00,short,0.653,0.655,0.649,0.653,SL,2.79,2
2025-08-15 12:00:00+00:00,2025-08-15 12:30:00+00:00,long,0.651,0.65,0.654,0.651,SL,-2.05,2
2025-08-18 11:00:00+00:00,2025-08-18 11:30:00+00:00,short,0.651,0.652,0.648,0.651,SL,-3.88,2
2025-08-20 11:00:00+00:00,2025-08-20 11:30:00+00:00,short,0.643,0.645,0.638,0.643,SL,1.73,2
2025-08-25 10:45:00+00:00,2025-08-25 11:15:00+00:00,short,0.649,0.651,0.644,0.649,SL,-3.05,2
2025-08-27 10:00:00+00:00,2025-08-27 10:30:00+00:00,short,0.648,0.649,0.646,0.648,SL,13.15,2
2025-08-28 11:30:00+00:00,2025-08-28 12:30:00+00:00,long,0.652,0.651,0.654,0.652,SL,8.77,4
2025-09-01 12:15:00+00:00,2025-09-01 12:45:00+00:00,long,0.656,0.654,0.66,0.655,SL,-0.97,2
2025-09-02 12:00:00+00:00,2025-09-02 12:30:00+00:00,short,0.651,0.654,0.642,0.651,SL,0.42,2
2025-09-03 10:45:00+00:00,2025-09-03 11:30:00+00:00,long,0.652,0.651,0.656,0.653,SL,7.83,3
2025-09-05 10:45:00+00:00,2025-09-05 11:30:00+00:00,long,0.654,0.653,0.658,0.655,SL,3.4,3
2025-09-08 10:00:00+00:00,2025-09-08 10:45:00+00:00,long,0.658,0.656,0.662,0.658,SL,7.16,3
2025-09-09 12:00:00+00:00,2025-09-09 12:30:00+00:00,long,0.662,0.66,0.666,0.662,SL,-1.63,2
2025-09-11 10:00:00+00:00,2025-09-11 10:30:00+00:00,long,0.661,0.66,0.664,0.661,SL,-2.45,2
2025-09-12 10:00:00+00:00,2025-09-12 10:30:00+00:00,long,0.666,0.665,0.669,0.666,SL,9.03,2
2025-09-15 10:30:00+00:00,2025-09-15 11:00:00+00:00,long,0.666,0.665,0.67,0.666,SL,-3.99,2
2025-09-18 10:00:00+00:00,2025-09-18 11:00:00+00:00,long,0.663,0.661,0.666,0.664,SL,27.86,4
2025-09-19 10:00:00+00:00,2025-09-19 10:30:00+00:00,long,0.66,0.659,0.664,0.661,SL,10.91,2
2025-09-22 10:30:00+00:00,2025-09-22 11:00:00+00:00,short,0.658,0.659,0.655,0.658,SL,-1.58,2
2025-09-23 11:30:00+00:00,2025-09-23 12:30:00+00:00,long,0.66,0.658,0.665,0.661,SL,7.38,4
2025-09-24 11:15:00+00:00,2025-09-24 11:45:00+00:00,short,0.661,0.663,0.656,0.661,SL,-1.76,2
2025-09-25 10:00:00+00:00,2025-09-25 10:30:00+00:00,short,0.659,0.66,0.656,0.659,SL,-3.77,2
2025-09-26 13:00:00+00:00,2025-09-26 13:45:00+00:00,short,0.653,0.655,0.648,0.652,SL,4.06,3
2025-09-29 13:45:00+00:00,2025-09-29 14:15:00+00:00,short,0.656,0.657,0.654,0.656,SL,0.23,2
2025-09-30 11:00:00+00:00,2025-09-30 11:30:00+00:00,long,0.661,0.659,0.666,0.661,SL,-1.15,2
2025-10-01 10:00:00+00:00,2025-10-01 10:30:00+00:00,long,0.661,0.66,0.665,0.661,SL,-0.36,2
2025-10-06 10:15:00+00:00,2025-10-06 10:45:00+00:00,long,0.662,0.66,0.666,0.662,SL,-0.01,2
2025-10-07 10:00:00+00:00,2025-10-07 10:30:00+00:00,short,0.659,0.66,0.656,0.659,SL,4.33,2
2025-10-08 11:00:00+00:00,2025-10-08 11:45:00+00:00,long,0.657,0.656,0.66,0.657,SL,-1.2,3
2025-10-13 10:00:00+00:00,2025-10-13 10:30:00+00:00,short,0.651,0.653,0.647,0.652,SL,-3.5,2
2025-10-14 10:30:00+00:00,2025-10-14 11:00:00+00:00,short,0.645,0.648,0.638,0.645,SL,-3.3,2
2025-10-17 10:00:00+00:00,2025-10-17 10:30:00+00:00,short,0.645,0.648,0.638,0.645,SL,3.91,2
2025-10-20 12:30:00+00:00,2025-10-20 13:00:00+00:00,short,0.649,0.651,0.646,0.649,SL,1.66,2
2025-10-21 11:00:00+00:00,2025-10-21 11:30:00+00:00,short,0.648,0.65,0.643,0.648,SL,0.18,2
2025-10-22 11:00:00+00:00,2025-10-22 11:30:00+00:00,short,0.65,0.651,0.646,0.649,SL,2.8,2
2025-10-23 10:00:00+00:00,2025-10-23 10:30:00+00:00,long,0.651,0.649,0.655,0.65,SL,-1.1,2
2025-10-24 11:15:00+00:00,2025-10-24 11:45:00+00:00,short,0.65,0.651,0.646,0.65,SL,-0.92,2
2025-10-27 10:15:00+00:00,2025-10-27 10:45:00+00:00,short,0.654,0.655,0.65,0.654,SL,-3.04,2
2025-10-28 11:00:00+00:00,2025-10-28 11:30:00+00:00,short,0.655,0.656,0.652,0.655,SL,-5.4,2
2025-10-29 10:00:00+00:00,2025-10-29 10:30:00+00:00,long,0.661,0.66,0.665,0.662,SL,4.89,2
2025-10-30 11:15:00+00:00,2025-10-30 11:45:00+00:00,short,0.658,0.66,0.652,0.658,SL,-1.57,2
2025-10-31 10:00:00+00:00,2025-10-31 10:30:00+00:00,short,0.653,0.655,0.651,0.654,SL,-5.12,2
2025-11-04 11:15:00+00:00,2025-11-04 12:15:00+00:00,short,0.65,0.652,0.646,0.649,SL,11.94,4
2025-11-05 13:15:00+00:00,2025-11-05 13:45:00+00:00,short,0.648,0.649,0.644,0.648,SL,-0.85,2
2025-11-07 10:15:00+00:00,2025-11-07 10:45:00+00:00,short,0.648,0.649,0.645,0.648,SL,3.03,2
2025-11-10 11:30:00+00:00,2025-11-10 12:00:00+00:00,long,0.654,0.652,0.658,0.654,SL,-3.45,2
2025-11-11 10:00:00+00:00,2025-11-11 10:30:00+00:00,long,0.652,0.651,0.655,0.652,SL,2.05,2
2025-11-12 10:00:00+00:00,2025-11-12 10:30:00+00:00,short,0.653,0.654,0.651,0.654,SL,-5.8,2
2025-11-14 11:45:00+00:00,2025-11-14 12:15:00+00:00,short,0.652,0.653,0.649,0.652,SL,-2.53,2
2025-11-17 10:30:00+00:00,2025-11-17 11:00:00+00:00,short,0.652,0.654,0.649,0.652,SL,3.64,2
2025-11-19 10:00:00+00:00,2025-11-19 10:30:00+00:00,short,0.648,0.65,0.644,0.648,SL,-1.34,2
2025-11-21 12:00:00+00:00,2025-11-21 12:30:00+00:00,short,0.643,0.645,0.636,0.643,SL,2.42,2
2025-11-24 11:45:00+00:00,2025-11-24 12:15:00+00:00,short,0.645,0.647,0.64,0.645,SL,-2.22,2
2025-11-26 12:30:00+00:00,2025-11-26 13:00:00+00:00,short,0.649,0.651,0.645,0.649,SL,2.16,2
2025-11-27 11:00:00+00:00,2025-11-27 11:30:00+00:00,short,0.652,0.653,0.649,0.652,SL,-2.07,2
2025-11-28 10:00:00+00:00,2025-11-28 10:30:00+00:00,short,0.652,0.653,0.65,0.652,SL,-4.26,2
2025-12-02 10:30:00+00:00,2025-12-02 11:00:00+00:00,short,0.655,0.656,0.654,0.655,SL,2.43,2
2025-12-03 13:15:00+00:00,2025-12-03 13:45:00+00:00,long,0.659,0.658,0.662,0.659,SL,4.17,2
2025-12-05 10:00:00+00:00,2025-12-05 10:30:00+00:00,long,0.663,0.662,0.665,0.663,SL,5.61,2
2025-12-10 10:15:00+00:00,2025-12-10 10:45:00+00:00,long,0.665,0.664,0.667,0.665,SL,-4.7,2
2025-12-11 11:30:00+00:00,2025-12-11 12:30:00+00:00,long,0.665,0.663,0.668,0.665,SL,8.91,4
2025-12-12 10:45:00+00:00,2025-12-12 11:15:00+00:00,long,0.667,0.666,0.671,0.667,SL,-1.87,2
2025-12-17 10:15:00+00:00,2025-12-17 11:00:00+00:00,long,0.662,0.661,0.664,0.662,SL,-2.89,3
