entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-01 17:00:00+00:00,2025-07-01 17:30:00+00:00,short,0.657,0.659,0.653,0.657,SL,-1.26,2
2025-07-04 17:30:00+00:00,2025-07-04 18:00:00+00:00,short,0.655,0.656,0.651,0.655,SL,-1.94,2
2025-07-07 16:15:00+00:00,2025-07-07 17:15:00+00:00,long,0.65,0.649,0.653,0.651,SL,20.55,4
2025-07-08 16:15:00+00:00,2025-07-08 16:45:00+00:00,short,0.653,0.655,0.649,0.652,SL,16.87,2
2025-07-09 17:15:00+00:00,2025-07-09 17:45:00+00:00,long,0.654,0.651,0.661,0.654,SL,-3.31,2
2025-07-10 17:45:00+00:00,2025-07-10 18:15:00+00:00,long,0.656,0.654,0.66,0.656,SL,5.99,2
2025-07-15 16:30:00+00:00,2025-07-15 17:15:00+00:00,short,0.655,0.658,0.648,0.653,SL,16.56,3
2025-07-16 17:15:00+00:00,2025-07-16 17:45:00+00:00,short,0.65,0.653,0.644,0.65,SL,4.18,2
2025-07-17 16:30:00+00:00,2025-07-17 17:00:00+00:00,long,0.648,0.645,0.653,0.647,SL,-1.89,2
2025-07-18 16:00:00+00:00,2025-07-18 16:30:00+00:00,long,0.653,0.652,0.656,0.654,SL,11.12,2
2025-07-21 16:00:00+00:00,2025-07-21 16:30:00+00:00,short,0.652,0.653,0.649,0.652,SL,2.55,2
2025-07-22 16:00:00+00:00,2025-07-22 16:30:00+00:00,long,0.653,0.652,0.657,0.654,SL,3.67,2
2025-07-23 16:30:00+00:00,2025-07-23 17:00:00+00:00,short,0.658,0.66,0.654,0.658,SL,-0.54,2
2025-07-24 19:00:00+00:00,2025-07-24 19:30:00+00:00,short,0.66,0.662,0.653,0.66,SL,0.92,2
2025-07-25 16:00:00+00:00,2025-07-25 16:30:00+00:00,short,0.655,0.657,0.651,0.655,SL,-1.53,2
2025-07-28 16:00:00+00:00,2025-07-28 16:15:00+00:00,long,0.653,0.652,0.656,0.652,SL,-25.0,1
2025-07-29 16:30:00+00:00,2025-07-29 17:00:00+00:00,long,0.651,0.649,0.653,0.651,SL,3.99,2
2025-07-30 21:30:00+00:00,2025-07-30 22:00:00+00:00,short,0.645,0.649,0.634,0.643,SL,8.75,2
2025-07-31 16:00:00+00:00,2025-07-31 16:30:00+00:00,short,0.643,0.645,0.64,0.643,SL,1.21,2
2025-08-04 18:45:00+00:00,2025-08-04 19:15:00+00:00,short,0.646,0.649,0.64,0.646,SL,0.65,2
2025-08-05 19:30:00+00:00,2025-08-05 20:45:00+00:00,long,0.647,0.646,0.652,0.648,SL,3.4,5
2025-08-06 16:00:00+00:00,2025-08-06 16:30:00+00:00,long,0.651,0.649,0.654,0.651,SL,-1.96,2
2025-08-07 16:00:00+00:00,2025-08-07 16:30:00+00:00,long,0.653,0.652,0.655,0.653,SL,-3.58,2
2025-08-11 19:00:00+00:00,2025-08-11 19:30:00+00:00,long,0.652,0.65,0.655,0.651,SL,-1.35,2
2025-08-12 17:45:00+00:00,2025-08-12 18:30:00+00:00,long,0.652,0.648,0.66,0.653,SL,10.62,3
2025-08-13 20:45:00+00:00,2025-08-13 21:15:00+00:00,short,0.654,0.656,0.65,0.654,SL,-0.84,2
2025-08-14 16:00:00+00:00,2025-08-14 16:30:00+00:00,short,0.65,0.653,0.643,0.65,SL,2.46,2
2025-08-18 16:00:00+00:00,2025-08-18 16:30:00+00:00,short,0.65,0.651,0.648,0.651,SL,-3.18,2
2025-08-19 17:00:00+00:00,2025-08-19 17:30:00+00:00,short,0.647,0.65,0.641,0.647,SL,-1.24,2
2025-08-20 16:45:00+00:00,2025-08-20 17:15:00+00:00,short,0.643,0.645,0.637,0.643,SL,-0.61,2
2025-08-22 17:00:00+00:00,2025-08-22 17:30:00+00:00,long,0.648,0.642,0.662,0.648,SL,3.23,2
2025-08-25 21:30:00+00:00,2025-08-25 22:15:00+00:00,short,0.648,0.65,0.644,0.648,SL,4.89,3
2025-08-26 18:15:00+00:00,2025-08-26 18:45:00+00:00,long,0.65,0.648,0.653,0.649,SL,-3.86,2
2025-08-27 16:00:00+00:00,2025-08-27 16:30:00+00:00,long,0.648,0.646,0.65,0.647,SL,-5.27,2
2025-08-28 16:30:00+00:00,2025-08-28 17:00:00+00:00,short,0.652,0.654,0.648,0.652,SL,-2.03,2
2025-08-29 16:30:00+00:00,2025-08-29 17:00:00+00:00,long,0.653,0.652,0.657,0.654,SL,1.58,2
2025-09-01 17:00:00+00:00,2025-09-01 17:45:00+00:00,long,0.656,0.655,0.657,0.656,SL,4.14,3
2025-09-03 18:30:00+00:00,2025-09-03 19:00:00+00:00,long,0.655,0.653,0.66,0.655,SL,-0.66,2
2025-09-04 16:30:00+00:00,2025-09-04 17:00:00+00:00,long,0.652,0.651,0.657,0.652,SL,-2.93,2
2025-09-08 16:00:00+00:00,2025-09-08 16:30:00+00:00,long,0.66,0.658,0.663,0.66,SL,-3.16,2
2025-09-10 16:45:00+00:00,2025-09-10 17:15:00+00:00,long,0.663,0.66,0.67,0.663,SL,4.13,2
2025-09-12 17:15:00+00:00,2025-09-12 17:45:00+00:00,long,0.665,0.663,0.669,0.664,SL,-2.86,2
2025-09-15 20:30:00+00:00,2025-09-15 21:00:00+00:00,long,0.667,0.666,0.67,0.667,SL,3.01,2
2025-09-16 21:00:00+00:00,2025-09-16 21:30:00+00:00,long,0.669,0.666,0.675,0.668,SL,-1.27,2
2025-09-17 21:00:00+00:00,2025-09-17 21:30:00+00:00,long,0.669,0.667,0.673,0.669,SL,8.15,2
2025-09-18 16:00:00+00:00,2025-09-18 16:45:00+00:00,short,0.663,0.665,0.657,0.661,SL,20.48,3
2025-09-19 16:00:00+00:00,2025-09-19 16:30:00+00:00,long,0.66,0.658,0.663,0.66,SL,0.8,2
2025-09-23 16:00:00+00:00,2025-09-23 16:30:00+00:00,long,0.661,0.66,0.663,0.661,SL,-4.01,2
2025-09-26 16:00:00+00:00,2025-09-26 16:30:00+00:00,long,0.654,0.652,0.659,0.654,SL,-2.09,2
2025-09-29 17:30:00+00:00,2025-09-29 18:00:00+00:00,long,0.657,0.656,0.661,0.658,SL,4.07,2
2025-10-02 16:30:00+00:00,2025-10-02 17:00:00+00:00,short,0.659,0.661,0.654,0.659,SL,-1.11,2
2025-10-03 18:45:00+00:00,2025-10-03 19:15:00+00:00,long,0.661,0.66,0.665,0.661,SL,-3.49,2
2025-10-06 16:30:00+00:00,2025-10-06 17:00:00+00:00,long,0.662,0.659,0.667,0.662,SL,-0.46,2
2025-10-07 16:00:00+00:00,2025-10-07 16:30:00+00:00,long,0.659,0.658,0.662,0.659,SL,9.26,2
2025-10-08 16:00:00+00:00,2025-10-08 16:30:00+00:00,long,0.658,0.657,0.662,0.659,SL,2.89,2
2025-10-09 16:30:00+00:00,2025-10-09 17:15:00+00:00,short,0.659,0.661,0.652,0.658,SL,9.4,3
2025-10-10 16:00:00+00:00,2025-10-10 16:30:00+00:00,short,0.655,0.656,0.653,0.655,SL,-0.74,2
2025-10-15 20:15:00+00:00,2025-10-15 20:45:00+00:00,short,0.649,0.652,0.643,0.65,SL,-2.33,2
2025-10-16 16:30:00+00:00,2025-10-16 17:00:00+00:00,short,0.649,0.651,0.646,0.649,SL,9.68,2
2025-10-21 16:30:00+00:00,2025-10-21 17:00:00+00:00,short,0.648,0.65,0.645,0.648,SL,12.39,2
2025-10-22 20:30:00+00:00,2025-10-22 21:00:00+00:00,short,0.648,0.649,0.645,0.648,SL,-2.76,2
2025-10-23 16:15:00+00:00,2025-10-23 16:45:00+00:00,long,0.651,0.65,0.654,0.651,SL,1.84,2
2025-10-27 16:30:00+00:00,2025-10-27 17:00:00+00:00,short,0.655,0.656,0.652,0.655,SL,1.2,2
2025-10-28 17:15:00+00:00,2025-10-28 17:45:00+00:00,long,0.657,0.655,0.662,0.658,SL,7.75,2
2025-10-29 16:00:00+00:00,2025-10-29 16:30:00+00:00,long,0.66,0.658,0.664,0.66,SL,4.35,2
2025-10-30 16:00:00+00:00,2025-10-30 16:30:00+00:00,short,0.654,0.656,0.648,0.654,SL,-2.22,2
2025-10-31 16:30:00+00:00,2025-10-31 16:45:00+00:00,short,0.653,0.654,0.651,0.654,SL,-25.0,1
