entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-01-13 15:00:00+00:00,2025-01-13 23:00:00+00:00,short,0.615,0.617,0.611,0.617,SL,-30.0,8
2025-01-13 17:00:00+00:00,2025-01-13 23:00:00+00:00,short,0.615,0.617,0.611,0.617,SL,-30.0,6
2025-03-11 13:00:00+00:00,2025-03-11 21:00:00+00:00,short,0.628,0.63,0.624,0.63,SL,-30.0,8
2025-03-11 17:00:00+00:00,2025-03-11 18:00:00+00:00,short,0.627,0.629,0.622,0.629,SL,-30.0,1
2025-04-11 10:00:00+00:00,2025-04-14 11:00:00+00:00,long,0.622,0.618,0.634,0.634,TP,75.0,25
2025-04-21 19:00:00+00:00,2025-04-22 14:00:00+00:00,long,0.641,0.64,0.646,0.64,SL,-30.0,19
2025-04-21 21:00:00+00:00,2025-04-22 14:00:00+00:00,long,0.641,0.64,0.646,0.64,SL,-30.0,17
2025-04-29 09:00:00+00:00,2025-04-29 13:00:00+00:00,long,0.642,0.64,0.646,0.64,SL,-30.0,4
2025-05-05 22:00:00+00:00,2025-05-06 03:00:00+00:00,long,0.647,0.645,0.652,0.645,SL,-30.0,5
2025-05-09 12:00:00+00:00,2025-05-09 16:00:00+00:00,short,0.64,0.642,0.635,0.642,SL,-30.0,4
2025-05-12 10:00:00+00:00,2025-05-13 15:00:00+00:00,short,0.64,0.643,0.635,0.643,SL,-30.0,29
2025-05-20 21:00:00+00:00,2025-05-21 03:00:00+00:00,short,0.641,0.643,0.637,0.643,SL,-30.0,6
2025-06-13 21:00:00+00:00,2025-06-16 11:00:00+00:00,short,0.649,0.651,0.643,0.651,SL,-30.0,14
2025-06-27 09:00:00+00:00,2025-06-27 13:00:00+00:00,long,0.655,0.654,0.659,0.654,SL,-30.0,4
2025-07-02 18:00:00+00:00,2025-07-03 15:00:00+00:00,long,0.657,0.655,0.661,0.655,SL,-30.0,21
2025-07-04 09:00:00+00:00,2025-07-04 10:00:00+00:00,long,0.657,0.656,0.661,0.656,SL,-30.0,1
2025-07-08 16:00:00+00:00,2025-07-09 17:00:00+00:00,short,0.652,0.654,0.648,0.654,SL,-30.0,25
2025-07-24 16:00:00+00:00,2025-07-24 23:00:00+00:00,long,0.661,0.659,0.664,0.659,SL,-30.0,7
2025-07-29 22:00:00+00:00,2025-07-30 04:00:00+00:00,short,0.651,0.653,0.648,0.653,SL,-30.0,6
2025-07-31 11:00:00+00:00,2025-08-01 15:00:00+00:00,short,0.646,0.647,0.642,0.647,SL,-30.0,28
2025-08-01 21:00:00+00:00,2025-08-01 22:00:00+00:00,short,0.644,0.646,0.638,0.646,SL,-30.0,1
2025-08-12 16:00:00+00:00,2025-08-12 18:00:00+00:00,short,0.65,0.652,0.646,0.652,SL,-30.0,2
2025-08-19 15:00:00+00:00,2025-08-19 21:00:00+00:00,short,0.648,0.65,0.645,0.645,TP,75.0,6
2025-08-21 14:00:00+00:00,2025-08-22 17:00:00+00:00,short,0.642,0.644,0.639,0.644,SL,-30.0,27
2025-08-21 21:00:00+00:00,2025-08-22 17:00:00+00:00,short,0.642,0.644,0.639,0.644,SL,-30.0,20
2025-09-09 16:00:00+00:00,2025-09-09 18:00:00+00:00,long,0.66,0.659,0.663,0.659,SL,-30.0,2
2025-10-08 14:00:00+00:00,2025-10-08 16:00:00+00:00,short,0.657,0.658,0.654,0.658,SL,-30.0,2
2025-10-17 15:00:00+00:00,2025-10-17 21:00:00+00:00,short,0.647,0.65,0.642,0.65,SL,-30.0,6
2025-10-28 12:00:00+00:00,2025-10-28 19:00:00+00:00,long,0.656,0.654,0.659,0.659,TP,75.0,7
2025-10-31 18:00:00+00:00,2025-11-03 07:00:00+00:00,short,0.655,0.656,0.651,0.656,SL,-30.0,13
2025-11-10 18:00:00+00:00,2025-11-13 02:00:00+00:00,long,0.652,0.651,0.656,0.656,TP,75.0,56
2025-11-18 17:00:00+00:00,2025-11-18 18:00:00+00:00,short,0.649,0.65,0.645,0.65,SL,-30.0,1
2025-11-21 16:00:00+00:00,2025-11-21 19:00:00+00:00,short,0.644,0.646,0.638,0.646,SL,-30.0,3
2025-12-18 10:00:00+00:00,2025-12-18 15:00:00+00:00,short,0.661,0.662,0.658,0.662,SL,-30.0,5
2025-12-18 14:00:00+00:00,2025-12-18 15:00:00+00:00,short,0.661,0.662,0.658,0.662,SL,-30.0,1
2025-12-24 15:00:00+00:00,2025-12-29 11:00:00+00:00,long,0.671,0.67,0.673,0.67,SL,-30.0,44
2025-12-24 21:00:00+00:00,2025-12-29 11:00:00+00:00,long,0.671,0.67,0.673,0.67,SL,-30.0,38
