entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-01 10:15:00+00:00,2025-07-01 11:15:00+00:00,short,0.857,0.858,0.855,0.856,SL,29.16,4
2025-07-02 11:45:00+00:00,2025-07-02 12:15:00+00:00,long,0.86,0.858,0.865,0.86,SL,0.71,2
2025-07-03 10:15:00+00:00,2025-07-03 10:45:00+00:00,short,0.864,0.865,0.86,0.864,SL,-1.13,2
2025-07-07 10:00:00+00:00,2025-07-07 10:30:00+00:00,short,0.863,0.864,0.86,0.863,SL,1.98,2
2025-07-08 10:45:00+00:00,2025-07-08 11:30:00+00:00,long,0.862,0.861,0.865,0.863,SL,9.89,3
2025-07-09 10:30:00+00:00,2025-07-09 11:00:00+00:00,short,0.861,0.863,0.858,0.861,SL,-2.67,2
2025-07-10 10:00:00+00:00,2025-07-10 10:30:00+00:00,short,0.862,0.863,0.859,0.862,SL,-2.28,2
2025-07-14 10:00:00+00:00,2025-07-14 10:30:00+00:00,long,0.867,0.866,0.869,0.867,SL,-3.1,2
2025-07-15 10:45:00+00:00,2025-07-15 11:15:00+00:00,short,0.869,0.87,0.867,0.869,SL,-4.59,2
2025-07-16 10:15:00+00:00,2025-07-16 10:45:00+00:00,long,0.867,0.866,0.871,0.867,SL,-2.6,2
2025-07-18 11:15:00+00:00,2025-07-18 11:45:00+00:00,long,0.866,0.865,0.869,0.866,SL,4.89,2
2025-07-21 11:00:00+00:00,2025-07-21 11:30:00+00:00,short,0.866,0.867,0.863,0.866,SL,0.08,2
2025-07-22 11:45:00+00:00,2025-07-22 12:15:00+00:00,short,0.867,0.868,0.865,0.867,SL,6.5,2
2025-07-23 10:15:00+00:00,2025-07-23 10:45:00+00:00,short,0.867,0.868,0.864,0.867,SL,0.06,2
2025-07-24 11:45:00+00:00,2025-07-24 12:15:00+00:00,long,0.868,0.867,0.872,0.868,SL,-2.81,2
2025-07-25 12:15:00+00:00,2025-07-25 12:45:00+00:00,long,0.872,0.87,0.879,0.872,SL,-1.78,2
2025-07-28 10:30:00+00:00,2025-07-28 11:00:00+00:00,short,0.871,0.875,0.863,0.871,SL,4.85,2
2025-07-30 11:15:00+00:00,2025-07-30 11:45:00+00:00,short,0.865,0.865,0.862,0.865,SL,-4.99,2
2025-07-31 10:30:00+00:00,2025-07-31 11:00:00+00:00,long,0.863,0.862,0.867,0.863,SL,3.0,2
2025-08-01 11:15:00+00:00,2025-08-01 11:45:00+00:00,long,0.866,0.865,0.869,0.867,SL,6.44,2
2025-08-04 10:30:00+00:00,2025-08-04 11:00:00+00:00,short,0.871,0.872,0.868,0.871,SL,-0.12,2
2025-08-05 10:30:00+00:00,2025-08-05 11:00:00+00:00,long,0.87,0.869,0.872,0.87,SL,0.91,2
2025-08-06 11:00:00+00:00,2025-08-06 11:30:00+00:00,long,0.871,0.87,0.873,0.871,SL,-0.16,2
2025-08-07 10:30:00+00:00,2025-08-07 11:00:00+00:00,long,0.873,0.873,0.875,0.874,SL,20.1,2
2025-08-08 11:30:00+00:00,2025-08-08 12:00:00+00:00,short,0.866,0.868,0.863,0.866,SL,4.28,2
2025-08-11 10:45:00+00:00,2025-08-11 11:15:00+00:00,short,0.866,0.866,0.864,0.866,SL,1.04,2
2025-08-12 10:30:00+00:00,2025-08-12 11:00:00+00:00,short,0.864,0.865,0.86,0.863,SL,6.27,2
2025-08-13 10:30:00+00:00,2025-08-13 11:00:00+00:00,short,0.864,0.865,0.862,0.864,SL,-0.04,2
2025-08-18 11:30:00+00:00,2025-08-18 12:00:00+00:00,short,0.862,0.864,0.858,0.862,SL,-1.93,2
2025-08-21 10:30:00+00:00,2025-08-21 11:00:00+00:00,long,0.866,0.865,0.871,0.866,SL,-1.36,2
2025-08-22 11:15:00+00:00,2025-08-22 11:45:00+00:00,short,0.864,0.865,0.862,0.864,SL,-2.06,2
2025-08-25 10:15:00+00:00,2025-08-25 10:45:00+00:00,long,0.867,0.866,0.87,0.867,SL,-3.09,2
2025-08-26 11:00:00+00:00,2025-08-26 11:30:00+00:00,short,0.863,0.865,0.859,0.862,SL,11.65,2
2025-08-27 10:30:00+00:00,2025-08-27 11:00:00+00:00,short,0.863,0.864,0.86,0.862,SL,3.56,2
2025-08-28 12:00:00+00:00,2025-08-28 12:30:00+00:00,long,0.862,0.861,0.865,0.862,SL,-1.55,2
2025-08-29 10:15:00+00:00,2025-08-29 11:00:00+00:00,long,0.865,0.864,0.867,0.866,SL,14.09,3
2025-09-01 11:45:00+00:00,2025-09-01 12:15:00+00:00,long,0.867,0.866,0.869,0.867,SL,-3.15,2
2025-09-02 10:00:00+00:00,2025-09-02 10:30:00+00:00,long,0.868,0.865,0.876,0.868,SL,1.96,2
2025-09-03 10:30:00+00:00,2025-09-03 11:00:00+00:00,long,0.871,0.869,0.874,0.871,SL,1.68,2
2025-09-09 10:15:00+00:00,2025-09-09 10:45:00+00:00,short,0.867,0.868,0.865,0.867,SL,2.49,2
2025-09-10 10:15:00+00:00,2025-09-10 10:45:00+00:00,short,0.864,0.866,0.862,0.865,SL,-2.87,2
2025-09-15 10:00:00+00:00,2025-09-15 10:30:00+00:00,short,0.864,0.865,0.863,0.864,SL,1.63,2
2025-09-16 10:30:00+00:00,2025-09-16 11:00:00+00:00,long,0.865,0.864,0.867,0.865,SL,12.7,2
2025-09-18 10:30:00+00:00,2025-09-18 11:00:00+00:00,long,0.868,0.867,0.871,0.868,SL,-1.35,2
2025-09-23 11:30:00+00:00,2025-09-23 12:00:00+00:00,long,0.874,0.872,0.879,0.874,SL,-2.28,2
2025-09-24 10:30:00+00:00,2025-09-24 11:00:00+00:00,long,0.874,0.873,0.877,0.874,SL,-2.07,2
2025-09-29 13:15:00+00:00,2025-09-29 13:45:00+00:00,long,0.873,0.872,0.874,0.873,SL,-4.33,2
2025-09-30 10:00:00+00:00,2025-09-30 10:30:00+00:00,long,0.874,0.873,0.876,0.874,SL,-0.57,2
2025-10-01 10:00:00+00:00,2025-10-01 10:30:00+00:00,long,0.874,0.873,0.877,0.874,SL,-3.41,2
2025-10-02 11:45:00+00:00,2025-10-02 12:15:00+00:00,short,0.87,0.871,0.868,0.87,SL,-0.49,2
2025-10-06 10:45:00+00:00,2025-10-06 11:15:00+00:00,short,0.868,0.872,0.857,0.867,SL,-0.33,2
2025-10-07 10:00:00+00:00,2025-10-07 10:30:00+00:00,long,0.869,0.868,0.872,0.869,SL,-1.49,2
2025-10-08 10:15:00+00:00,2025-10-08 10:45:00+00:00,short,0.867,0.868,0.864,0.866,SL,2.12,2
2025-10-10 10:15:00+00:00,2025-10-10 10:45:00+00:00,long,0.871,0.869,0.874,0.871,SL,0.85,2
2025-10-13 13:15:00+00:00,2025-10-13 13:45:00+00:00,short,0.869,0.871,0.864,0.868,SL,4.74,2
2025-10-15 10:00:00+00:00,2025-10-15 10:30:00+00:00,long,0.871,0.869,0.876,0.872,SL,3.55,2
2025-10-16 10:00:00+00:00,2025-10-16 10:30:00+00:00,short,0.869,0.87,0.866,0.868,SL,10.95,2
2025-10-17 11:00:00+00:00,2025-10-17 11:30:00+00:00,long,0.872,0.87,0.878,0.872,SL,0.3,2
2025-10-20 10:00:00+00:00,2025-10-20 10:30:00+00:00,long,0.869,0.868,0.872,0.869,SL,-2.23,2
2025-10-21 12:15:00+00:00,2025-10-21 12:45:00+00:00,short,0.868,0.869,0.866,0.868,SL,-2.16,2
2025-10-24 10:30:00+00:00,2025-10-24 11:00:00+00:00,long,0.872,0.87,0.876,0.873,SL,4.36,2
2025-10-27 10:15:00+00:00,2025-10-27 10:45:00+00:00,long,0.873,0.872,0.875,0.873,SL,-2.43,2
2025-10-28 10:15:00+00:00,2025-10-28 10:45:00+00:00,long,0.873,0.872,0.875,0.874,SL,17.93,2
2025-10-29 10:15:00+00:00,2025-10-29 10:45:00+00:00,long,0.88,0.878,0.884,0.88,SL,-2.36,2
2025-10-30 12:30:00+00:00,2025-10-30 13:00:00+00:00,long,0.881,0.88,0.885,0.881,SL,-2.27,2
2025-11-04 10:00:00+00:00,2025-11-04 10:30:00+00:00,long,0.879,0.877,0.884,0.88,SL,5.62,2
2025-11-05 13:00:00+00:00,2025-11-05 13:30:00+00:00,long,0.882,0.881,0.884,0.882,SL,-5.06,2
2025-11-07 11:00:00+00:00,2025-11-07 11:30:00+00:00,long,0.88,0.879,0.885,0.881,SL,3.5,2
2025-11-12 10:45:00+00:00,2025-11-12 11:15:00+00:00,long,0.883,0.881,0.887,0.882,SL,-2.6,2
2025-11-17 13:00:00+00:00,2025-11-17 13:30:00+00:00,short,0.881,0.883,0.877,0.881,SL,0.4,2
2025-11-19 12:45:00+00:00,2025-11-19 13:15:00+00:00,long,0.883,0.88,0.889,0.883,SL,-1.07,2
2025-11-20 12:00:00+00:00,2025-11-20 12:30:00+00:00,short,0.881,0.882,0.879,0.881,SL,-2.09,2
2025-11-21 13:00:00+00:00,2025-11-21 13:30:00+00:00,short,0.881,0.883,0.877,0.882,SL,-2.54,2
2025-11-24 10:15:00+00:00,2025-11-24 10:45:00+00:00,long,0.88,0.879,0.883,0.88,SL,2.77,2
2025-11-25 10:45:00+00:00,2025-11-25 11:15:00+00:00,long,0.879,0.878,0.883,0.879,SL,-1.54,2
2025-11-26 10:15:00+00:00,2025-11-26 10:45:00+00:00,short,0.878,0.88,0.875,0.878,SL,3.43,2
2025-11-27 10:00:00+00:00,2025-11-27 10:30:00+00:00,long,0.876,0.875,0.879,0.877,SL,6.29,2
2025-11-28 10:30:00+00:00,2025-11-28 11:00:00+00:00,short,0.876,0.877,0.874,0.876,SL,1.0,2
2025-12-01 10:00:00+00:00,2025-12-01 10:30:00+00:00,long,0.878,0.877,0.881,0.879,SL,15.45,2
2025-12-03 10:30:00+00:00,2025-12-03 11:00:00+00:00,short,0.879,0.879,0.876,0.878,SL,12.32,2
2025-12-04 10:45:00+00:00,2025-12-04 11:15:00+00:00,long,0.875,0.874,0.878,0.875,SL,0.61,2
2025-12-05 10:00:00+00:00,2025-12-05 10:30:00+00:00,short,0.873,0.874,0.872,0.873,SL,14.05,2
2025-12-08 10:15:00+00:00,2025-12-08 10:45:00+00:00,short,0.875,0.875,0.873,0.874,SL,2.89,2
2025-12-09 10:00:00+00:00,2025-12-09 10:30:00+00:00,short,0.873,0.874,0.871,0.873,SL,-4.24,2
2025-12-11 10:30:00+00:00,2025-12-11 11:00:00+00:00,long,0.875,0.874,0.878,0.875,SL,-1.21,2
2025-12-15 10:00:00+00:00,2025-12-15 10:30:00+00:00,short,0.878,0.878,0.876,0.878,SL,-1.49,2
2025-12-16 10:15:00+00:00,2025-12-16 10:45:00+00:00,short,0.878,0.879,0.876,0.878,SL,10.2,2
2025-12-19 11:30:00+00:00,2025-12-19 12:00:00+00:00,short,0.875,0.876,0.873,0.875,SL,5.72,2
2025-12-22 12:00:00+00:00,2025-12-22 12:30:00+00:00,short,0.874,0.875,0.87,0.874,SL,-1.76,2
2025-12-23 10:00:00+00:00,2025-12-23 10:30:00+00:00,short,0.872,0.873,0.869,0.872,SL,1.3,2
2025-12-29 12:30:00+00:00,2025-12-29 13:00:00+00:00,short,0.872,0.873,0.868,0.871,SL,6.07,2
2025-12-30 11:00:00+00:00,2025-12-30 11:30:00+00:00,short,0.871,0.872,0.869,0.871,SL,-0.2,2
2025-12-31 10:30:00+00:00,2025-12-31 11:00:00+00:00,long,0.873,0.872,0.874,0.873,SL,9.91,2
