entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-01 16:30:00+00:00,2025-07-01 17:00:00+00:00,long,0.859,0.858,0.861,0.859,SL,8.8,2
2025-07-03 17:45:00+00:00,2025-07-03 18:15:00+00:00,short,0.861,0.864,0.855,0.861,SL,-2.54,2
2025-07-04 18:00:00+00:00,2025-07-04 18:30:00+00:00,long,0.863,0.862,0.867,0.863,SL,1.92,2
2025-07-07 18:15:00+00:00,2025-07-07 18:45:00+00:00,short,0.86,0.862,0.857,0.86,SL,-2.22,2
2025-07-08 16:45:00+00:00,2025-07-08 17:15:00+00:00,long,0.864,0.863,0.866,0.864,SL,5.81,2
2025-07-09 17:30:00+00:00,2025-07-09 18:00:00+00:00,long,0.862,0.86,0.866,0.862,SL,4.31,2
2025-07-10 17:15:00+00:00,2025-07-10 17:45:00+00:00,short,0.862,0.863,0.858,0.862,SL,4.95,2
2025-07-11 16:45:00+00:00,2025-07-11 17:15:00+00:00,long,0.866,0.865,0.869,0.866,SL,6.51,2
2025-07-14 17:30:00+00:00,2025-07-14 18:00:00+00:00,long,0.868,0.866,0.874,0.869,SL,4.02,2
2025-07-16 16:15:00+00:00,2025-07-16 16:45:00+00:00,short,0.865,0.867,0.862,0.865,SL,-1.51,2
2025-07-17 16:00:00+00:00,2025-07-17 16:30:00+00:00,long,0.865,0.863,0.869,0.865,SL,-2.84,2
2025-07-18 17:00:00+00:00,2025-07-18 17:30:00+00:00,long,0.866,0.865,0.869,0.866,SL,2.8,2
2025-07-21 16:30:00+00:00,2025-07-21 17:00:00+00:00,long,0.866,0.865,0.868,0.866,SL,-2.34,2
2025-07-22 16:00:00+00:00,2025-07-22 16:30:00+00:00,short,0.866,0.868,0.863,0.867,SL,-3.18,2
2025-07-23 17:00:00+00:00,2025-07-23 17:30:00+00:00,short,0.865,0.867,0.862,0.866,SL,-3.44,2
2025-07-24 16:00:00+00:00,2025-07-24 16:30:00+00:00,long,0.868,0.867,0.872,0.869,SL,12.78,2
2025-07-25 17:00:00+00:00,2025-07-25 17:45:00+00:00,long,0.873,0.871,0.877,0.873,SL,6.13,3
2025-07-28 16:15:00+00:00,2025-07-28 16:45:00+00:00,short,0.867,0.869,0.862,0.867,SL,-2.12,2
2025-07-29 16:45:00+00:00,2025-07-29 17:15:00+00:00,long,0.866,0.864,0.87,0.866,SL,2.26,2
2025-07-30 16:30:00+00:00,2025-07-30 17:00:00+00:00,long,0.863,0.861,0.866,0.863,SL,11.87,2
2025-07-31 17:00:00+00:00,2025-07-31 17:30:00+00:00,long,0.865,0.864,0.869,0.865,SL,-3.84,2
2025-08-04 17:00:00+00:00,2025-08-04 17:45:00+00:00,short,0.87,0.871,0.866,0.869,SL,12.57,3
2025-08-05 17:15:00+00:00,2025-08-05 18:00:00+00:00,long,0.869,0.868,0.872,0.87,SL,17.96,3
2025-08-11 17:15:00+00:00,2025-08-11 17:45:00+00:00,short,0.865,0.866,0.862,0.865,SL,4.61,2
2025-08-12 16:45:00+00:00,2025-08-12 17:15:00+00:00,long,0.864,0.861,0.871,0.864,SL,-0.56,2
2025-08-13 16:00:00+00:00,2025-08-13 16:30:00+00:00,short,0.862,0.864,0.86,0.863,SL,-0.32,2
2025-08-19 17:00:00+00:00,2025-08-19 17:30:00+00:00,short,0.864,0.865,0.861,0.864,SL,2.21,2
2025-08-20 17:15:00+00:00,2025-08-20 18:00:00+00:00,long,0.866,0.864,0.87,0.866,SL,4.27,3
2025-08-22 16:30:00+00:00,2025-08-22 17:00:00+00:00,short,0.864,0.866,0.862,0.864,SL,8.8,2
2025-08-25 18:30:00+00:00,2025-08-25 20:30:00+00:00,short,0.865,0.867,0.862,0.864,SL,26.24,8
2025-08-27 17:15:00+00:00,2025-08-27 17:45:00+00:00,short,0.862,0.863,0.858,0.861,SL,2.68,2
2025-08-29 18:30:00+00:00,2025-08-29 19:00:00+00:00,short,0.866,0.867,0.863,0.866,SL,-0.76,2
2025-09-01 16:00:00+00:00,2025-09-01 16:30:00+00:00,short,0.865,0.866,0.861,0.865,SL,-2.31,2
2025-09-02 18:00:00+00:00,2025-09-02 18:30:00+00:00,long,0.871,0.869,0.875,0.871,SL,-0.78,2
2025-09-04 17:00:00+00:00,2025-09-04 17:30:00+00:00,long,0.867,0.866,0.87,0.867,SL,-4.22,2
2025-09-08 16:00:00+00:00,2025-09-08 16:30:00+00:00,long,0.867,0.866,0.871,0.867,SL,-1.87,2
2025-09-09 17:00:00+00:00,2025-09-09 17:30:00+00:00,long,0.867,0.865,0.869,0.866,SL,-3.72,2
2025-09-10 17:45:00+00:00,2025-09-10 18:15:00+00:00,long,0.865,0.864,0.87,0.865,SL,-1.84,2
2025-09-11 16:45:00+00:00,2025-09-11 17:15:00+00:00,long,0.866,0.863,0.874,0.866,SL,-2.54,2
2025-09-12 17:15:00+00:00,2025-09-12 17:45:00+00:00,short,0.864,0.866,0.861,0.864,SL,-1.42,2
2025-09-16 17:00:00+00:00,2025-09-16 17:45:00+00:00,long,0.866,0.864,0.871,0.867,SL,14.48,3
2025-09-17 16:15:00+00:00,2025-09-17 16:45:00+00:00,long,0.868,0.867,0.87,0.868,SL,2.73,2
2025-09-18 18:45:00+00:00,2025-09-18 19:15:00+00:00,long,0.869,0.867,0.876,0.869,SL,-1.92,2
2025-09-19 16:45:00+00:00,2025-09-19 17:15:00+00:00,long,0.872,0.87,0.875,0.872,SL,-1.83,2
2025-09-29 17:45:00+00:00,2025-09-29 18:15:00+00:00,long,0.874,0.872,0.88,0.874,SL,-1.87,2
2025-10-01 16:45:00+00:00,2025-10-01 17:15:00+00:00,short,0.869,0.871,0.864,0.869,SL,-2.38,2
2025-10-02 16:15:00+00:00,2025-10-02 16:45:00+00:00,long,0.872,0.871,0.876,0.873,SL,1.54,2
2025-10-03 16:45:00+00:00,2025-10-03 17:15:00+00:00,short,0.871,0.873,0.867,0.872,SL,-2.8,2
2025-10-06 16:00:00+00:00,2025-10-06 16:30:00+00:00,long,0.87,0.869,0.872,0.87,SL,-4.87,2
2025-10-07 16:00:00+00:00,2025-10-07 16:45:00+00:00,short,0.87,0.871,0.867,0.869,SL,16.33,3
2025-10-08 16:15:00+00:00,2025-10-08 17:30:00+00:00,short,0.867,0.868,0.864,0.866,SL,19.94,5
2025-10-09 17:00:00+00:00,2025-10-09 17:30:00+00:00,long,0.869,0.867,0.872,0.868,SL,-2.45,2
