entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-04 12:00:00+00:00,2025-07-04 14:00:00+00:00,long,0.862,0.861,0.865,0.863,SL,7.69,2
2025-07-16 10:00:00+00:00,2025-07-16 12:00:00+00:00,long,0.867,0.867,0.87,0.868,SL,13.67,2
2025-08-04 18:00:00+00:00,2025-08-04 23:00:00+00:00,long,0.87,0.869,0.874,0.871,SL,12.18,5
2025-08-05 17:00:00+00:00,2025-08-05 19:00:00+00:00,long,0.87,0.869,0.873,0.87,SL,3.9,2
2025-08-08 17:00:00+00:00,2025-08-08 19:00:00+00:00,short,0.867,0.869,0.864,0.867,SL,1.45,2
2025-09-10 18:00:00+00:00,2025-09-10 20:00:00+00:00,short,0.865,0.866,0.862,0.865,SL,1.37,2
2025-09-15 19:00:00+00:00,2025-09-15 21:00:00+00:00,short,0.865,0.866,0.862,0.865,SL,-8.66,2
2025-09-15 22:00:00+00:00,2025-09-16 00:00:00+00:00,short,0.865,0.865,0.862,0.865,SL,-5.96,2
2025-09-23 16:00:00+00:00,2025-09-23 18:00:00+00:00,long,0.873,0.872,0.876,0.873,SL,-0.03,2
2025-09-23 18:00:00+00:00,2025-09-23 22:00:00+00:00,long,0.873,0.872,0.876,0.874,SL,18.76,4
2025-10-07 11:00:00+00:00,2025-10-07 13:00:00+00:00,short,0.868,0.869,0.866,0.868,SL,3.27,2
2025-10-07 17:00:00+00:00,2025-10-07 19:00:00+00:00,short,0.868,0.87,0.865,0.868,SL,-2.98,2
2025-10-30 16:00:00+00:00,2025-10-30 18:00:00+00:00,long,0.88,0.879,0.884,0.88,SL,-8.68,2
2025-11-05 12:00:00+00:00,2025-11-05 14:00:00+00:00,long,0.882,0.88,0.885,0.882,SL,6.02,2
2025-11-14 13:00:00+00:00,2025-11-14 15:00:00+00:00,long,0.884,0.882,0.889,0.884,SL,-5.24,2
2025-12-04 11:00:00+00:00,2025-12-04 13:00:00+00:00,short,0.875,0.876,0.873,0.874,SL,23.24,2
2025-12-05 20:00:00+00:00,2025-12-05 22:00:00+00:00,short,0.873,0.874,0.871,0.873,SL,-5.76,2
2025-12-19 19:00:00+00:00,2025-12-19 23:00:00+00:00,short,0.876,0.877,0.874,0.876,SL,13.98,4
2025-12-23 14:00:00+00:00,2025-12-23 16:00:00+00:00,short,0.873,0.874,0.871,0.872,SL,25.01,2
