entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-01-03 11:00:00+00:00,2025-01-03 14:00:00+00:00,long,161.814,161.409,162.827,161.907,SL,6.89,3
2025-01-06 09:00:00+00:00,2025-01-06 11:00:00+00:00,long,162.818,161.907,165.094,163.144,SL,10.75,2
2025-01-10 09:00:00+00:00,2025-01-10 10:00:00+00:00,long,163.096,162.589,164.364,162.589,SL,-30.0,1
2025-01-13 11:00:00+00:00,2025-01-13 13:00:00+00:00,short,160.142,161.821,155.945,160.191,SL,-0.88,2
2025-01-14 11:00:00+00:00,2025-01-14 13:00:00+00:00,long,162.035,160.892,164.893,162.023,SL,-0.32,2
2025-01-15 07:00:00+00:00,2025-01-15 09:00:00+00:00,short,161.924,162.914,159.45,161.959,SL,-1.07,2
2025-01-17 10:00:00+00:00,2025-01-17 12:00:00+00:00,long,160.322,159.679,161.93,160.417,SL,4.45,2
2025-01-20 08:00:00+00:00,2025-01-20 10:00:00+00:00,long,161.04,160.287,162.923,161.035,SL,-0.2,2
2025-01-22 09:00:00+00:00,2025-01-22 11:00:00+00:00,long,162.466,161.839,164.032,162.499,SL,1.59,2
2025-01-23 07:00:00+00:00,2025-01-23 09:00:00+00:00,long,163.042,162.697,163.904,163.03,SL,-1.05,2
2025-01-24 11:00:00+00:00,2025-01-24 13:00:00+00:00,long,163.278,161.873,166.791,163.483,SL,4.37,2
2025-01-27 11:00:00+00:00,2025-01-27 13:00:00+00:00,short,162.153,163.391,159.059,161.641,SL,12.41,2
2025-01-30 08:00:00+00:00,2025-01-30 10:00:00+00:00,short,160.821,161.818,158.328,160.813,SL,0.24,2
2025-01-31 07:00:00+00:00,2025-01-31 09:00:00+00:00,long,160.726,159.869,162.869,160.843,SL,4.1,2
2025-02-04 11:00:00+00:00,2025-02-04 13:00:00+00:00,long,160.601,159.169,164.182,160.507,SL,-1.96,2
2025-02-07 09:00:00+00:00,2025-02-07 11:00:00+00:00,long,157.734,156.729,160.248,157.81,SL,2.25,2
2025-02-10 09:00:00+00:00,2025-02-10 11:00:00+00:00,long,156.929,155.54,160.401,157.289,SL,7.77,2
2025-02-11 10:00:00+00:00,2025-02-11 13:00:00+00:00,long,156.7,156.231,157.871,156.967,SL,17.11,3
2025-02-17 10:00:00+00:00,2025-02-17 12:00:00+00:00,short,158.959,159.861,156.704,158.99,SL,-1.03,2
2025-02-19 10:00:00+00:00,2025-02-19 12:00:00+00:00,short,158.401,159.15,156.527,158.179,SL,8.87,2
2025-03-05 10:00:00+00:00,2025-03-05 12:00:00+00:00,long,159.636,158.091,163.498,159.953,SL,6.16,2
2025-03-06 09:00:00+00:00,2025-03-06 12:00:00+00:00,short,160.224,161.313,157.502,159.518,SL,19.45,3
2025-03-07 09:00:00+00:00,2025-03-07 11:00:00+00:00,long,159.9,159.226,161.585,160.081,SL,8.04,2
2025-03-11 09:00:00+00:00,2025-03-11 11:00:00+00:00,long,159.842,158.931,162.119,159.993,SL,4.97,2
2025-03-12 10:00:00+00:00,2025-03-12 12:00:00+00:00,long,161.983,160.978,164.496,161.926,SL,-1.71,2
2025-03-14 08:00:00+00:00,2025-03-14 10:00:00+00:00,long,161.091,160.19,163.344,161.15,SL,1.98,2
2025-03-17 07:00:00+00:00,2025-03-17 09:00:00+00:00,long,162.178,161.506,163.858,162.098,SL,-3.58,2
2025-03-18 09:00:00+00:00,2025-03-18 12:00:00+00:00,long,163.528,162.75,165.472,164.108,SL,22.38,3
2025-03-19 08:00:00+00:00,2025-03-19 10:00:00+00:00,long,163.745,163.227,165.04,163.8,SL,3.21,2
2025-03-20 08:00:00+00:00,2025-03-20 10:00:00+00:00,short,161.65,162.351,159.897,161.504,SL,6.25,2
2025-03-21 08:00:00+00:00,2025-03-21 10:00:00+00:00,long,161.939,161.267,163.618,161.97,SL,1.37,2
2025-03-26 07:00:00+00:00,2025-03-26 09:00:00+00:00,long,162.339,161.651,164.058,162.329,SL,-0.42,2
2025-03-27 09:00:00+00:00,2025-03-27 11:00:00+00:00,long,162.017,161.338,163.714,162.011,SL,-0.27,2
