entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-01 10:00:00+00:00,2025-07-01 11:15:00+00:00,short,169.019,169.389,168.095,168.517,SL,33.97,5
2025-07-02 13:00:00+00:00,2025-07-02 13:30:00+00:00,long,169.665,169.292,170.597,169.631,SL,-2.29,2
2025-07-07 10:15:00+00:00,2025-07-07 10:45:00+00:00,short,170.409,170.759,169.535,170.445,SL,-2.57,2
2025-07-08 10:15:00+00:00,2025-07-08 10:45:00+00:00,long,171.779,171.388,172.757,171.722,SL,-3.64,2
2025-07-09 10:00:00+00:00,2025-07-09 10:30:00+00:00,short,172.047,172.276,171.473,172.004,SL,4.65,2
2025-07-10 13:30:00+00:00,2025-07-10 14:00:00+00:00,short,171.372,171.75,170.426,171.39,SL,-1.17,2
2025-07-11 10:00:00+00:00,2025-07-11 10:30:00+00:00,long,171.643,171.372,172.319,171.667,SL,2.25,2
2025-07-14 10:15:00+00:00,2025-07-14 11:00:00+00:00,long,172.008,171.687,172.812,172.146,SL,10.73,3
2025-07-15 10:15:00+00:00,2025-07-15 10:45:00+00:00,long,172.581,172.4,173.033,172.689,SL,14.94,2
2025-07-16 13:00:00+00:00,2025-07-16 13:30:00+00:00,short,172.684,173.029,171.821,172.67,SL,1.03,2
2025-07-18 10:15:00+00:00,2025-07-18 10:45:00+00:00,long,172.975,172.696,173.671,173.061,SL,7.72,2
2025-07-22 10:45:00+00:00,2025-07-22 11:15:00+00:00,short,172.605,172.898,171.872,172.553,SL,4.41,2
2025-07-24 11:00:00+00:00,2025-07-24 11:30:00+00:00,long,172.189,171.812,173.13,172.217,SL,1.86,2
2025-07-25 10:00:00+00:00,2025-07-25 10:45:00+00:00,long,172.913,172.516,173.906,173.185,SL,17.11,3
2025-07-28 10:30:00+00:00,2025-07-28 11:00:00+00:00,short,173.195,173.807,171.665,173.166,SL,1.18,2
2025-07-29 12:00:00+00:00,2025-07-29 12:30:00+00:00,long,171.844,171.224,173.393,171.972,SL,5.16,2
2025-07-30 10:15:00+00:00,2025-07-30 10:45:00+00:00,long,171.114,170.857,171.757,171.079,SL,-3.41,2
2025-07-31 10:00:00+00:00,2025-07-31 10:45:00+00:00,long,170.687,170.074,172.219,171.08,SL,16.04,3
2025-08-01 11:15:00+00:00,2025-08-01 11:45:00+00:00,short,171.916,172.253,171.074,171.84,SL,5.66,2
2025-08-06 10:00:00+00:00,2025-08-06 10:30:00+00:00,long,170.899,170.646,171.532,170.884,SL,-1.46,2
2025-08-08 12:45:00+00:00,2025-08-08 13:15:00+00:00,long,171.962,171.497,173.124,171.928,SL,-1.83,2
2025-08-11 10:45:00+00:00,2025-08-11 11:15:00+00:00,short,171.658,172.211,170.276,171.637,SL,0.93,2
2025-08-12 11:15:00+00:00,2025-08-12 11:45:00+00:00,long,172.361,172.046,173.15,172.393,SL,2.5,2
2025-08-13 10:15:00+00:00,2025-08-13 10:45:00+00:00,short,172.682,172.863,172.229,172.655,SL,3.73,2
2025-08-14 10:00:00+00:00,2025-08-14 10:30:00+00:00,short,171.082,171.452,170.157,171.051,SL,2.11,2
2025-08-15 10:15:00+00:00,2025-08-15 10:45:00+00:00,long,171.855,171.602,172.487,171.847,SL,-0.75,2
2025-08-19 11:00:00+00:00,2025-08-19 11:30:00+00:00,long,172.464,171.986,173.659,172.432,SL,-1.67,2
2025-08-21 11:00:00+00:00,2025-08-21 11:45:00+00:00,long,171.962,171.491,173.139,172.013,SL,2.71,3
2025-08-22 10:45:00+00:00,2025-08-22 11:15:00+00:00,long,172.295,172.016,172.992,172.278,SL,-1.54,2
2025-08-26 10:00:00+00:00,2025-08-26 10:30:00+00:00,short,171.626,172.036,170.6,171.571,SL,3.35,2
2025-08-27 10:15:00+00:00,2025-08-27 10:45:00+00:00,short,171.566,171.811,170.954,171.473,SL,9.46,2
2025-08-29 10:00:00+00:00,2025-08-29 10:30:00+00:00,long,171.701,171.41,172.429,171.68,SL,-1.79,2
2025-09-01 10:00:00+00:00,2025-09-01 10:30:00+00:00,long,172.359,172.04,173.156,172.434,SL,5.92,2
2025-09-02 10:15:00+00:00,2025-09-02 10:45:00+00:00,long,173.261,172.938,174.067,173.35,SL,6.9,2
2025-09-03 10:00:00+00:00,2025-09-03 10:30:00+00:00,long,173.006,172.728,173.701,173.073,SL,6.04,2
2025-09-05 12:00:00+00:00,2025-09-05 12:30:00+00:00,long,173.166,172.913,173.799,173.148,SL,-1.77,2
2025-09-09 10:15:00+00:00,2025-09-09 10:45:00+00:00,long,173.121,172.884,173.713,173.101,SL,-2.08,2
2025-09-10 10:00:00+00:00,2025-09-10 10:30:00+00:00,short,172.499,172.769,171.824,172.52,SL,-1.95,2
2025-09-12 11:15:00+00:00,2025-09-12 11:45:00+00:00,long,173.33,172.752,174.775,173.34,SL,0.42,2
2025-09-15 10:00:00+00:00,2025-09-15 10:30:00+00:00,long,173.047,172.881,173.461,173.069,SL,3.34,2
2025-09-16 10:45:00+00:00,2025-09-16 11:15:00+00:00,long,173.244,172.995,173.867,173.303,SL,5.95,2
2025-09-18 10:00:00+00:00,2025-09-18 11:00:00+00:00,long,173.924,173.689,174.512,174.049,SL,13.29,4
2025-09-19 10:45:00+00:00,2025-09-19 11:15:00+00:00,long,174.12,173.527,175.604,174.044,SL,-3.19,2
2025-09-26 12:15:00+00:00,2025-09-26 12:45:00+00:00,long,174.937,174.784,175.319,174.917,SL,-3.3,2
2025-09-29 10:30:00+00:00,2025-09-29 11:00:00+00:00,short,174.261,174.531,173.587,174.237,SL,2.2,2
2025-09-30 10:30:00+00:00,2025-09-30 11:00:00+00:00,short,173.758,174.084,172.944,173.738,SL,1.56,2
2025-10-01 10:00:00+00:00,2025-10-01 10:30:00+00:00,short,173.188,173.404,172.649,173.042,SL,16.93,2
2025-10-03 10:45:00+00:00,2025-10-03 11:15:00+00:00,short,172.944,173.216,172.263,172.957,SL,-1.16,2
2025-10-08 10:30:00+00:00,2025-10-08 11:00:00+00:00,long,177.235,176.853,178.191,177.365,SL,8.48,2
2025-10-13 10:15:00+00:00,2025-10-13 10:45:00+00:00,long,176.825,176.306,178.122,176.851,SL,1.24,2
2025-10-14 10:30:00+00:00,2025-10-14 11:00:00+00:00,short,175.387,175.955,173.966,175.45,SL,-2.76,2
2025-10-15 10:00:00+00:00,2025-10-15 10:30:00+00:00,long,175.887,175.4,177.104,175.921,SL,1.74,2
2025-10-16 12:00:00+00:00,2025-10-16 12:30:00+00:00,long,176.374,176.038,177.214,176.388,SL,1.02,2
2025-10-17 10:00:00+00:00,2025-10-17 10:30:00+00:00,short,175.038,175.705,173.369,174.883,SL,5.79,2
2025-10-21 12:00:00+00:00,2025-10-21 12:45:00+00:00,long,176.312,175.822,177.536,176.376,SL,3.28,3
2025-10-23 13:45:00+00:00,2025-10-23 14:30:00+00:00,long,177.02,176.674,177.884,176.99,SL,-2.18,3
2025-10-28 10:00:00+00:00,2025-10-28 10:30:00+00:00,long,177.33,177.06,178.005,177.332,SL,0.15,2
