entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-01-03 17:00:00+00:00,2025-01-06 07:00:00+00:00,long,161.947,161.613,162.782,162.782,TP,75.0,14
2025-01-06 16:00:00+00:00,2025-01-09 06:00:00+00:00,long,163.462,162.805,165.105,162.805,SL,-30.0,62
2025-01-07 18:00:00+00:00,2025-01-09 14:00:00+00:00,short,163.645,164.148,162.389,162.389,TP,75.0,44
2025-01-08 17:00:00+00:00,2025-01-09 06:00:00+00:00,long,163.143,162.759,164.103,162.759,SL,-30.0,13
2025-01-09 18:00:00+00:00,2025-01-10 11:00:00+00:00,long,162.711,162.374,163.554,162.374,SL,-30.0,17
2025-01-10 16:00:00+00:00,2025-01-22 18:00:00+00:00,short,161.958,162.986,159.387,162.986,SL,-30.0,194
2025-01-13 16:00:00+00:00,2025-01-14 11:00:00+00:00,long,160.622,160.022,162.123,162.123,TP,75.0,19
2025-01-14 16:00:00+00:00,2025-01-15 16:00:00+00:00,long,162.031,161.416,163.569,161.416,SL,-30.0,24
2025-01-15 16:00:00+00:00,2025-01-16 04:00:00+00:00,short,161.391,161.998,159.873,159.873,TP,75.0,12
2025-01-16 17:00:00+00:00,2025-01-17 16:00:00+00:00,short,160.097,160.585,158.877,160.585,SL,-30.0,23
2025-01-17 16:00:00+00:00,2025-01-22 11:00:00+00:00,long,160.694,159.928,162.61,162.61,TP,75.0,67
2025-01-20 21:00:00+00:00,2025-01-21 04:00:00+00:00,long,162.179,161.182,164.671,161.182,SL,-30.0,7
2025-01-21 16:00:00+00:00,2025-01-22 12:00:00+00:00,long,161.614,161.149,162.777,162.777,TP,75.0,20
2025-01-22 16:00:00+00:00,2025-01-23 17:00:00+00:00,long,162.784,162.444,163.634,162.444,SL,-30.0,25
2025-01-23 21:00:00+00:00,2025-01-24 02:00:00+00:00,short,162.388,162.801,161.355,162.801,SL,-30.0,5
2025-01-24 16:00:00+00:00,2025-01-27 00:00:00+00:00,long,163.993,163.438,165.38,163.438,SL,-30.0,8
2025-01-27 18:00:00+00:00,2025-01-28 03:00:00+00:00,short,161.796,162.51,160.012,162.51,SL,-30.0,9
2025-01-29 18:00:00+00:00,2025-01-30 03:00:00+00:00,long,161.674,161.227,162.792,161.227,SL,-30.0,9
2025-01-31 16:00:00+00:00,2025-01-31 18:00:00+00:00,short,160.319,161.096,158.376,161.096,SL,-30.0,2
2025-02-03 16:00:00+00:00,2025-02-03 17:00:00+00:00,short,158.406,159.078,156.725,159.078,SL,-30.0,1
2025-02-05 17:00:00+00:00,2025-02-07 18:00:00+00:00,short,158.56,159.544,156.099,156.099,TP,75.0,49
2025-02-06 17:00:00+00:00,2025-02-11 22:00:00+00:00,short,157.287,158.108,155.236,158.108,SL,-30.0,77
2025-02-07 17:00:00+00:00,2025-02-11 21:00:00+00:00,short,156.764,158.01,153.65,158.01,SL,-30.0,52
2025-02-10 16:00:00+00:00,2025-02-11 12:00:00+00:00,short,156.362,157.034,154.682,157.034,SL,-30.0,20
2025-02-11 16:00:00+00:00,2025-02-11 21:00:00+00:00,long,157.356,157.1,157.995,157.995,TP,75.0,5
2025-02-12 16:00:00+00:00,2025-02-17 13:00:00+00:00,long,159.828,158.815,162.361,158.815,SL,-30.0,69
2025-02-17 16:00:00+00:00,2025-02-18 15:00:00+00:00,long,158.718,158.47,159.337,158.47,SL,-30.0,23
2025-02-19 16:00:00+00:00,2025-02-20 09:00:00+00:00,short,157.895,158.497,156.391,156.391,TP,75.0,17
2025-02-21 16:00:00+00:00,2025-02-28 03:00:00+00:00,short,157.014,157.777,155.106,155.106,TP,75.0,107
2025-02-27 21:00:00+00:00,2025-02-28 15:00:00+00:00,short,155.92,156.963,153.313,156.963,SL,-30.0,18
2025-02-28 17:00:00+00:00,2025-03-03 01:00:00+00:00,short,156.695,157.279,155.234,157.279,SL,-30.0,8
2025-03-03 16:00:00+00:00,2025-03-03 22:00:00+00:00,short,157.855,158.537,156.15,156.15,TP,75.0,6
2025-03-04 16:00:00+00:00,2025-03-04 18:00:00+00:00,short,156.168,156.765,154.675,156.765,SL,-30.0,2
2025-03-05 17:00:00+00:00,2025-03-06 11:00:00+00:00,long,160.305,159.445,162.454,159.445,SL,-30.0,18
2025-03-06 17:00:00+00:00,2025-03-10 14:00:00+00:00,long,160.346,158.972,163.781,158.972,SL,-30.0,45
2025-03-10 17:00:00+00:00,2025-03-11 09:00:00+00:00,short,159.169,159.865,157.43,159.865,SL,-30.0,16
2025-03-11 21:00:00+00:00,2025-03-13 09:00:00+00:00,long,161.585,160.592,164.068,160.592,SL,-30.0,36
2025-03-17 16:00:00+00:00,2025-03-18 11:00:00+00:00,long,162.292,161.603,164.014,164.014,TP,75.0,19
2025-03-20 18:00:00+00:00,2025-03-21 18:00:00+00:00,long,161.46,160.771,163.181,160.771,SL,-30.0,24
2025-03-21 18:00:00+00:00,2025-03-24 01:00:00+00:00,short,160.986,161.775,159.013,161.775,SL,-30.0,7
2025-03-24 17:00:00+00:00,2025-03-25 16:00:00+00:00,long,162.496,162.032,163.656,162.032,SL,-30.0,23
2025-03-25 16:00:00+00:00,2025-03-26 18:00:00+00:00,short,162.015,162.537,160.71,162.537,SL,-30.0,26
2025-03-26 19:00:00+00:00,2025-03-26 20:00:00+00:00,long,162.426,161.922,163.685,161.922,SL,-30.0,1
2025-03-27 18:00:00+00:00,2025-03-28 09:00:00+00:00,long,163.038,162.47,164.457,162.47,SL,-30.0,15
2025-03-28 18:00:00+00:00,2025-03-28 20:00:00+00:00,long,162.654,162.172,163.858,162.172,SL,-30.0,2
2025-03-31 16:00:00+00:00,2025-04-01 13:00:00+00:00,long,161.755,161.412,162.613,161.412,SL,-30.0,21
2025-04-01 16:00:00+00:00,2025-04-02 17:00:00+00:00,long,161.225,160.743,162.43,162.43,TP,75.0,25
2025-04-02 19:00:00+00:00,2025-04-03 00:00:00+00:00,long,162.987,161.056,167.815,161.056,SL,-30.0,5
2025-04-03 16:00:00+00:00,2025-04-07 00:00:00+00:00,short,161.363,162.496,158.531,158.531,TP,75.0,32
2025-04-04 17:00:00+00:00,2025-04-04 20:00:00+00:00,short,159.867,161.235,156.446,161.235,SL,-30.0,3
2025-04-07 19:00:00+00:00,2025-04-08 19:00:00+00:00,long,161.724,160.147,165.666,160.147,SL,-30.0,24
2025-04-10 19:00:00+00:00,2025-05-01 19:00:00+00:00,long,161.829,160.892,164.172,164.172,TP,75.0,360
2025-04-11 16:00:00+00:00,2025-04-15 19:00:00+00:00,long,162.54,161.35,165.514,161.35,SL,-30.0,51
2025-04-15 18:00:00+00:00,2025-04-16 11:00:00+00:00,short,161.536,162.06,160.227,162.06,SL,-30.0,17
2025-04-16 17:00:00+00:00,2025-04-17 00:00:00+00:00,long,162.154,161.523,163.733,161.523,SL,-30.0,7
2025-04-22 16:00:00+00:00,2025-04-25 10:00:00+00:00,long,161.52,160.895,163.082,163.082,TP,75.0,66
2025-04-23 20:00:00+00:00,2025-05-01 21:00:00+00:00,long,162.28,161.473,164.298,164.298,TP,75.0,145
2025-04-25 16:00:00+00:00,2025-04-28 16:00:00+00:00,long,163.199,162.631,164.618,162.631,SL,-30.0,24
