entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-04 16:00:00+00:00,2025-07-04 19:00:00+00:00,long,170.165,169.919,170.781,170.241,SL,9.24,3
2025-07-10 10:00:00+00:00,2025-07-10 12:00:00+00:00,long,171.629,171.315,172.415,171.605,SL,-2.27,2
2025-07-17 09:00:00+00:00,2025-07-17 11:00:00+00:00,short,172.163,172.525,171.259,172.245,SL,-6.76,2
2025-07-21 18:00:00+00:00,2025-07-21 20:00:00+00:00,short,172.367,172.735,171.447,172.19,SL,14.45,2
2025-07-25 09:00:00+00:00,2025-07-25 12:00:00+00:00,long,172.755,172.408,173.622,173.489,SL,63.54,3
2025-08-18 14:00:00+00:00,2025-08-18 17:00:00+00:00,long,172.259,172.003,172.898,172.588,SL,38.59,3
2025-08-20 11:00:00+00:00,2025-08-20 13:00:00+00:00,short,171.752,172.119,170.835,171.741,SL,0.88,2
2025-08-20 16:00:00+00:00,2025-08-20 18:00:00+00:00,short,171.561,171.917,170.67,171.463,SL,8.27,2
2025-08-21 17:00:00+00:00,2025-08-21 19:00:00+00:00,long,172.087,171.732,172.974,172.152,SL,5.47,2
2025-08-26 09:00:00+00:00,2025-08-26 11:00:00+00:00,short,171.743,172.044,170.991,171.609,SL,13.34,2
2025-08-26 18:00:00+00:00,2025-08-26 20:00:00+00:00,short,171.702,172.034,170.873,171.619,SL,7.55,2
2025-09-02 20:00:00+00:00,2025-09-02 22:00:00+00:00,long,172.742,172.418,173.551,172.661,SL,-7.5,2
2025-09-03 09:00:00+00:00,2025-09-03 12:00:00+00:00,long,172.88,172.594,173.594,173.176,SL,31.06,3
2025-09-10 11:00:00+00:00,2025-09-10 13:00:00+00:00,short,172.589,172.838,171.966,172.644,SL,-6.63,2
2025-09-10 13:00:00+00:00,2025-09-10 15:00:00+00:00,short,172.546,172.8,171.91,172.597,SL,-5.99,2
2025-09-11 20:00:00+00:00,2025-09-11 22:00:00+00:00,long,172.802,172.507,173.54,172.735,SL,-6.85,2
2025-09-17 21:00:00+00:00,2025-09-17 23:00:00+00:00,long,173.625,173.337,174.346,173.675,SL,5.19,2
2025-09-19 10:00:00+00:00,2025-09-19 12:00:00+00:00,long,174.12,173.772,174.991,174.009,SL,-9.57,2
2025-09-29 16:00:00+00:00,2025-09-29 18:00:00+00:00,short,174.444,174.713,173.771,174.336,SL,12.05,2
2025-10-02 16:00:00+00:00,2025-10-02 18:00:00+00:00,short,172.578,172.918,171.727,172.464,SL,10.01,2
2025-10-17 16:00:00+00:00,2025-10-17 19:00:00+00:00,short,175.472,175.882,174.447,175.378,SL,6.9,3
2025-10-20 09:00:00+00:00,2025-10-20 11:00:00+00:00,short,175.672,176.045,174.74,175.762,SL,-7.26,2
2025-11-05 09:00:00+00:00,2025-11-05 11:00:00+00:00,short,176.389,176.719,175.564,176.418,SL,-2.64,2
2025-11-05 12:00:00+00:00,2025-11-05 14:00:00+00:00,short,176.408,176.741,175.575,176.503,SL,-8.56,2
2025-11-06 11:00:00+00:00,2025-11-06 13:00:00+00:00,long,176.983,176.715,177.653,176.983,SL,-0.04,2
2025-11-06 13:00:00+00:00,2025-11-06 15:00:00+00:00,long,176.999,176.748,177.627,177.057,SL,6.95,2
2025-11-10 19:00:00+00:00,2025-11-11 00:00:00+00:00,long,177.974,177.669,178.735,178.059,SL,8.42,5
2025-11-14 11:00:00+00:00,2025-11-14 13:00:00+00:00,long,179.775,179.494,180.476,179.693,SL,-8.72,2
2025-11-14 18:00:00+00:00,2025-11-14 20:00:00+00:00,long,179.644,179.289,180.532,179.578,SL,-5.61,2
2025-11-17 11:00:00+00:00,2025-11-17 13:00:00+00:00,long,179.533,179.269,180.192,179.542,SL,1.04,2
2025-11-17 16:00:00+00:00,2025-11-17 18:00:00+00:00,long,179.609,179.365,180.218,179.929,SL,39.39,2
2025-11-20 11:00:00+00:00,2025-11-20 13:00:00+00:00,long,181.194,180.833,182.097,181.333,SL,11.52,2
2025-11-27 10:00:00+00:00,2025-11-27 12:00:00+00:00,long,181.214,180.889,182.025,181.135,SL,-7.32,2
2025-11-27 13:00:00+00:00,2025-11-27 17:00:00+00:00,long,181.099,180.791,181.87,181.203,SL,10.13,4
2025-12-02 19:00:00+00:00,2025-12-03 00:00:00+00:00,long,181.003,180.717,181.718,181.094,SL,9.51,5
2025-12-10 20:00:00+00:00,2025-12-10 22:00:00+00:00,long,182.253,181.999,182.887,182.461,SL,24.66,2
2025-12-18 15:00:00+00:00,2025-12-18 16:00:00+00:00,long,182.771,182.473,183.515,182.473,SL,-30.0,1
2025-12-22 22:00:00+00:00,2025-12-23 00:00:00+00:00,long,184.537,184.215,185.342,184.589,SL,4.82,2
2025-12-23 17:00:00+00:00,2025-12-23 19:00:00+00:00,long,184.089,183.754,184.927,184.027,SL,-5.52,2
2025-12-23 21:00:00+00:00,2025-12-24 00:00:00+00:00,long,184.102,183.801,184.855,184.157,SL,5.44,3
2025-12-29 10:00:00+00:00,2025-12-29 12:00:00+00:00,long,184.207,183.904,184.966,184.152,SL,-5.45,2
