entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-04 07:00:00+00:00,2025-07-04 09:00:00+00:00,long,1.178,1.174,1.187,1.178,SL,1.73,2
2025-07-07 11:00:00+00:00,2025-07-07 13:00:00+00:00,short,1.172,1.179,1.156,1.172,SL,-0.5,2
2025-07-08 10:00:00+00:00,2025-07-08 12:00:00+00:00,long,1.176,1.17,1.19,1.176,SL,-1.52,2
2025-07-16 07:00:00+00:00,2025-07-16 10:00:00+00:00,long,1.162,1.159,1.168,1.163,SL,6.21,3
2025-07-17 09:00:00+00:00,2025-07-17 11:00:00+00:00,short,1.158,1.164,1.143,1.158,SL,2.26,2
2025-07-18 11:00:00+00:00,2025-07-18 13:00:00+00:00,long,1.164,1.159,1.175,1.164,SL,2.95,2
2025-07-21 09:00:00+00:00,2025-07-21 11:00:00+00:00,long,1.164,1.161,1.171,1.164,SL,3.21,2
2025-07-22 11:00:00+00:00,2025-07-22 13:00:00+00:00,long,1.17,1.168,1.174,1.17,SL,10.1,2
2025-07-23 08:00:00+00:00,2025-07-23 10:00:00+00:00,short,1.173,1.176,1.166,1.173,SL,-3.36,2
2025-07-24 09:00:00+00:00,2025-07-24 11:00:00+00:00,short,1.176,1.178,1.17,1.176,SL,-1.02,2
2025-07-28 09:00:00+00:00,2025-07-28 11:00:00+00:00,short,1.172,1.177,1.159,1.167,SL,27.83,2
2025-07-29 08:00:00+00:00,2025-07-29 10:00:00+00:00,short,1.158,1.16,1.152,1.153,SL,60.1,2
2025-07-31 09:00:00+00:00,2025-07-31 11:00:00+00:00,long,1.146,1.14,1.16,1.145,SL,-2.44,2
2025-08-01 08:00:00+00:00,2025-08-01 10:00:00+00:00,long,1.143,1.14,1.15,1.143,SL,3.67,2
2025-08-07 07:00:00+00:00,2025-08-07 09:00:00+00:00,long,1.167,1.165,1.173,1.167,SL,2.5,2
2025-08-08 08:00:00+00:00,2025-08-08 10:00:00+00:00,short,1.164,1.168,1.154,1.164,SL,-2.8,2
2025-08-12 07:00:00+00:00,2025-08-12 09:00:00+00:00,long,1.163,1.16,1.169,1.163,SL,-1.81,2
2025-08-13 09:00:00+00:00,2025-08-13 11:00:00+00:00,long,1.169,1.167,1.176,1.171,SL,20.27,2
2025-08-14 09:00:00+00:00,2025-08-14 11:00:00+00:00,short,1.168,1.172,1.161,1.168,SL,4.19,2
2025-08-15 08:00:00+00:00,2025-08-15 10:00:00+00:00,long,1.167,1.164,1.174,1.167,SL,1.1,2
2025-08-18 10:00:00+00:00,2025-08-18 12:00:00+00:00,short,1.168,1.172,1.159,1.167,SL,6.41,2
2025-08-19 10:00:00+00:00,2025-08-19 12:00:00+00:00,long,1.168,1.164,1.18,1.168,SL,-1.54,2
2025-08-22 07:00:00+00:00,2025-08-22 09:00:00+00:00,short,1.158,1.162,1.15,1.159,SL,-1.64,2
2025-08-27 10:00:00+00:00,2025-08-27 12:00:00+00:00,short,1.16,1.165,1.149,1.158,SL,15.17,2
2025-09-01 09:00:00+00:00,2025-09-01 11:00:00+00:00,long,1.173,1.168,1.183,1.173,SL,-0.3,2
2025-09-02 10:00:00+00:00,2025-09-02 12:00:00+00:00,short,1.165,1.172,1.146,1.164,SL,3.55,2
2025-09-03 11:00:00+00:00,2025-09-03 13:00:00+00:00,long,1.166,1.162,1.174,1.166,SL,4.09,2
2025-09-05 08:00:00+00:00,2025-09-05 10:00:00+00:00,long,1.168,1.164,1.177,1.168,SL,-1.64,2
2025-09-08 09:00:00+00:00,2025-09-08 11:00:00+00:00,long,1.173,1.17,1.179,1.173,SL,4.46,2
2025-09-09 08:00:00+00:00,2025-09-09 09:00:00+00:00,long,1.178,1.176,1.183,1.176,SL,-30.95,1
2025-09-10 07:00:00+00:00,2025-09-10 09:00:00+00:00,long,1.171,1.169,1.178,1.171,SL,-1.99,2
2025-09-16 09:00:00+00:00,2025-09-16 11:00:00+00:00,long,1.179,1.176,1.187,1.18,SL,11.3,2
2025-09-18 10:00:00+00:00,2025-09-18 12:00:00+00:00,long,1.183,1.181,1.19,1.183,SL,-2.31,2
2025-09-19 09:00:00+00:00,2025-09-19 11:00:00+00:00,short,1.177,1.179,1.17,1.176,SL,6.05,2
2025-09-22 10:00:00+00:00,2025-09-22 12:00:00+00:00,long,1.175,1.172,1.181,1.177,SL,22.79,2
