entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-01-02 10:30:00+00:00,2025-01-02 11:00:00+00:00,short,1.036,1.037,1.032,1.036,SL,0.5,2
2025-01-03 11:30:00+00:00,2025-01-03 12:00:00+00:00,long,1.029,1.027,1.035,1.029,SL,-1.15,2
2025-01-06 10:00:00+00:00,2025-01-06 10:30:00+00:00,long,1.034,1.031,1.041,1.034,SL,2.49,2
2025-01-07 10:45:00+00:00,2025-01-07 11:15:00+00:00,long,1.043,1.04,1.05,1.043,SL,5.13,2
2025-01-08 10:15:00+00:00,2025-01-08 10:45:00+00:00,short,1.033,1.035,1.025,1.033,SL,-0.78,2
2025-01-09 11:15:00+00:00,2025-01-09 11:45:00+00:00,long,1.031,1.029,1.038,1.031,SL,-0.69,2
2025-01-10 10:15:00+00:00,2025-01-10 10:45:00+00:00,long,1.03,1.028,1.036,1.031,SL,9.61,2
2025-01-13 10:00:00+00:00,2025-01-13 10:30:00+00:00,long,1.023,1.021,1.029,1.023,SL,-0.77,2
2025-01-14 10:15:00+00:00,2025-01-14 10:45:00+00:00,long,1.027,1.025,1.031,1.027,SL,-0.52,2
2025-01-16 11:30:00+00:00,2025-01-16 12:00:00+00:00,short,1.028,1.03,1.023,1.028,SL,-1.47,2
2025-01-17 10:15:00+00:00,2025-01-17 10:45:00+00:00,long,1.029,1.028,1.034,1.03,SL,4.59,2
2025-01-20 13:00:00+00:00,2025-01-20 13:30:00+00:00,long,1.032,1.03,1.037,1.032,SL,-0.71,2
2025-01-21 11:00:00+00:00,2025-01-21 11:30:00+00:00,short,1.036,1.039,1.027,1.036,SL,-0.69,2
2025-01-22 11:45:00+00:00,2025-01-22 12:15:00+00:00,long,1.045,1.04,1.056,1.045,SL,1.45,2
2025-01-23 11:30:00+00:00,2025-01-23 12:00:00+00:00,long,1.041,1.039,1.046,1.041,SL,6.0,2
2025-01-24 10:00:00+00:00,2025-01-24 10:30:00+00:00,long,1.048,1.044,1.056,1.048,SL,6.35,2
