entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2024-01-05 10:00:00+00:00,2024-01-05 15:00:00+00:00,long,1.091,1.09,1.094,1.09,SL,-40.0,5
2024-01-25 17:00:00+00:00,2024-01-26 09:00:00+00:00,long,1.083,1.082,1.088,1.082,SL,-40.0,16
2024-01-29 16:00:00+00:00,2024-01-29 22:00:00+00:00,long,1.081,1.08,1.084,1.084,TP,109.28,6
2024-01-29 17:00:00+00:00,2024-01-29 22:00:00+00:00,long,1.08,1.079,1.083,1.083,TP,129.87,5
2024-01-31 16:00:00+00:00,2024-01-31 21:00:00+00:00,short,1.088,1.089,1.083,1.083,TP,130.56,5
2024-02-13 15:00:00+00:00,2024-02-15 15:00:00+00:00,long,1.071,1.069,1.077,1.077,TP,158.58,48
2024-02-20 12:00:00+00:00,2024-02-20 15:00:00+00:00,short,1.08,1.081,1.078,1.081,SL,-40.0,3
2024-02-26 13:00:00+00:00,2024-02-27 09:00:00+00:00,short,1.085,1.086,1.083,1.086,SL,-40.0,20
2024-03-28 12:00:00+00:00,2024-03-28 16:00:00+00:00,long,1.078,1.077,1.082,1.082,TP,182.95,4
2024-04-01 17:00:00+00:00,2024-04-01 18:00:00+00:00,long,1.074,1.073,1.078,1.073,SL,-40.0,1
2024-04-10 15:00:00+00:00,2024-04-10 16:00:00+00:00,long,1.078,1.077,1.085,1.077,SL,-40.0,1
2024-05-13 16:00:00+00:00,2024-05-14 11:00:00+00:00,short,1.08,1.081,1.078,1.078,TP,134.0,19
2024-05-13 17:00:00+00:00,2024-05-14 11:00:00+00:00,short,1.08,1.081,1.078,1.078,TP,123.43,18
2024-05-14 16:00:00+00:00,2024-05-15 09:00:00+00:00,short,1.082,1.083,1.079,1.083,SL,-40.0,17
2024-05-14 17:00:00+00:00,2024-05-15 15:00:00+00:00,short,1.082,1.083,1.079,1.083,SL,-40.0,22
2024-05-15 15:00:00+00:00,2024-05-15 18:00:00+00:00,short,1.086,1.087,1.082,1.087,SL,-40.0,3
2024-06-07 15:00:00+00:00,2024-06-07 16:00:00+00:00,long,1.083,1.082,1.089,1.082,SL,-40.0,1
2024-06-07 16:00:00+00:00,2024-06-07 18:00:00+00:00,long,1.082,1.081,1.089,1.081,SL,-40.0,2
2024-06-13 19:00:00+00:00,2024-06-14 09:00:00+00:00,long,1.074,1.072,1.08,1.072,SL,-40.0,14
2024-06-20 11:00:00+00:00,2024-06-20 18:00:00+00:00,long,1.072,1.071,1.074,1.071,SL,-40.0,7
2024-07-17 11:00:00+00:00,2024-07-18 21:00:00+00:00,short,1.094,1.095,1.09,1.09,TP,172.16,34
2024-07-17 12:00:00+00:00,2024-07-18 21:00:00+00:00,short,1.094,1.095,1.09,1.09,TP,168.43,33
2024-07-29 14:00:00+00:00,2024-07-29 17:00:00+00:00,long,1.082,1.081,1.085,1.081,SL,-40.0,3
2024-08-01 12:00:00+00:00,2024-08-02 12:00:00+00:00,long,1.078,1.077,1.082,1.082,TP,140.77,24
2024-08-02 15:00:00+00:00,2024-08-02 16:00:00+00:00,short,1.089,1.091,1.08,1.091,SL,-40.0,1
2024-08-13 19:00:00+00:00,2024-08-13 21:00:00+00:00,short,1.097,1.098,1.094,1.098,SL,-40.0,2
2024-08-15 15:00:00+00:00,2024-08-16 20:00:00+00:00,long,1.096,1.095,1.101,1.101,TP,183.21,29
