entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-01 16:00:00+00:00,2025-07-01 16:30:00+00:00,short,1.18,1.182,1.175,1.18,SL,2.54,2
2025-07-02 18:45:00+00:00,2025-07-02 19:15:00+00:00,long,1.179,1.174,1.19,1.179,SL,-0.58,2
2025-07-04 17:00:00+00:00,2025-07-04 17:30:00+00:00,long,1.178,1.176,1.183,1.178,SL,-0.26,2
2025-07-07 16:15:00+00:00,2025-07-07 16:45:00+00:00,long,1.174,1.172,1.179,1.174,SL,-0.3,2
2025-07-08 16:00:00+00:00,2025-07-08 16:30:00+00:00,short,1.171,1.173,1.167,1.17,SL,10.78,2
2025-07-10 16:15:00+00:00,2025-07-10 16:45:00+00:00,short,1.17,1.172,1.166,1.169,SL,10.29,2
2025-07-11 18:30:00+00:00,2025-07-11 19:00:00+00:00,long,1.17,1.168,1.176,1.17,SL,-3.73,2
2025-07-14 16:15:00+00:00,2025-07-14 16:45:00+00:00,short,1.168,1.169,1.164,1.168,SL,-0.37,2
2025-07-15 16:30:00+00:00,2025-07-15 17:00:00+00:00,short,1.165,1.169,1.153,1.164,SL,2.38,2
2025-07-16 16:00:00+00:00,2025-07-16 16:30:00+00:00,short,1.159,1.162,1.154,1.158,SL,10.37,2
2025-07-18 16:15:00+00:00,2025-07-18 16:45:00+00:00,long,1.166,1.164,1.172,1.166,SL,-3.88,2
2025-07-21 16:00:00+00:00,2025-07-21 16:30:00+00:00,short,1.166,1.168,1.163,1.166,SL,-1.85,2
2025-07-22 18:00:00+00:00,2025-07-22 18:30:00+00:00,long,1.173,1.168,1.186,1.173,SL,0.89,2
2025-07-23 20:00:00+00:00,2025-07-23 20:30:00+00:00,long,1.176,1.172,1.186,1.176,SL,1.6,2
2025-07-24 16:15:00+00:00,2025-07-24 16:45:00+00:00,long,1.177,1.173,1.187,1.177,SL,-0.58,2
2025-07-25 16:00:00+00:00,2025-07-25 16:15:00+00:00,short,1.171,1.173,1.166,1.173,SL,-25.0,1
2025-07-28 16:15:00+00:00,2025-07-28 16:45:00+00:00,short,1.164,1.167,1.156,1.164,SL,1.71,2
2025-07-29 16:00:00+00:00,2025-07-29 16:30:00+00:00,short,1.152,1.155,1.146,1.152,SL,-4.81,2
2025-07-31 16:30:00+00:00,2025-07-31 17:00:00+00:00,short,1.141,1.145,1.131,1.142,SL,-2.2,2
2025-08-05 16:15:00+00:00,2025-08-05 16:45:00+00:00,long,1.155,1.153,1.161,1.155,SL,-0.87,2
2025-08-06 16:00:00+00:00,2025-08-06 16:30:00+00:00,long,1.163,1.16,1.172,1.163,SL,-1.97,2
2025-08-07 17:00:00+00:00,2025-08-07 17:30:00+00:00,short,1.164,1.167,1.157,1.162,SL,11.56,2
2025-08-11 17:00:00+00:00,2025-08-11 17:45:00+00:00,short,1.161,1.163,1.154,1.16,SL,8.86,3
2025-08-12 18:45:00+00:00,2025-08-12 19:45:00+00:00,long,1.167,1.16,1.186,1.168,SL,1.53,4
2025-08-13 16:00:00+00:00,2025-08-13 16:30:00+00:00,short,1.17,1.172,1.163,1.17,SL,-1.71,2
2025-08-15 16:45:00+00:00,2025-08-15 17:15:00+00:00,long,1.17,1.167,1.178,1.171,SL,6.37,2
2025-08-18 17:45:00+00:00,2025-08-18 18:15:00+00:00,short,1.166,1.168,1.162,1.166,SL,-0.64,2
2025-08-19 16:00:00+00:00,2025-08-19 16:30:00+00:00,short,1.167,1.169,1.163,1.167,SL,0.76,2
2025-08-21 17:00:00+00:00,2025-08-21 17:45:00+00:00,short,1.163,1.166,1.155,1.161,SL,11.79,3
2025-08-22 16:00:00+00:00,2025-08-22 16:30:00+00:00,long,1.162,1.16,1.165,1.161,SL,-3.57,2
2025-08-25 18:15:00+00:00,2025-08-25 18:45:00+00:00,short,1.168,1.171,1.163,1.168,SL,7.63,2
2025-08-28 16:15:00+00:00,2025-08-28 16:45:00+00:00,short,1.166,1.169,1.159,1.166,SL,-1.64,2
2025-08-29 16:30:00+00:00,2025-08-29 17:00:00+00:00,long,1.167,1.165,1.171,1.167,SL,3.57,2
2025-09-02 17:00:00+00:00,2025-09-02 17:30:00+00:00,long,1.168,1.161,1.185,1.168,SL,-0.75,2
2025-09-03 18:15:00+00:00,2025-09-03 18:45:00+00:00,long,1.168,1.164,1.178,1.168,SL,-1.93,2
2025-09-08 16:00:00+00:00,2025-09-08 16:45:00+00:00,long,1.175,1.172,1.182,1.175,SL,1.69,3
2025-09-10 17:00:00+00:00,2025-09-10 17:30:00+00:00,long,1.173,1.169,1.182,1.172,SL,-2.57,2
2025-09-12 17:15:00+00:00,2025-09-12 17:45:00+00:00,long,1.172,1.17,1.179,1.172,SL,-3.34,2
2025-09-15 18:45:00+00:00,2025-09-15 19:15:00+00:00,long,1.177,1.176,1.18,1.177,SL,-0.47,2
2025-09-16 16:15:00+00:00,2025-09-16 16:45:00+00:00,long,1.182,1.179,1.191,1.182,SL,0.52,2
2025-09-17 17:15:00+00:00,2025-09-17 17:45:00+00:00,long,1.186,1.183,1.191,1.185,SL,-2.17,2
2025-09-19 16:00:00+00:00,2025-09-19 16:30:00+00:00,long,1.175,1.173,1.182,1.175,SL,1.15,2
2025-09-22 19:15:00+00:00,2025-09-22 19:45:00+00:00,long,1.179,1.177,1.183,1.179,SL,-4.08,2
2025-09-24 16:00:00+00:00,2025-09-24 16:30:00+00:00,short,1.174,1.176,1.168,1.174,SL,0.27,2
2025-09-26 17:00:00+00:00,2025-09-26 17:30:00+00:00,long,1.169,1.166,1.177,1.169,SL,-1.37,2
2025-09-30 20:30:00+00:00,2025-09-30 21:00:00+00:00,long,1.175,1.173,1.181,1.175,SL,-4.33,2
2025-10-02 16:30:00+00:00,2025-10-02 17:00:00+00:00,short,1.173,1.176,1.164,1.172,SL,6.14,2
2025-10-03 16:30:00+00:00,2025-10-03 17:00:00+00:00,long,1.174,1.173,1.179,1.174,SL,-2.92,2
2025-10-06 16:00:00+00:00,2025-10-06 16:30:00+00:00,long,1.169,1.167,1.175,1.169,SL,-2.71,2
2025-10-07 16:15:00+00:00,2025-10-07 16:45:00+00:00,long,1.167,1.165,1.171,1.166,SL,-4.58,2
2025-10-08 17:45:00+00:00,2025-10-08 18:15:00+00:00,short,1.162,1.164,1.158,1.162,SL,6.08,2
2025-10-09 16:30:00+00:00,2025-10-09 17:00:00+00:00,short,1.16,1.162,1.154,1.16,SL,-1.98,2
2025-10-13 17:15:00+00:00,2025-10-13 17:45:00+00:00,short,1.156,1.158,1.152,1.157,SL,-4.78,2
2025-10-15 18:45:00+00:00,2025-10-15 19:15:00+00:00,long,1.164,1.161,1.17,1.163,SL,-3.55,2
2025-10-16 20:45:00+00:00,2025-10-16 21:15:00+00:00,long,1.169,1.165,1.179,1.169,SL,0.71,2
2025-10-17 17:00:00+00:00,2025-10-17 17:30:00+00:00,short,1.166,1.169,1.158,1.166,SL,-3.32,2
2025-10-20 16:45:00+00:00,2025-10-20 17:15:00+00:00,short,1.165,1.166,1.162,1.165,SL,-2.66,2
2025-10-21 17:30:00+00:00,2025-10-21 18:00:00+00:00,short,1.16,1.162,1.155,1.16,SL,-2.03,2
2025-10-27 16:30:00+00:00,2025-10-27 17:00:00+00:00,short,1.163,1.165,1.159,1.164,SL,-0.95,2
2025-10-28 17:30:00+00:00,2025-10-28 18:00:00+00:00,long,1.166,1.163,1.173,1.166,SL,-1.91,2
2025-10-29 18:45:00+00:00,2025-10-29 19:15:00+00:00,long,1.166,1.163,1.176,1.166,SL,-0.85,2
2025-10-31 16:15:00+00:00,2025-10-31 16:45:00+00:00,short,1.155,1.157,1.15,1.153,SL,18.68,2
2025-11-04 16:00:00+00:00,2025-11-04 16:45:00+00:00,short,1.148,1.15,1.144,1.148,SL,11.12,3
2025-11-06 16:30:00+00:00,2025-11-06 17:00:00+00:00,short,1.152,1.155,1.147,1.152,SL,0.84,2
2025-11-07 16:00:00+00:00,2025-11-07 16:30:00+00:00,long,1.157,1.155,1.162,1.157,SL,-1.98,2
2025-11-10 18:45:00+00:00,2025-11-10 19:15:00+00:00,short,1.154,1.158,1.146,1.154,SL,0.45,2
2025-11-12 16:00:00+00:00,2025-11-12 16:30:00+00:00,short,1.156,1.158,1.152,1.157,SL,-1.11,2
2025-11-13 16:30:00+00:00,2025-11-13 17:00:00+00:00,long,1.163,1.161,1.167,1.163,SL,-0.95,2
2025-11-14 16:00:00+00:00,2025-11-14 16:30:00+00:00,short,1.163,1.166,1.158,1.163,SL,-1.59,2
2025-11-17 16:30:00+00:00,2025-11-17 17:15:00+00:00,short,1.159,1.16,1.155,1.158,SL,2.07,3
2025-11-18 17:45:00+00:00,2025-11-18 18:15:00+00:00,short,1.158,1.16,1.153,1.158,SL,6.58,2
2025-11-19 16:15:00+00:00,2025-11-19 17:15:00+00:00,short,1.156,1.159,1.148,1.155,SL,6.72,4
2025-11-21 16:00:00+00:00,2025-11-21 16:30:00+00:00,short,1.151,1.153,1.147,1.151,SL,2.38,2
2025-11-24 16:00:00+00:00,2025-11-24 16:30:00+00:00,short,1.154,1.155,1.15,1.153,SL,7.55,2
2025-11-25 16:30:00+00:00,2025-11-25 17:00:00+00:00,long,1.157,1.154,1.163,1.157,SL,0.86,2
2025-11-27 17:00:00+00:00,2025-11-27 17:30:00+00:00,long,1.16,1.158,1.164,1.16,SL,-1.64,2
2025-11-28 16:00:00+00:00,2025-11-28 16:30:00+00:00,long,1.158,1.156,1.163,1.158,SL,-3.09,2
2025-12-01 16:00:00+00:00,2025-12-01 16:30:00+00:00,short,1.164,1.165,1.159,1.164,SL,-1.92,2
