entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-01-03 16:00:00+00:00,2025-01-03 17:00:00+00:00,long,1.03,1.029,1.033,1.029,SL,-30.0,1
2025-01-06 16:00:00+00:00,2025-01-10 15:00:00+00:00,short,1.039,1.044,1.026,1.026,TP,75.0,95
2025-01-07 17:00:00+00:00,2025-01-08 13:00:00+00:00,short,1.037,1.041,1.028,1.028,TP,75.0,20
2025-01-08 18:00:00+00:00,2025-01-10 15:00:00+00:00,long,1.031,1.028,1.04,1.028,SL,-30.0,45
2025-01-09 17:00:00+00:00,2025-01-10 15:00:00+00:00,short,1.03,1.032,1.024,1.024,TP,75.0,22
2025-01-14 17:00:00+00:00,2025-01-22 11:00:00+00:00,long,1.029,1.024,1.044,1.044,TP,75.0,138
2025-01-15 18:00:00+00:00,2025-01-20 15:00:00+00:00,short,1.028,1.036,1.008,1.036,SL,-30.0,69
2025-01-21 16:00:00+00:00,2025-01-24 10:00:00+00:00,long,1.039,1.035,1.049,1.049,TP,75.0,66
2025-01-24 16:00:00+00:00,2025-01-27 07:00:00+00:00,long,1.049,1.046,1.057,1.046,SL,-30.0,15
2025-01-27 16:00:00+00:00,2025-01-28 01:00:00+00:00,short,1.051,1.054,1.044,1.044,TP,75.0,9
2025-01-28 16:00:00+00:00,2025-01-29 11:00:00+00:00,long,1.043,1.041,1.048,1.041,SL,-30.0,19
2025-01-29 17:00:00+00:00,2025-01-31 03:00:00+00:00,long,1.042,1.038,1.052,1.038,SL,-30.0,34
2025-02-03 16:00:00+00:00,2025-02-03 17:00:00+00:00,short,1.025,1.03,1.014,1.03,SL,-30.0,1
2025-02-04 16:00:00+00:00,2025-02-07 19:00:00+00:00,long,1.036,1.032,1.047,1.032,SL,-30.0,75
2025-02-06 17:00:00+00:00,2025-02-07 15:00:00+00:00,long,1.037,1.035,1.042,1.035,SL,-30.0,22
2025-02-07 20:00:00+00:00,2025-02-12 19:00:00+00:00,short,1.033,1.042,1.01,1.042,SL,-30.0,71
2025-02-10 16:00:00+00:00,2025-02-11 16:00:00+00:00,short,1.031,1.033,1.026,1.033,SL,-30.0,24
2025-02-11 16:00:00+00:00,2025-02-11 21:00:00+00:00,long,1.033,1.031,1.038,1.038,TP,75.0,5
2025-02-12 18:00:00+00:00,2025-03-04 21:00:00+00:00,long,1.039,1.031,1.059,1.059,TP,75.0,339
2025-02-13 17:00:00+00:00,2025-02-28 20:00:00+00:00,long,1.043,1.037,1.06,1.037,SL,-30.0,267
2025-02-14 21:00:00+00:00,2025-02-18 03:00:00+00:00,long,1.05,1.047,1.058,1.047,SL,-30.0,30
2025-02-18 17:00:00+00:00,2025-02-18 20:00:00+00:00,long,1.047,1.044,1.054,1.044,SL,-30.0,3
2025-02-19 17:00:00+00:00,2025-02-20 10:00:00+00:00,short,1.042,1.044,1.039,1.044,SL,-30.0,17
2025-02-20 17:00:00+00:00,2025-02-27 15:00:00+00:00,long,1.047,1.043,1.058,1.043,SL,-30.0,118
2025-02-21 16:00:00+00:00,2025-02-21 17:00:00+00:00,long,1.048,1.046,1.054,1.046,SL,-30.0,1
2025-02-24 18:00:00+00:00,2025-02-25 02:00:00+00:00,long,1.048,1.046,1.052,1.046,SL,-30.0,8
2025-02-25 21:00:00+00:00,2025-02-26 08:00:00+00:00,long,1.051,1.049,1.056,1.049,SL,-30.0,11
2025-02-28 17:00:00+00:00,2025-03-03 01:00:00+00:00,short,1.04,1.042,1.035,1.042,SL,-30.0,8
2025-03-03 16:00:00+00:00,2025-03-04 14:00:00+00:00,long,1.048,1.045,1.055,1.055,TP,75.0,22
2025-03-04 20:00:00+00:00,2025-03-05 16:00:00+00:00,long,1.059,1.052,1.076,1.076,TP,75.0,20
2025-03-05 16:00:00+00:00,2025-04-03 11:00:00+00:00,long,1.077,1.068,1.099,1.099,TP,75.0,499
2025-03-11 18:00:00+00:00,2025-03-12 06:00:00+00:00,long,1.093,1.09,1.1,1.09,SL,-30.0,12
2025-03-17 17:00:00+00:00,2025-03-19 10:00:00+00:00,long,1.092,1.088,1.1,1.088,SL,-30.0,41
2025-03-18 18:00:00+00:00,2025-03-19 10:00:00+00:00,long,1.093,1.089,1.102,1.089,SL,-30.0,16
2025-03-20 16:00:00+00:00,2025-03-21 15:00:00+00:00,short,1.083,1.086,1.074,1.086,SL,-30.0,23
2025-03-21 17:00:00+00:00,2025-04-02 18:00:00+00:00,short,1.082,1.087,1.072,1.087,SL,-30.0,193
2025-03-24 16:00:00+00:00,2025-03-28 18:00:00+00:00,short,1.079,1.084,1.068,1.084,SL,-30.0,98
