entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2022-02-03 14:00:00+00:00,2022-02-07 15:00:00+00:00,short,1.122,1.123,1.12,1.123,SL,-40.0,49
2022-02-24 15:00:00+00:00,2022-02-25 00:00:00+00:00,long,1.127,1.127,1.129,1.127,SL,-40.0,9
2022-03-09 20:00:00+00:00,2022-03-09 23:00:00+00:00,long,1.134,1.133,1.136,1.133,SL,-40.0,3
2022-03-24 10:00:00+00:00,2022-03-24 23:00:00+00:00,long,1.131,1.13,1.133,1.133,TP,80.0,13
2022-03-25 10:00:00+00:00,2022-03-28 12:00:00+00:00,long,1.133,1.132,1.135,1.135,TP,80.0,26
2022-03-25 15:00:00+00:00,2022-03-28 12:00:00+00:00,long,1.133,1.132,1.135,1.135,TP,80.0,21
2022-04-19 12:00:00+00:00,2022-04-19 21:00:00+00:00,short,1.137,1.138,1.135,1.135,TP,80.0,9
2022-05-02 11:00:00+00:00,2022-05-02 16:00:00+00:00,short,1.135,1.136,1.134,1.134,TP,80.0,5
2022-05-23 12:00:00+00:00,2022-05-23 22:00:00+00:00,short,1.13,1.131,1.128,1.131,SL,-40.0,10
2022-05-23 19:00:00+00:00,2022-05-23 22:00:00+00:00,short,1.13,1.131,1.128,1.131,SL,-40.0,3
2022-05-27 10:00:00+00:00,2022-05-31 19:00:00+00:00,long,1.132,1.131,1.134,1.131,SL,-40.0,57
2022-05-27 15:00:00+00:00,2022-05-31 21:00:00+00:00,long,1.132,1.131,1.134,1.131,SL,-40.0,54
2022-06-15 12:00:00+00:00,2022-06-15 19:00:00+00:00,short,1.133,1.134,1.131,1.134,SL,-40.0,7
2022-06-15 15:00:00+00:00,2022-06-15 19:00:00+00:00,short,1.132,1.133,1.131,1.133,SL,-40.0,4
2022-06-20 16:00:00+00:00,2022-06-21 17:00:00+00:00,short,1.129,1.13,1.127,1.13,SL,-40.0,25
2022-06-20 21:00:00+00:00,2022-06-22 00:00:00+00:00,short,1.13,1.131,1.128,1.131,SL,-40.0,27
2022-07-07 12:00:00+00:00,2022-07-07 21:00:00+00:00,short,1.12,1.121,1.118,1.121,SL,-40.0,9
2022-08-05 20:00:00+00:00,2022-08-08 13:00:00+00:00,long,1.126,1.125,1.128,1.125,SL,-40.0,17
2022-08-26 09:00:00+00:00,2022-08-26 22:00:00+00:00,short,1.111,1.112,1.109,1.109,TP,80.0,13
2022-08-26 12:00:00+00:00,2022-08-29 01:00:00+00:00,short,1.111,1.112,1.109,1.109,TP,80.0,13
2022-09-08 20:00:00+00:00,2022-09-09 05:00:00+00:00,short,1.103,1.104,1.101,1.101,TP,80.0,9
2022-09-12 16:00:00+00:00,2022-09-12 23:00:00+00:00,short,1.1,1.101,1.098,1.101,SL,-40.0,7
2022-10-25 20:00:00+00:00,2022-10-27 08:00:00+00:00,long,1.09,1.089,1.092,1.089,SL,-40.0,36
2022-10-27 22:00:00+00:00,2022-10-28 14:00:00+00:00,short,1.089,1.09,1.087,1.09,SL,-40.0,16
2022-11-16 10:00:00+00:00,2022-11-16 14:00:00+00:00,short,1.079,1.08,1.078,1.08,SL,-40.0,4
2022-11-16 15:00:00+00:00,2022-11-17 07:00:00+00:00,short,1.079,1.08,1.077,1.08,SL,-40.0,16
2022-11-18 19:00:00+00:00,2022-11-21 05:00:00+00:00,short,1.079,1.08,1.077,1.077,TP,80.0,10
2022-11-21 18:00:00+00:00,2022-11-21 20:00:00+00:00,short,1.078,1.079,1.076,1.079,SL,-40.0,2
