entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-03 10:00:00+00:00,2025-07-03 12:00:00+00:00,long,196.435,195.711,198.245,196.657,SL,9.2,2
2025-07-04 09:00:00+00:00,2025-07-04 11:00:00+00:00,short,197.259,197.983,195.448,197.231,SL,1.17,2
2025-07-09 07:00:00+00:00,2025-07-09 09:00:00+00:00,long,199.755,198.905,201.88,199.756,SL,0.03,2
2025-07-10 10:00:00+00:00,2025-07-10 12:00:00+00:00,long,199.11,198.337,201.042,199.171,SL,2.38,2
2025-07-17 10:00:00+00:00,2025-07-17 12:00:00+00:00,long,199.033,198.175,201.179,199.233,SL,7.0,2
2025-07-18 09:00:00+00:00,2025-07-18 11:00:00+00:00,long,199.78,199.149,201.359,199.918,SL,6.56,2
2025-07-22 09:00:00+00:00,2025-07-22 11:00:00+00:00,long,199.131,198.492,200.729,199.24,SL,5.13,2
2025-07-31 10:00:00+00:00,2025-07-31 12:00:00+00:00,long,198.086,196.929,200.979,198.259,SL,4.49,2
2025-08-01 08:00:00+00:00,2025-08-01 10:00:00+00:00,short,198.659,199.324,196.996,198.662,SL,-0.15,2
2025-08-04 11:00:00+00:00,2025-08-04 13:00:00+00:00,long,196.366,195.245,199.17,196.456,SL,2.41,2
2025-08-05 09:00:00+00:00,2025-08-05 11:00:00+00:00,long,195.627,194.99,197.219,195.727,SL,4.72,2
2025-08-07 09:00:00+00:00,2025-08-07 11:00:00+00:00,short,196.406,197.208,194.402,196.282,SL,4.63,2
2025-08-08 10:00:00+00:00,2025-08-08 12:00:00+00:00,long,198.024,197.333,199.751,198.339,SL,13.66,2
2025-08-11 08:00:00+00:00,2025-08-11 10:00:00+00:00,long,198.667,198.214,199.8,198.743,SL,5.05,2
2025-08-12 10:00:00+00:00,2025-08-12 12:00:00+00:00,long,199.541,198.715,201.607,199.927,SL,14.03,2
2025-08-20 10:00:00+00:00,2025-08-20 12:00:00+00:00,long,199.418,198.6,201.463,199.388,SL,-1.11,2
2025-08-21 10:00:00+00:00,2025-08-21 12:00:00+00:00,long,198.574,198.046,199.895,198.756,SL,10.34,2
2025-09-02 08:00:00+00:00,2025-09-02 10:00:00+00:00,long,199.99,199.149,202.094,200.218,SL,8.13,2
2025-09-03 11:00:00+00:00,2025-09-03 13:00:00+00:00,long,199.207,198.464,201.064,199.314,SL,4.32,2
2025-09-11 09:00:00+00:00,2025-09-11 11:00:00+00:00,long,199.664,199.196,200.834,199.738,SL,4.74,2
2025-09-18 11:00:00+00:00,2025-09-18 13:00:00+00:00,long,201.088,200.013,203.777,201.08,SL,-0.22,2
2025-09-19 07:00:00+00:00,2025-09-19 09:00:00+00:00,short,199.807,200.636,197.733,199.748,SL,2.13,2
2025-09-26 09:00:00+00:00,2025-09-26 11:00:00+00:00,long,200.077,199.614,201.234,200.168,SL,5.92,2
2025-09-29 10:00:00+00:00,2025-09-29 12:00:00+00:00,short,199.775,200.438,198.118,199.571,SL,9.24,2
2025-09-30 08:00:00+00:00,2025-09-30 10:00:00+00:00,short,199.198,199.789,197.721,199.04,SL,8.01,2
2025-10-01 08:00:00+00:00,2025-10-01 11:00:00+00:00,short,198.491,199.236,196.629,198.064,SL,17.19,3
2025-10-08 10:00:00+00:00,2025-10-08 13:00:00+00:00,long,204.665,203.704,207.069,205.058,SL,12.26,3
2025-10-13 10:00:00+00:00,2025-10-13 12:00:00+00:00,long,203.085,202.295,205.059,203.076,SL,-0.33,2
2025-10-14 09:00:00+00:00,2025-10-14 11:00:00+00:00,short,201.708,203.545,197.116,201.387,SL,5.25,2
2025-10-17 09:00:00+00:00,2025-10-17 11:00:00+00:00,short,201.336,202.188,199.206,200.727,SL,21.43,2
2025-10-24 09:00:00+00:00,2025-10-24 11:00:00+00:00,long,203.871,203.149,205.675,203.836,SL,-1.47,2
2025-10-28 08:00:00+00:00,2025-10-28 10:00:00+00:00,short,202.978,203.971,200.495,202.944,SL,1.04,2
2025-10-30 08:00:00+00:00,2025-10-30 10:00:00+00:00,long,202.157,200.938,205.205,202.568,SL,10.12,2
2025-10-31 10:00:00+00:00,2025-10-31 12:00:00+00:00,long,202.835,202.137,204.581,202.852,SL,0.75,2
2025-11-04 07:00:00+00:00,2025-11-04 09:00:00+00:00,short,201.715,202.696,199.263,201.48,SL,7.18,2
2025-11-05 08:00:00+00:00,2025-11-05 10:00:00+00:00,long,200.185,199.024,203.088,200.133,SL,-1.34,2
2025-11-10 07:00:00+00:00,2025-11-10 09:00:00+00:00,long,202.503,201.722,204.456,202.549,SL,1.75,2
2025-11-20 07:00:00+00:00,2025-11-20 09:00:00+00:00,long,205.643,204.763,207.843,205.984,SL,11.63,2
2025-11-24 08:00:00+00:00,2025-11-24 10:00:00+00:00,long,205.292,204.727,206.704,205.336,SL,2.31,2
2025-11-26 10:00:00+00:00,2025-11-26 12:00:00+00:00,long,206.09,205.235,208.228,206.09,SL,-0.01,2
2025-12-02 08:00:00+00:00,2025-12-02 10:00:00+00:00,long,205.8,205.247,207.183,205.912,SL,6.06,2
2025-12-09 07:00:00+00:00,2025-12-09 09:00:00+00:00,long,208.006,207.528,209.2,208.057,SL,3.22,2
2025-12-10 11:00:00+00:00,2025-12-10 13:00:00+00:00,long,208.766,208.207,210.165,208.739,SL,-1.44,2
2025-12-18 08:00:00+00:00,2025-12-18 10:00:00+00:00,long,208.393,207.829,209.804,208.499,SL,5.66,2
2025-12-19 09:00:00+00:00,2025-12-19 11:00:00+00:00,long,209.47,207.882,213.44,209.846,SL,7.1,2
2025-12-22 09:00:00+00:00,2025-12-22 11:00:00+00:00,long,211.252,210.49,213.157,211.358,SL,4.18,2
