entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-01 10:00:00+00:00,2025-07-01 10:30:00+00:00,short,197.252,197.553,196.499,197.139,SL,9.37,2
2025-07-02 10:30:00+00:00,2025-07-02 11:15:00+00:00,short,197.274,197.562,196.553,197.151,SL,10.67,3
2025-07-03 10:00:00+00:00,2025-07-03 10:30:00+00:00,long,196.448,196.134,197.232,196.484,SL,2.83,2
2025-07-04 11:00:00+00:00,2025-07-04 11:30:00+00:00,short,197.198,197.436,196.603,197.168,SL,3.12,2
2025-07-07 11:15:00+00:00,2025-07-07 11:45:00+00:00,short,197.278,197.641,196.37,197.239,SL,2.7,2
2025-07-08 11:30:00+00:00,2025-07-08 12:00:00+00:00,short,199.004,199.378,198.07,199.023,SL,-1.27,2
2025-07-09 10:00:00+00:00,2025-07-09 10:30:00+00:00,short,199.584,199.859,198.897,199.536,SL,4.35,2
2025-07-10 11:30:00+00:00,2025-07-10 12:00:00+00:00,long,199.187,198.858,200.008,199.145,SL,-3.18,2
2025-07-11 12:30:00+00:00,2025-07-11 13:00:00+00:00,long,199.227,198.627,200.726,199.162,SL,-2.72,2
2025-07-14 10:15:00+00:00,2025-07-14 10:45:00+00:00,long,198.571,198.049,199.876,198.639,SL,3.23,2
2025-07-15 10:30:00+00:00,2025-07-15 11:00:00+00:00,long,198.589,198.266,199.396,198.711,SL,9.41,2
2025-07-17 11:30:00+00:00,2025-07-17 12:00:00+00:00,long,199.259,198.643,200.8,199.239,SL,-0.82,2
2025-07-18 10:15:00+00:00,2025-07-18 10:45:00+00:00,long,199.844,199.457,200.812,199.92,SL,4.92,2
2025-07-21 10:00:00+00:00,2025-07-21 10:30:00+00:00,long,199.116,198.511,200.63,199.168,SL,2.15,2
2025-07-22 10:00:00+00:00,2025-07-22 10:30:00+00:00,long,199.252,198.957,199.99,199.214,SL,-3.25,2
2025-07-24 10:45:00+00:00,2025-07-24 11:15:00+00:00,long,198.544,198.162,199.498,198.563,SL,1.23,2
2025-07-25 10:30:00+00:00,2025-07-25 11:00:00+00:00,long,198.579,198.084,199.817,198.525,SL,-2.73,2
2025-07-28 10:45:00+00:00,2025-07-28 11:15:00+00:00,long,198.834,198.46,199.769,198.863,SL,1.9,2
2025-07-29 10:00:00+00:00,2025-07-29 10:30:00+00:00,long,198.064,197.684,199.014,198.073,SL,0.61,2
2025-07-30 10:15:00+00:00,2025-07-30 10:45:00+00:00,long,197.794,197.488,198.559,197.802,SL,0.69,2
2025-07-31 10:15:00+00:00,2025-07-31 10:45:00+00:00,long,197.848,197.238,199.373,198.199,SL,14.39,2
2025-08-01 11:00:00+00:00,2025-08-01 11:45:00+00:00,short,198.442,199.021,196.994,198.263,SL,7.73,3
2025-08-04 10:30:00+00:00,2025-08-04 11:00:00+00:00,long,196.431,195.95,197.634,196.4,SL,-1.6,2
2025-08-05 10:15:00+00:00,2025-08-05 10:45:00+00:00,long,195.707,195.224,196.915,195.733,SL,1.32,2
2025-08-06 12:45:00+00:00,2025-08-06 13:15:00+00:00,long,196.57,196.058,197.851,196.597,SL,1.33,2
2025-08-08 11:45:00+00:00,2025-08-08 12:15:00+00:00,long,198.353,197.713,199.952,198.37,SL,0.64,2
2025-08-11 10:00:00+00:00,2025-08-11 10:30:00+00:00,short,198.66,198.808,198.29,198.29,TP,62.49,2
2025-08-12 10:45:00+00:00,2025-08-12 11:15:00+00:00,long,199.541,199.07,200.719,199.567,SL,1.38,2
2025-08-14 12:15:00+00:00,2025-08-14 13:00:00+00:00,long,199.088,198.543,200.451,199.097,SL,0.4,3
2025-08-15 10:15:00+00:00,2025-08-15 10:45:00+00:00,long,199.475,199.223,200.106,199.451,SL,-2.41,2
2025-08-19 12:15:00+00:00,2025-08-19 12:45:00+00:00,long,199.732,199.211,201.034,199.692,SL,-1.92,2
2025-08-20 10:15:00+00:00,2025-08-20 10:45:00+00:00,long,199.135,198.605,200.46,199.17,SL,1.64,2
2025-08-21 11:30:00+00:00,2025-08-21 12:00:00+00:00,long,198.668,198.161,199.935,198.709,SL,2.02,2
2025-08-22 10:30:00+00:00,2025-08-22 11:00:00+00:00,long,199.186,198.811,200.123,199.17,SL,-1.04,2
2025-08-29 11:15:00+00:00,2025-08-29 11:45:00+00:00,short,198.058,198.592,196.722,198.065,SL,-0.33,2
2025-09-01 10:30:00+00:00,2025-09-01 11:00:00+00:00,long,198.992,198.605,199.96,199.003,SL,0.68,2
2025-09-02 12:00:00+00:00,2025-09-02 12:30:00+00:00,short,199.033,200.327,195.797,198.983,SL,0.97,2
2025-09-03 11:00:00+00:00,2025-09-03 11:30:00+00:00,long,198.981,198.466,200.268,199.041,SL,2.92,2
2025-09-04 11:00:00+00:00,2025-09-04 11:30:00+00:00,long,199.336,198.956,200.285,199.442,SL,6.96,2
2025-09-05 12:45:00+00:00,2025-09-05 13:15:00+00:00,long,199.746,199.387,200.644,199.741,SL,-0.37,2
2025-09-09 10:15:00+00:00,2025-09-09 10:45:00+00:00,long,199.746,199.35,200.736,199.713,SL,-2.11,2
2025-09-10 13:45:00+00:00,2025-09-10 14:15:00+00:00,long,199.667,199.459,200.186,199.66,SL,-0.88,2
2025-09-11 11:00:00+00:00,2025-09-11 11:30:00+00:00,long,199.785,199.432,200.668,199.822,SL,2.64,2
2025-09-12 11:45:00+00:00,2025-09-12 12:15:00+00:00,long,200.155,199.611,201.515,200.189,SL,1.56,2
2025-09-15 10:15:00+00:00,2025-09-15 10:45:00+00:00,long,200.269,199.99,200.968,200.338,SL,6.17,2
2025-09-16 11:15:00+00:00,2025-09-16 11:45:00+00:00,long,200.314,200.055,200.962,200.374,SL,5.79,2
2025-09-18 10:45:00+00:00,2025-09-18 11:15:00+00:00,long,200.558,200.287,201.236,200.736,SL,16.39,2
2025-09-22 10:15:00+00:00,2025-09-22 10:45:00+00:00,short,199.449,199.792,198.591,199.473,SL,-1.74,2
2025-09-26 11:45:00+00:00,2025-09-26 12:15:00+00:00,long,200.137,199.875,200.792,200.121,SL,-1.49,2
2025-09-29 10:30:00+00:00,2025-09-29 11:00:00+00:00,short,199.784,200.084,199.033,199.763,SL,1.72,2
2025-09-30 10:00:00+00:00,2025-09-30 10:30:00+00:00,short,198.992,199.339,198.124,199.034,SL,-3.05,2
2025-10-01 10:00:00+00:00,2025-10-01 10:30:00+00:00,short,198.157,198.534,197.214,198.068,SL,5.88,2
2025-10-03 11:45:00+00:00,2025-10-03 12:30:00+00:00,short,198.269,198.554,197.558,198.158,SL,9.74,3
2025-10-06 12:45:00+00:00,2025-10-06 13:15:00+00:00,long,202.057,201.579,203.252,201.979,SL,-4.11,2
2025-10-08 10:00:00+00:00,2025-10-08 10:30:00+00:00,long,204.282,203.859,205.34,204.332,SL,2.95,2
2025-10-15 11:00:00+00:00,2025-10-15 11:30:00+00:00,long,202.022,201.63,203.003,202.051,SL,1.84,2
2025-10-16 10:45:00+00:00,2025-10-16 11:15:00+00:00,long,203.055,202.544,204.333,203.053,SL,-0.09,2
2025-10-17 10:00:00+00:00,2025-10-17 10:30:00+00:00,short,200.996,201.873,198.804,200.738,SL,7.36,2
2025-10-21 12:00:00+00:00,2025-10-21 12:45:00+00:00,long,202.991,202.405,204.455,203.146,SL,6.61,3
2025-10-28 10:45:00+00:00,2025-10-28 11:15:00+00:00,short,202.892,203.212,202.092,202.705,SL,14.56,2
2025-10-29 10:15:00+00:00,2025-10-29 10:45:00+00:00,short,201.047,201.804,199.154,201.066,SL,-0.64,2
2025-10-30 11:00:00+00:00,2025-10-30 11:30:00+00:00,long,202.772,201.829,205.13,202.884,SL,2.96,2
2025-10-31 11:00:00+00:00,2025-10-31 11:30:00+00:00,long,202.857,202.329,204.178,202.855,SL,-0.12,2
2025-11-03 10:15:00+00:00,2025-11-03 10:45:00+00:00,short,202.384,202.8,201.345,202.23,SL,9.25,2
2025-11-04 10:00:00+00:00,2025-11-04 10:30:00+00:00,short,201.174,201.653,199.978,201.052,SL,6.36,2
2025-11-05 10:00:00+00:00,2025-11-05 10:30:00+00:00,long,200.382,199.811,201.81,200.332,SL,-2.18,2
2025-11-07 10:15:00+00:00,2025-11-07 10:45:00+00:00,short,201.132,201.404,200.452,201.014,SL,10.87,2
2025-11-10 10:45:00+00:00,2025-11-10 11:15:00+00:00,long,203.094,202.361,204.925,203.101,SL,0.25,2
2025-11-12 10:00:00+00:00,2025-11-12 10:30:00+00:00,long,203.543,203.082,204.695,203.516,SL,-1.48,2
2025-11-14 10:30:00+00:00,2025-11-14 11:00:00+00:00,long,203.816,202.782,206.402,203.762,SL,-1.3,2
2025-11-17 13:45:00+00:00,2025-11-17 14:15:00+00:00,long,204.022,203.33,205.751,204.002,SL,-0.72,2
2025-11-18 10:00:00+00:00,2025-11-18 10:45:00+00:00,long,204.103,203.713,205.078,204.225,SL,7.84,3
2025-11-19 12:00:00+00:00,2025-11-19 12:45:00+00:00,long,204.595,204.153,205.7,204.824,SL,12.97,3
2025-11-24 10:45:00+00:00,2025-11-24 11:15:00+00:00,long,205.462,205.168,206.197,205.427,SL,-3.0,2
2025-11-26 10:00:00+00:00,2025-11-26 10:30:00+00:00,long,206.129,205.864,206.791,206.189,SL,5.69,2
2025-12-01 10:15:00+00:00,2025-12-01 10:45:00+00:00,short,205.283,205.722,204.186,205.294,SL,-0.64,2
2025-12-02 10:15:00+00:00,2025-12-02 10:45:00+00:00,long,206.085,205.676,207.109,206.074,SL,-0.65,2
2025-12-03 11:00:00+00:00,2025-12-03 11:45:00+00:00,long,206.353,205.967,207.317,206.626,SL,17.69,3
2025-12-05 10:00:00+00:00,2025-12-05 10:30:00+00:00,long,206.688,206.133,208.075,206.7,SL,0.52,2
2025-12-08 10:15:00+00:00,2025-12-08 10:45:00+00:00,long,207.061,206.833,207.632,207.088,SL,2.91,2
2025-12-09 10:00:00+00:00,2025-12-09 10:45:00+00:00,long,208.261,207.9,209.164,208.591,SL,22.79,3
2025-12-12 11:30:00+00:00,2025-12-12 12:00:00+00:00,long,208.512,208.175,209.355,208.609,SL,7.17,2
2025-12-15 12:00:00+00:00,2025-12-15 12:30:00+00:00,long,207.533,207.244,208.255,207.51,SL,-1.98,2
2025-12-16 10:00:00+00:00,2025-12-16 10:30:00+00:00,long,207.258,206.876,208.213,207.324,SL,4.33,2
2025-12-23 10:00:00+00:00,2025-12-23 10:30:00+00:00,long,210.767,210.317,211.891,210.731,SL,-2.03,2
