entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-01-03 17:00:00+00:00,2025-01-06 10:00:00+00:00,long,195.245,194.729,196.536,196.536,TP,75.0,17
2025-01-06 16:00:00+00:00,2025-01-08 13:00:00+00:00,long,196.795,195.809,199.259,195.809,SL,-30.0,45
2025-01-07 17:00:00+00:00,2025-01-08 13:00:00+00:00,short,197.383,197.958,195.944,195.944,TP,75.0,20
2025-01-08 18:00:00+00:00,2025-01-09 05:00:00+00:00,long,195.766,195.007,197.665,195.007,SL,-30.0,11
2025-01-09 16:00:00+00:00,2025-01-10 16:00:00+00:00,long,194.325,193.638,196.042,193.638,SL,-30.0,24
2025-01-10 16:00:00+00:00,2025-01-16 04:00:00+00:00,short,193.392,194.816,189.832,189.832,TP,75.0,84
2025-01-13 16:00:00+00:00,2025-01-16 04:00:00+00:00,long,191.185,190.122,193.843,190.122,SL,-30.0,60
2025-01-14 17:00:00+00:00,2025-01-15 09:00:00+00:00,long,192.718,191.328,196.192,191.328,SL,-30.0,16
2025-01-15 17:00:00+00:00,2025-01-22 12:00:00+00:00,short,191.578,192.518,189.228,192.518,SL,-30.0,115
2025-01-16 19:00:00+00:00,2025-01-20 08:00:00+00:00,short,189.989,190.628,188.392,190.628,SL,-30.0,37
2025-01-17 16:00:00+00:00,2025-01-22 12:00:00+00:00,long,190.264,189.362,192.519,192.519,TP,75.0,68
2025-01-20 21:00:00+00:00,2025-02-03 00:00:00+00:00,long,191.977,190.46,195.769,190.46,SL,-30.0,219
2025-01-21 19:00:00+00:00,2025-02-03 00:00:00+00:00,long,191.749,190.538,194.777,190.538,SL,-30.0,197
2025-01-22 18:00:00+00:00,2025-01-23 18:00:00+00:00,long,192.977,192.273,194.738,192.273,SL,-30.0,24
2025-01-24 16:00:00+00:00,2025-01-27 02:00:00+00:00,long,194.422,193.799,195.98,193.799,SL,-30.0,10
2025-01-27 17:00:00+00:00,2025-01-28 03:00:00+00:00,short,192.51,193.279,190.587,193.279,SL,-30.0,10
2025-01-29 20:00:00+00:00,2025-01-30 03:00:00+00:00,long,193.093,192.383,194.869,192.383,SL,-30.0,7
2025-01-30 16:00:00+00:00,2025-01-31 03:00:00+00:00,long,192.005,191.287,193.8,191.287,SL,-30.0,11
2025-01-31 16:00:00+00:00,2025-01-31 18:00:00+00:00,short,191.63,192.657,189.063,192.657,SL,-30.0,2
2025-02-05 16:00:00+00:00,2025-02-06 12:00:00+00:00,short,191.229,191.928,189.481,189.481,TP,75.0,20
2025-02-06 18:00:00+00:00,2025-02-06 21:00:00+00:00,long,189.016,188.102,191.301,188.102,SL,-30.0,3
2025-02-07 17:00:00+00:00,2025-02-11 21:00:00+00:00,short,188.085,189.681,184.096,189.681,SL,-30.0,52
2025-02-10 16:00:00+00:00,2025-02-11 14:00:00+00:00,short,187.714,188.555,185.612,188.555,SL,-30.0,22
2025-02-11 16:00:00+00:00,2025-02-12 01:00:00+00:00,long,188.95,188.458,190.18,190.18,TP,75.0,9
2025-02-12 16:00:00+00:00,2025-02-19 17:00:00+00:00,long,191.543,190.472,194.221,190.472,SL,-30.0,121
2025-02-13 18:00:00+00:00,2025-02-17 02:00:00+00:00,long,191.875,191.148,193.692,191.148,SL,-30.0,32
2025-02-17 18:00:00+00:00,2025-02-18 09:00:00+00:00,long,190.956,190.624,191.786,191.786,TP,75.0,15
2025-02-19 17:00:00+00:00,2025-02-20 09:00:00+00:00,short,190.625,191.344,188.828,188.828,TP,75.0,16
2025-02-21 16:00:00+00:00,2025-03-03 12:00:00+00:00,short,189.561,190.481,187.261,190.481,SL,-30.0,140
2025-02-28 17:00:00+00:00,2025-03-03 12:00:00+00:00,short,189.723,190.363,188.123,190.363,SL,-30.0,19
2025-03-03 16:00:00+00:00,2025-03-04 14:00:00+00:00,short,191.123,192.085,188.717,188.717,TP,75.0,22
2025-03-04 20:00:00+00:00,2025-03-27 18:00:00+00:00,long,190.467,188.347,195.768,195.768,TP,75.0,406
2025-03-05 20:00:00+00:00,2025-03-06 11:00:00+00:00,long,191.974,190.69,195.184,190.69,SL,-30.0,15
2025-03-06 16:00:00+00:00,2025-03-07 19:00:00+00:00,long,190.396,189.732,192.056,189.732,SL,-30.0,27
2025-03-10 17:00:00+00:00,2025-03-11 11:00:00+00:00,short,189.581,190.354,187.647,190.354,SL,-30.0,18
2025-03-11 17:00:00+00:00,2025-03-11 21:00:00+00:00,short,190.543,191.63,187.825,191.63,SL,-30.0,4
2025-03-12 17:00:00+00:00,2025-03-17 16:00:00+00:00,short,192.009,193.251,188.904,193.251,SL,-30.0,71
2025-03-13 18:00:00+00:00,2025-03-14 03:00:00+00:00,short,191.177,191.977,189.177,191.977,SL,-30.0,9
2025-03-17 19:00:00+00:00,2025-03-20 13:00:00+00:00,long,193.206,192.23,195.647,192.23,SL,-30.0,66
