entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2024-01-18 12:00:00+00:00,2024-01-19 04:00:00+00:00,long,187.651,187.28,188.579,188.579,TP,100.0,16
2024-01-18 16:00:00+00:00,2024-01-19 03:00:00+00:00,long,187.553,187.182,188.479,188.479,TP,100.0,11
2024-01-31 09:00:00+00:00,2024-01-31 13:00:00+00:00,short,187.151,187.5,186.278,187.5,SL,-40.0,4
2024-02-01 15:00:00+00:00,2024-02-01 19:00:00+00:00,short,185.659,186.255,184.169,186.255,SL,-40.0,4
2024-02-09 13:00:00+00:00,2024-02-12 12:00:00+00:00,long,188.363,188.072,189.089,188.072,SL,-40.0,23
2024-02-12 09:00:00+00:00,2024-02-12 10:00:00+00:00,long,188.553,188.321,189.132,188.321,SL,-40.0,1
2024-02-22 18:00:00+00:00,2024-02-29 04:00:00+00:00,long,190.467,190.06,191.485,190.06,SL,-40.0,106
2024-03-12 10:00:00+00:00,2024-03-12 15:00:00+00:00,short,188.436,188.875,187.338,188.875,SL,-40.0,5
2024-04-02 15:00:00+00:00,2024-04-03 09:00:00+00:00,short,190.467,190.725,189.821,190.725,SL,-40.0,18
2024-04-05 13:00:00+00:00,2024-04-05 18:00:00+00:00,short,191.188,191.509,190.385,191.509,SL,-40.0,5
2024-04-24 12:00:00+00:00,2024-04-24 20:00:00+00:00,long,192.539,192.217,193.344,193.344,TP,100.0,8
2024-04-29 17:00:00+00:00,2024-04-29 19:00:00+00:00,long,196.6,195.187,200.133,195.187,SL,-40.0,2
2024-05-15 22:00:00+00:00,2024-05-16 01:00:00+00:00,long,196.53,196.086,197.639,196.086,SL,-40.0,3
2024-05-20 11:00:00+00:00,2024-05-20 21:00:00+00:00,long,197.79,197.46,198.614,198.614,TP,100.0,10
2024-05-29 19:00:00+00:00,2024-05-30 00:00:00+00:00,long,200.516,200.2,201.305,200.2,SL,-40.0,5
2024-07-02 12:00:00+00:00,2024-07-03 03:00:00+00:00,long,204.228,203.92,204.997,204.997,TP,100.0,15
2024-07-04 20:00:00+00:00,2024-07-05 03:00:00+00:00,long,205.631,205.361,206.307,205.361,SL,-40.0,7
2024-07-12 16:00:00+00:00,2024-07-17 11:00:00+00:00,short,205.45,206.258,203.431,203.431,TP,100.0,67
2024-07-15 15:00:00+00:00,2024-07-16 04:00:00+00:00,short,204.985,205.47,203.772,205.47,SL,-40.0,13
2024-07-15 17:00:00+00:00,2024-07-16 04:00:00+00:00,short,204.949,205.432,203.742,205.432,SL,-40.0,11
2024-08-01 17:00:00+00:00,2024-08-02 10:00:00+00:00,short,191.943,193.104,189.041,189.041,TP,100.0,17
2024-08-05 20:00:00+00:00,2024-08-06 02:00:00+00:00,short,183.719,185.732,178.686,185.732,SL,-40.0,6
2024-08-06 11:00:00+00:00,2024-08-07 04:00:00+00:00,short,184.511,186.343,179.932,186.343,SL,-40.0,17
