entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-04 07:00:00+00:00,2025-07-04 09:00:00+00:00,long,1.367,1.364,1.375,1.368,SL,3.15,2
2025-07-07 08:00:00+00:00,2025-07-07 10:00:00+00:00,short,1.362,1.366,1.353,1.36,SL,14.1,2
2025-07-09 09:00:00+00:00,2025-07-09 11:00:00+00:00,long,1.36,1.356,1.37,1.36,SL,-1.53,2
2025-07-11 09:00:00+00:00,2025-07-11 11:00:00+00:00,short,1.353,1.359,1.34,1.354,SL,-2.35,2
2025-07-14 08:00:00+00:00,2025-07-14 10:00:00+00:00,short,1.347,1.351,1.336,1.345,SL,7.64,2
2025-07-15 10:00:00+00:00,2025-07-15 12:00:00+00:00,long,1.345,1.342,1.354,1.345,SL,-3.24,2
2025-07-16 09:00:00+00:00,2025-07-16 11:00:00+00:00,long,1.341,1.338,1.349,1.341,SL,-1.16,2
2025-07-21 11:00:00+00:00,2025-07-21 13:00:00+00:00,long,1.345,1.34,1.358,1.346,SL,2.03,2
2025-07-22 08:00:00+00:00,2025-07-22 10:00:00+00:00,short,1.347,1.349,1.342,1.347,SL,7.68,2
2025-07-23 10:00:00+00:00,2025-07-23 12:00:00+00:00,long,1.354,1.351,1.362,1.355,SL,1.86,2
2025-07-24 09:00:00+00:00,2025-07-24 11:00:00+00:00,short,1.356,1.359,1.349,1.356,SL,3.64,2
2025-07-25 10:00:00+00:00,2025-07-25 12:00:00+00:00,short,1.347,1.351,1.335,1.346,SL,3.42,2
2025-07-28 09:00:00+00:00,2025-07-28 11:00:00+00:00,short,1.342,1.345,1.334,1.341,SL,10.92,2
2025-07-29 09:00:00+00:00,2025-07-29 11:00:00+00:00,short,1.333,1.336,1.324,1.332,SL,6.48,2
2025-07-31 07:00:00+00:00,2025-07-31 09:00:00+00:00,long,1.327,1.322,1.339,1.327,SL,-0.93,2
2025-08-01 11:00:00+00:00,2025-08-01 13:00:00+00:00,short,1.316,1.321,1.302,1.314,SL,7.96,2
2025-08-05 10:00:00+00:00,2025-08-05 12:00:00+00:00,short,1.327,1.33,1.319,1.327,SL,1.86,2
2025-08-07 07:00:00+00:00,2025-08-07 09:00:00+00:00,long,1.337,1.334,1.343,1.337,SL,-0.48,2
2025-08-08 08:00:00+00:00,2025-08-08 10:00:00+00:00,short,1.343,1.345,1.335,1.343,SL,-2.38,2
2025-08-11 09:00:00+00:00,2025-08-11 11:00:00+00:00,long,1.347,1.343,1.357,1.347,SL,-2.24,2
2025-08-12 10:00:00+00:00,2025-08-12 12:00:00+00:00,long,1.346,1.342,1.356,1.347,SL,6.44,2
2025-08-13 09:00:00+00:00,2025-08-13 11:00:00+00:00,long,1.352,1.349,1.358,1.354,SL,32.0,2
2025-08-15 08:00:00+00:00,2025-08-15 10:00:00+00:00,long,1.355,1.352,1.363,1.355,SL,0.16,2
2025-08-19 09:00:00+00:00,2025-08-19 11:00:00+00:00,long,1.351,1.349,1.359,1.352,SL,5.7,2
2025-08-20 10:00:00+00:00,2025-08-20 12:00:00+00:00,long,1.351,1.346,1.363,1.351,SL,-1.82,2
2025-08-21 09:00:00+00:00,2025-08-21 11:00:00+00:00,short,1.345,1.347,1.339,1.344,SL,9.23,2
2025-08-22 07:00:00+00:00,2025-08-22 09:00:00+00:00,short,1.339,1.342,1.332,1.339,SL,-1.2,2
2025-09-01 09:00:00+00:00,2025-09-01 11:00:00+00:00,long,1.353,1.349,1.363,1.353,SL,0.78,2
2025-09-02 08:00:00+00:00,2025-09-02 10:00:00+00:00,short,1.352,1.355,1.345,1.352,SL,-2.67,2
2025-09-09 07:00:00+00:00,2025-09-09 09:00:00+00:00,long,1.357,1.354,1.366,1.358,SL,3.38,2
2025-09-10 07:00:00+00:00,2025-09-10 09:00:00+00:00,long,1.354,1.351,1.361,1.354,SL,-3.01,2
2025-09-16 10:00:00+00:00,2025-09-16 12:00:00+00:00,long,1.363,1.359,1.373,1.364,SL,4.98,2
2025-09-18 11:00:00+00:00,2025-09-18 13:00:00+00:00,long,1.364,1.361,1.372,1.365,SL,10.9,2
2025-09-19 09:00:00+00:00,2025-09-19 11:00:00+00:00,short,1.351,1.356,1.337,1.349,SL,10.24,2
2025-09-22 09:00:00+00:00,2025-09-22 11:00:00+00:00,long,1.347,1.346,1.352,1.348,SL,7.3,2
2025-09-24 09:00:00+00:00,2025-09-24 11:00:00+00:00,short,1.35,1.353,1.342,1.348,SL,13.65,2
2025-09-25 07:00:00+00:00,2025-09-25 09:00:00+00:00,long,1.346,1.343,1.353,1.346,SL,-3.36,2
