entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-01 10:00:00+00:00,2025-07-01 10:30:00+00:00,long,1.375,1.373,1.38,1.375,SL,2.93,2
2025-07-02 10:15:00+00:00,2025-07-02 10:45:00+00:00,short,1.372,1.374,1.366,1.371,SL,2.71,2
2025-07-03 10:00:00+00:00,2025-07-03 10:30:00+00:00,long,1.366,1.363,1.373,1.367,SL,5.82,2
2025-07-04 10:15:00+00:00,2025-07-04 10:45:00+00:00,short,1.367,1.368,1.362,1.366,SL,6.83,2
2025-07-07 11:00:00+00:00,2025-07-07 11:30:00+00:00,short,1.36,1.363,1.351,1.359,SL,2.89,2
2025-07-08 10:00:00+00:00,2025-07-08 10:30:00+00:00,long,1.364,1.362,1.369,1.364,SL,-2.57,2
2025-07-10 10:30:00+00:00,2025-07-10 11:00:00+00:00,short,1.36,1.362,1.356,1.36,SL,-2.71,2
2025-07-11 11:30:00+00:00,2025-07-11 12:00:00+00:00,short,1.353,1.356,1.345,1.353,SL,-0.56,2
2025-07-14 10:15:00+00:00,2025-07-14 10:45:00+00:00,long,1.348,1.345,1.356,1.348,SL,0.77,2
2025-07-15 12:45:00+00:00,2025-07-15 13:15:00+00:00,long,1.345,1.343,1.352,1.346,SL,0.89,2
2025-07-16 10:30:00+00:00,2025-07-16 11:00:00+00:00,short,1.339,1.342,1.332,1.339,SL,-0.78,2
2025-07-17 12:00:00+00:00,2025-07-17 12:30:00+00:00,long,1.341,1.337,1.349,1.34,SL,-2.22,2
2025-07-21 11:30:00+00:00,2025-07-21 12:00:00+00:00,long,1.346,1.342,1.356,1.346,SL,-1.78,2
2025-07-22 11:15:00+00:00,2025-07-22 11:45:00+00:00,long,1.348,1.346,1.351,1.349,SL,22.47,2
2025-07-24 10:30:00+00:00,2025-07-24 11:00:00+00:00,short,1.356,1.358,1.352,1.356,SL,2.77,2
2025-07-25 10:15:00+00:00,2025-07-25 10:45:00+00:00,short,1.348,1.351,1.342,1.348,SL,3.22,2
