entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-01 16:00:00+00:00,2025-07-01 16:30:00+00:00,short,1.373,1.376,1.366,1.373,SL,-0.28,2
2025-07-04 16:30:00+00:00,2025-07-04 17:00:00+00:00,long,1.365,1.363,1.369,1.365,SL,-3.15,2
2025-07-07 16:15:00+00:00,2025-07-07 17:00:00+00:00,long,1.362,1.361,1.366,1.363,SL,9.2,3
2025-07-08 16:00:00+00:00,2025-07-08 16:30:00+00:00,short,1.356,1.359,1.35,1.355,SL,8.53,2
2025-07-10 16:15:00+00:00,2025-07-10 16:45:00+00:00,short,1.356,1.359,1.347,1.355,SL,4.12,2
2025-07-11 16:15:00+00:00,2025-07-11 16:45:00+00:00,long,1.351,1.349,1.356,1.352,SL,5.01,2
2025-07-14 18:00:00+00:00,2025-07-14 18:30:00+00:00,short,1.344,1.349,1.332,1.345,SL,-1.05,2
2025-07-15 16:30:00+00:00,2025-07-15 17:00:00+00:00,short,1.341,1.347,1.326,1.34,SL,1.69,2
2025-07-16 18:15:00+00:00,2025-07-16 18:45:00+00:00,long,1.346,1.338,1.365,1.348,SL,6.86,2
2025-07-18 17:15:00+00:00,2025-07-18 17:45:00+00:00,short,1.345,1.348,1.338,1.345,SL,-2.96,2
2025-07-21 16:00:00+00:00,2025-07-21 16:30:00+00:00,short,1.347,1.349,1.344,1.347,SL,1.52,2
2025-07-22 18:30:00+00:00,2025-07-22 19:15:00+00:00,long,1.351,1.347,1.361,1.353,SL,8.79,3
2025-07-23 20:00:00+00:00,2025-07-23 20:30:00+00:00,long,1.356,1.353,1.366,1.357,SL,1.12,2
2025-07-24 17:00:00+00:00,2025-07-24 17:30:00+00:00,long,1.356,1.353,1.364,1.356,SL,-2.33,2
2025-07-25 16:00:00+00:00,2025-07-25 16:30:00+00:00,short,1.342,1.346,1.332,1.342,SL,-1.41,2
2025-07-28 17:45:00+00:00,2025-07-28 18:15:00+00:00,short,1.341,1.344,1.334,1.341,SL,4.33,2
2025-07-29 16:00:00+00:00,2025-07-29 16:30:00+00:00,short,1.331,1.335,1.322,1.331,SL,-2.2,2
2025-07-31 16:00:00+00:00,2025-07-31 16:30:00+00:00,short,1.32,1.324,1.311,1.32,SL,2.78,2
2025-08-04 20:30:00+00:00,2025-08-04 21:00:00+00:00,short,1.328,1.332,1.318,1.328,SL,-3.24,2
2025-08-05 19:30:00+00:00,2025-08-05 20:15:00+00:00,long,1.331,1.327,1.34,1.331,SL,2.7,3
