entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-01-03 18:00:00+00:00,2025-01-06 10:00:00+00:00,long,1.242,1.239,1.248,1.248,TP,75.0,16
2025-01-06 16:00:00+00:00,2025-01-07 09:00:00+00:00,short,1.251,1.256,1.24,1.256,SL,-30.0,17
2025-01-07 17:00:00+00:00,2025-01-08 13:00:00+00:00,short,1.25,1.255,1.235,1.235,TP,75.0,20
2025-01-08 18:00:00+00:00,2025-01-09 08:00:00+00:00,long,1.237,1.231,1.249,1.231,SL,-30.0,14
2025-01-13 18:00:00+00:00,2025-01-15 15:00:00+00:00,long,1.216,1.21,1.229,1.229,TP,75.0,45
2025-01-14 17:00:00+00:00,2025-01-24 04:00:00+00:00,long,1.22,1.213,1.238,1.238,TP,75.0,179
2025-01-16 17:00:00+00:00,2025-01-17 09:00:00+00:00,long,1.223,1.217,1.24,1.217,SL,-30.0,16
2025-01-17 17:00:00+00:00,2025-01-17 19:00:00+00:00,long,1.22,1.217,1.227,1.217,SL,-30.0,2
2025-01-21 20:00:00+00:00,2025-02-14 10:00:00+00:00,long,1.234,1.223,1.259,1.259,TP,75.0,422
2025-01-22 17:00:00+00:00,2025-01-23 19:00:00+00:00,short,1.232,1.237,1.218,1.237,SL,-30.0,26
2025-01-24 16:00:00+00:00,2025-01-29 15:00:00+00:00,long,1.244,1.239,1.255,1.239,SL,-30.0,71
2025-01-27 17:00:00+00:00,2025-02-03 00:00:00+00:00,short,1.247,1.253,1.233,1.233,TP,75.0,103
2025-01-28 21:00:00+00:00,2025-01-29 14:00:00+00:00,long,1.244,1.241,1.253,1.241,SL,-30.0,17
2025-01-29 17:00:00+00:00,2025-01-31 16:00:00+00:00,long,1.243,1.239,1.255,1.239,SL,-30.0,47
2025-01-31 16:00:00+00:00,2025-01-31 18:00:00+00:00,short,1.239,1.244,1.229,1.244,SL,-30.0,2
2025-02-03 17:00:00+00:00,2025-02-11 10:00:00+00:00,long,1.241,1.233,1.261,1.233,SL,-30.0,137
2025-02-04 16:00:00+00:00,2025-02-06 14:00:00+00:00,long,1.245,1.241,1.256,1.241,SL,-30.0,46
2025-02-05 19:00:00+00:00,2025-02-06 14:00:00+00:00,short,1.251,1.255,1.24,1.24,TP,75.0,19
2025-02-06 17:00:00+00:00,2025-02-11 01:00:00+00:00,long,1.241,1.236,1.255,1.236,SL,-30.0,56
