entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-15 14:00:00+00:00,2025-07-15 15:00:00+00:00,short,1.344,1.346,1.339,1.346,SL,-40.0,1
2025-07-16 10:00:00+00:00,2025-07-16 12:00:00+00:00,short,1.339,1.341,1.334,1.34,SL,-5.16,2
2025-07-31 10:00:00+00:00,2025-07-31 12:00:00+00:00,short,1.326,1.329,1.319,1.325,SL,13.82,2
2025-08-21 14:00:00+00:00,2025-08-21 16:00:00+00:00,short,1.345,1.348,1.34,1.345,SL,10.18,2
2025-08-22 15:00:00+00:00,2025-08-22 16:00:00+00:00,short,1.341,1.343,1.337,1.343,SL,-40.0,1
2025-09-26 12:00:00+00:00,2025-09-26 14:00:00+00:00,short,1.335,1.337,1.33,1.335,SL,3.58,2
2025-10-08 11:00:00+00:00,2025-10-08 13:00:00+00:00,short,1.341,1.343,1.336,1.341,SL,1.93,2
2025-10-29 19:00:00+00:00,2025-10-29 21:00:00+00:00,short,1.323,1.325,1.316,1.322,SL,4.07,2
2025-10-31 22:00:00+00:00,2025-11-03 01:00:00+00:00,short,1.314,1.316,1.307,1.313,SL,5.44,3
2025-11-03 09:00:00+00:00,2025-11-03 11:00:00+00:00,short,1.314,1.316,1.309,1.312,SL,31.15,2
2025-11-03 15:00:00+00:00,2025-11-03 17:00:00+00:00,short,1.313,1.315,1.307,1.312,SL,19.22,2
2025-11-05 15:00:00+00:00,2025-11-05 17:00:00+00:00,short,1.303,1.305,1.297,1.303,SL,-0.01,2
2025-11-20 13:00:00+00:00,2025-11-20 15:00:00+00:00,short,1.306,1.309,1.301,1.306,SL,1.76,2
2025-11-20 18:00:00+00:00,2025-11-20 20:00:00+00:00,short,1.308,1.311,1.3,1.308,SL,0.76,2
2025-11-27 14:00:00+00:00,2025-11-27 16:00:00+00:00,long,1.323,1.321,1.329,1.324,SL,13.44,2
2025-12-05 13:00:00+00:00,2025-12-05 15:00:00+00:00,long,1.334,1.332,1.339,1.334,SL,5.69,2
2025-12-11 22:00:00+00:00,2025-12-12 00:00:00+00:00,long,1.339,1.337,1.345,1.339,SL,-10.07,2
2025-12-23 20:00:00+00:00,2025-12-24 00:00:00+00:00,long,1.349,1.347,1.354,1.352,SL,48.2,4
2025-12-31 15:00:00+00:00,2025-12-31 17:00:00+00:00,short,1.345,1.348,1.34,1.344,SL,27.78,2
