entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-07 11:00:00+00:00,2025-07-07 13:00:00+00:00,short,0.599,0.606,0.582,0.599,SL,0.38,2
2025-07-08 10:00:00+00:00,2025-07-08 12:00:00+00:00,long,0.603,0.599,0.612,0.602,SL,-2.4,2
2025-07-10 09:00:00+00:00,2025-07-10 11:00:00+00:00,long,0.601,0.599,0.606,0.602,SL,5.29,2
2025-07-14 07:00:00+00:00,2025-07-14 09:00:00+00:00,short,0.598,0.602,0.59,0.598,SL,-0.66,2
2025-07-15 10:00:00+00:00,2025-07-15 12:00:00+00:00,long,0.599,0.597,0.606,0.6,SL,3.97,2
2025-07-22 09:00:00+00:00,2025-07-22 11:00:00+00:00,short,0.594,0.597,0.588,0.594,SL,2.25,2
2025-07-23 07:00:00+00:00,2025-07-23 09:00:00+00:00,long,0.602,0.597,0.612,0.602,SL,0.62,2
2025-07-25 10:00:00+00:00,2025-07-25 12:00:00+00:00,short,0.601,0.604,0.594,0.601,SL,3.17,2
2025-07-28 09:00:00+00:00,2025-07-28 11:00:00+00:00,short,0.6,0.603,0.591,0.597,SL,22.28,2
2025-07-29 09:00:00+00:00,2025-07-29 11:00:00+00:00,short,0.595,0.598,0.589,0.595,SL,3.65,2
2025-07-31 07:00:00+00:00,2025-07-31 09:00:00+00:00,long,0.593,0.589,0.601,0.593,SL,1.27,2
2025-08-01 09:00:00+00:00,2025-08-01 11:00:00+00:00,short,0.587,0.589,0.582,0.587,SL,7.31,2
2025-08-06 07:00:00+00:00,2025-08-06 09:00:00+00:00,long,0.592,0.589,0.601,0.592,SL,-1.85,2
2025-08-07 07:00:00+00:00,2025-08-07 09:00:00+00:00,long,0.595,0.592,0.602,0.595,SL,-1.49,2
2025-08-12 11:00:00+00:00,2025-08-12 13:00:00+00:00,short,0.592,0.595,0.586,0.592,SL,2.61,2
2025-08-13 09:00:00+00:00,2025-08-13 11:00:00+00:00,long,0.597,0.594,0.605,0.598,SL,8.9,2
2025-08-14 08:00:00+00:00,2025-08-14 10:00:00+00:00,short,0.597,0.599,0.591,0.596,SL,11.21,2
2025-08-22 07:00:00+00:00,2025-08-22 09:00:00+00:00,short,0.581,0.582,0.576,0.58,SL,4.75,2
2025-08-27 10:00:00+00:00,2025-08-27 12:00:00+00:00,short,0.583,0.586,0.576,0.583,SL,6.41,2
2025-08-29 10:00:00+00:00,2025-08-29 12:00:00+00:00,long,0.59,0.588,0.594,0.59,SL,-1.48,2
2025-09-02 07:00:00+00:00,2025-09-02 09:00:00+00:00,short,0.588,0.591,0.582,0.588,SL,0.19,2
2025-09-04 07:00:00+00:00,2025-09-04 09:00:00+00:00,short,0.587,0.589,0.581,0.587,SL,2.58,2
2025-09-05 08:00:00+00:00,2025-09-05 10:00:00+00:00,long,0.586,0.584,0.593,0.587,SL,2.98,2
2025-09-08 09:00:00+00:00,2025-09-08 11:00:00+00:00,long,0.592,0.587,0.603,0.593,SL,6.23,2
2025-09-09 07:00:00+00:00,2025-09-09 09:00:00+00:00,long,0.595,0.593,0.599,0.595,SL,7.52,2
2025-09-19 07:00:00+00:00,2025-09-19 10:00:00+00:00,short,0.587,0.589,0.582,0.586,SL,18.73,3
2025-09-22 10:00:00+00:00,2025-09-22 12:00:00+00:00,short,0.584,0.586,0.58,0.585,SL,-2.66,2
2025-10-07 09:00:00+00:00,2025-10-07 11:00:00+00:00,short,0.582,0.584,0.575,0.581,SL,10.81,2
2025-10-09 09:00:00+00:00,2025-10-09 11:00:00+00:00,short,0.577,0.581,0.568,0.577,SL,1.35,2
2025-10-14 08:00:00+00:00,2025-10-14 10:00:00+00:00,short,0.57,0.573,0.563,0.569,SL,8.77,2
2025-10-21 11:00:00+00:00,2025-10-21 13:00:00+00:00,short,0.572,0.575,0.562,0.571,SL,0.13,2
2025-10-27 10:00:00+00:00,2025-10-27 12:00:00+00:00,short,0.575,0.577,0.57,0.575,SL,-2.59,2
2025-10-28 07:00:00+00:00,2025-10-28 09:00:00+00:00,long,0.578,0.576,0.584,0.578,SL,-1.86,2
2025-10-31 08:00:00+00:00,2025-10-31 10:00:00+00:00,short,0.572,0.575,0.567,0.572,SL,3.32,2
2025-11-04 07:00:00+00:00,2025-11-04 09:00:00+00:00,short,0.568,0.571,0.561,0.567,SL,5.98,2
2025-11-07 08:00:00+00:00,2025-11-07 10:00:00+00:00,short,0.561,0.564,0.553,0.561,SL,1.89,2
2025-11-13 07:00:00+00:00,2025-11-13 09:00:00+00:00,short,0.564,0.567,0.559,0.564,SL,11.71,2
2025-11-28 09:00:00+00:00,2025-11-28 11:00:00+00:00,short,0.571,0.573,0.566,0.571,SL,0.13,2
2025-12-03 07:00:00+00:00,2025-12-03 09:00:00+00:00,long,0.575,0.573,0.581,0.575,SL,-2.8,2
2025-12-10 09:00:00+00:00,2025-12-10 11:00:00+00:00,long,0.578,0.576,0.584,0.579,SL,6.03,2
2025-12-23 10:00:00+00:00,2025-12-23 13:00:00+00:00,long,0.583,0.579,0.594,0.584,SL,4.98,3
2025-12-30 07:00:00+00:00,2025-12-30 09:00:00+00:00,long,0.582,0.579,0.588,0.582,SL,1.1,2
2025-12-31 07:00:00+00:00,2025-12-31 09:00:00+00:00,short,0.577,0.579,0.572,0.577,SL,4.01,2
