entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-01 10:00:00+00:00,2025-07-01 10:30:00+00:00,long,0.611,0.609,0.614,0.611,SL,-0.81,2
2025-07-02 10:15:00+00:00,2025-07-02 10:45:00+00:00,short,0.608,0.61,0.604,0.608,SL,0.13,2
2025-07-03 10:00:00+00:00,2025-07-03 10:30:00+00:00,long,0.608,0.607,0.61,0.608,SL,2.52,2
2025-07-07 11:00:00+00:00,2025-07-07 11:30:00+00:00,short,0.6,0.602,0.597,0.6,SL,0.16,2
2025-07-08 10:15:00+00:00,2025-07-08 10:45:00+00:00,long,0.602,0.601,0.605,0.602,SL,4.46,2
2025-07-09 11:00:00+00:00,2025-07-09 11:30:00+00:00,short,0.599,0.601,0.594,0.599,SL,-2.72,2
2025-07-10 10:00:00+00:00,2025-07-10 10:30:00+00:00,long,0.602,0.601,0.604,0.602,SL,5.33,2
2025-07-11 10:15:00+00:00,2025-07-11 10:45:00+00:00,long,0.603,0.601,0.607,0.602,SL,-3.05,2
2025-07-14 10:30:00+00:00,2025-07-14 11:00:00+00:00,long,0.599,0.598,0.602,0.599,SL,-0.3,2
2025-07-15 10:00:00+00:00,2025-07-15 10:15:00+00:00,short,0.598,0.599,0.597,0.599,SL,-27.93,1
2025-07-18 10:45:00+00:00,2025-07-18 11:15:00+00:00,long,0.596,0.595,0.599,0.596,SL,6.17,2
2025-07-21 10:30:00+00:00,2025-07-21 11:00:00+00:00,short,0.595,0.597,0.592,0.595,SL,0.76,2
2025-07-22 10:45:00+00:00,2025-07-22 11:15:00+00:00,short,0.594,0.595,0.591,0.594,SL,-3.07,2
2025-07-23 10:00:00+00:00,2025-07-23 10:30:00+00:00,long,0.603,0.601,0.607,0.603,SL,1.09,2
2025-07-25 10:00:00+00:00,2025-07-25 10:45:00+00:00,short,0.602,0.603,0.599,0.601,SL,11.71,3
2025-07-28 10:15:00+00:00,2025-07-28 11:00:00+00:00,short,0.599,0.601,0.595,0.597,SL,28.62,3
2025-07-30 13:45:00+00:00,2025-07-30 14:15:00+00:00,short,0.595,0.597,0.59,0.595,SL,-1.88,2
2025-07-31 10:15:00+00:00,2025-07-31 10:45:00+00:00,short,0.592,0.594,0.587,0.592,SL,0.85,2
2025-08-01 10:00:00+00:00,2025-08-01 10:30:00+00:00,short,0.587,0.589,0.583,0.587,SL,-1.92,2
2025-08-05 11:30:00+00:00,2025-08-05 12:00:00+00:00,short,0.589,0.59,0.584,0.589,SL,0.04,2
2025-08-06 10:30:00+00:00,2025-08-06 11:00:00+00:00,long,0.592,0.592,0.594,0.592,SL,0.45,2
2025-08-07 10:45:00+00:00,2025-08-07 11:15:00+00:00,long,0.596,0.595,0.601,0.597,SL,1.17,2
2025-08-08 11:15:00+00:00,2025-08-08 11:45:00+00:00,long,0.596,0.595,0.599,0.596,SL,-6.59,2
2025-08-11 10:45:00+00:00,2025-08-11 11:15:00+00:00,short,0.594,0.596,0.59,0.594,SL,-2.83,2
2025-08-12 10:15:00+00:00,2025-08-12 10:45:00+00:00,long,0.593,0.593,0.595,0.593,SL,-4.05,2
2025-08-14 10:30:00+00:00,2025-08-14 11:00:00+00:00,short,0.595,0.597,0.59,0.595,SL,2.21,2
2025-08-20 10:30:00+00:00,2025-08-20 11:00:00+00:00,short,0.582,0.584,0.577,0.582,SL,-2.13,2
2025-08-25 10:45:00+00:00,2025-08-25 11:15:00+00:00,short,0.586,0.588,0.582,0.587,SL,-3.38,2
2025-08-27 10:00:00+00:00,2025-08-27 10:30:00+00:00,short,0.584,0.585,0.581,0.583,SL,13.64,2
2025-08-28 13:30:00+00:00,2025-08-28 14:00:00+00:00,long,0.587,0.586,0.591,0.587,SL,-0.47,2
2025-09-01 12:15:00+00:00,2025-09-01 12:45:00+00:00,long,0.591,0.589,0.595,0.591,SL,-3.13,2
2025-09-02 10:00:00+00:00,2025-09-02 10:30:00+00:00,short,0.588,0.589,0.585,0.587,SL,21.98,2
2025-09-04 10:45:00+00:00,2025-09-04 11:15:00+00:00,short,0.586,0.587,0.585,0.586,SL,-6.09,2
2025-09-05 10:15:00+00:00,2025-09-05 11:00:00+00:00,long,0.587,0.586,0.589,0.588,SL,11.59,3
2025-09-08 10:00:00+00:00,2025-09-08 10:45:00+00:00,long,0.592,0.59,0.596,0.593,SL,8.28,3
2025-09-09 13:15:00+00:00,2025-09-09 13:45:00+00:00,long,0.596,0.594,0.599,0.596,SL,-3.88,2
2025-09-10 11:15:00+00:00,2025-09-10 11:45:00+00:00,short,0.594,0.595,0.589,0.593,SL,-0.84,2
2025-09-11 11:15:00+00:00,2025-09-11 11:45:00+00:00,short,0.593,0.594,0.591,0.593,SL,-1.7,2
2025-09-12 10:00:00+00:00,2025-09-12 10:30:00+00:00,long,0.597,0.596,0.599,0.597,SL,10.44,2
2025-09-18 10:15:00+00:00,2025-09-18 10:45:00+00:00,long,0.591,0.589,0.595,0.591,SL,3.25,2
2025-09-19 10:00:00+00:00,2025-09-19 10:45:00+00:00,long,0.587,0.585,0.591,0.588,SL,11.93,3
