entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2024-01-18 09:00:00+00:00,2024-01-22 03:00:00+00:00,short,0.612,0.613,0.608,0.613,SL,-40.0,42
2024-01-30 16:00:00+00:00,2024-01-30 17:00:00+00:00,long,0.613,0.612,0.617,0.612,SL,-40.0,1
2024-01-30 20:00:00+00:00,2024-01-31 08:00:00+00:00,long,0.613,0.611,0.617,0.611,SL,-40.0,12
2024-02-12 09:00:00+00:00,2024-02-12 10:00:00+00:00,long,0.614,0.612,0.617,0.612,SL,-40.0,1
2024-02-21 15:00:00+00:00,2024-02-21 18:00:00+00:00,long,0.618,0.617,0.621,0.617,SL,-40.0,3
2024-02-29 17:00:00+00:00,2024-03-01 17:00:00+00:00,short,0.609,0.611,0.605,0.611,SL,-40.0,24
2024-03-05 20:00:00+00:00,2024-03-06 11:00:00+00:00,short,0.609,0.61,0.605,0.61,SL,-40.0,15
2024-03-18 13:00:00+00:00,2024-03-19 04:00:00+00:00,short,0.609,0.61,0.607,0.607,TP,100.0,15
2024-03-18 15:00:00+00:00,2024-03-19 06:00:00+00:00,short,0.609,0.61,0.607,0.607,TP,100.0,15
2024-04-19 11:00:00+00:00,2024-04-22 03:00:00+00:00,short,0.589,0.591,0.585,0.591,SL,-40.0,16
2024-05-01 16:00:00+00:00,2024-05-01 17:00:00+00:00,short,0.589,0.591,0.586,0.591,SL,-40.0,1
2024-05-02 17:00:00+00:00,2024-05-03 04:00:00+00:00,long,0.593,0.591,0.597,0.597,TP,100.0,11
2024-05-16 17:00:00+00:00,2024-05-20 15:00:00+00:00,long,0.612,0.61,0.616,0.61,SL,-40.0,46
2024-05-22 15:00:00+00:00,2024-05-22 21:00:00+00:00,long,0.611,0.61,0.615,0.61,SL,-40.0,6
2024-05-30 22:00:00+00:00,2024-05-31 06:00:00+00:00,short,0.612,0.613,0.608,0.613,SL,-40.0,8
2024-07-05 10:00:00+00:00,2024-07-05 15:00:00+00:00,long,0.612,0.611,0.614,0.611,SL,-40.0,5
2024-07-08 10:00:00+00:00,2024-07-08 21:00:00+00:00,long,0.614,0.613,0.617,0.613,SL,-40.0,11
2024-07-08 15:00:00+00:00,2024-07-08 21:00:00+00:00,long,0.614,0.613,0.617,0.613,SL,-40.0,6
2024-07-11 20:00:00+00:00,2024-07-12 12:00:00+00:00,short,0.609,0.611,0.605,0.611,SL,-40.0,16
2024-07-24 16:00:00+00:00,2024-07-25 10:00:00+00:00,short,0.594,0.595,0.591,0.591,TP,100.0,18
