entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-03 07:00:00+00:00,2025-07-03 09:00:00+00:00,long,1.36,1.358,1.364,1.36,SL,1.4,2
2025-07-07 07:00:00+00:00,2025-07-07 09:00:00+00:00,long,1.363,1.359,1.375,1.364,SL,2.25,2
2025-07-08 10:00:00+00:00,2025-07-08 12:00:00+00:00,short,1.364,1.368,1.353,1.364,SL,-1.94,2
2025-07-09 10:00:00+00:00,2025-07-09 12:00:00+00:00,long,1.369,1.365,1.377,1.369,SL,2.08,2
2025-07-22 08:00:00+00:00,2025-07-22 10:00:00+00:00,long,1.369,1.367,1.373,1.369,SL,2.64,2
2025-07-23 08:00:00+00:00,2025-07-23 10:00:00+00:00,long,1.361,1.359,1.365,1.361,SL,-4.62,2
2025-07-24 09:00:00+00:00,2025-07-24 11:00:00+00:00,long,1.361,1.359,1.367,1.361,SL,-2.78,2
2025-07-25 07:00:00+00:00,2025-07-25 09:00:00+00:00,long,1.366,1.363,1.372,1.366,SL,-2.29,2
2025-07-28 09:00:00+00:00,2025-07-28 11:00:00+00:00,long,1.371,1.369,1.377,1.374,SL,32.85,2
2025-07-29 09:00:00+00:00,2025-07-29 11:00:00+00:00,long,1.375,1.373,1.381,1.376,SL,8.81,2
2025-07-31 07:00:00+00:00,2025-07-31 09:00:00+00:00,short,1.382,1.385,1.374,1.382,SL,-1.93,2
2025-08-01 10:00:00+00:00,2025-08-01 12:00:00+00:00,long,1.387,1.384,1.396,1.387,SL,0.98,2
2025-08-05 11:00:00+00:00,2025-08-05 13:00:00+00:00,long,1.381,1.376,1.392,1.381,SL,-0.52,2
2025-08-06 10:00:00+00:00,2025-08-06 12:00:00+00:00,short,1.376,1.378,1.372,1.377,SL,-3.8,2
2025-08-07 07:00:00+00:00,2025-08-07 09:00:00+00:00,short,1.373,1.375,1.369,1.373,SL,-2.7,2
2025-08-11 10:00:00+00:00,2025-08-11 12:00:00+00:00,long,1.377,1.374,1.383,1.377,SL,-0.53,2
2025-08-12 11:00:00+00:00,2025-08-12 13:00:00+00:00,long,1.379,1.377,1.383,1.379,SL,1.86,2
2025-08-22 07:00:00+00:00,2025-08-22 09:00:00+00:00,long,1.391,1.39,1.396,1.391,SL,-2.17,2
2025-08-29 10:00:00+00:00,2025-08-29 12:00:00+00:00,short,1.374,1.376,1.37,1.374,SL,2.39,2
2025-09-03 08:00:00+00:00,2025-09-03 10:00:00+00:00,long,1.38,1.377,1.386,1.38,SL,-0.82,2
2025-09-04 07:00:00+00:00,2025-09-04 09:00:00+00:00,long,1.381,1.379,1.386,1.381,SL,0.42,2
2025-09-05 08:00:00+00:00,2025-09-05 10:00:00+00:00,short,1.38,1.383,1.373,1.38,SL,-2.14,2
2025-09-11 08:00:00+00:00,2025-09-11 10:00:00+00:00,long,1.388,1.386,1.393,1.388,SL,-0.29,2
2025-09-17 10:00:00+00:00,2025-09-17 12:00:00+00:00,long,1.376,1.373,1.383,1.376,SL,-1.19,2
2025-09-18 07:00:00+00:00,2025-09-18 09:00:00+00:00,long,1.379,1.376,1.385,1.379,SL,6.86,2
2025-09-19 08:00:00+00:00,2025-09-19 10:00:00+00:00,long,1.381,1.379,1.385,1.382,SL,20.52,2
2025-09-23 10:00:00+00:00,2025-09-23 12:00:00+00:00,long,1.384,1.381,1.392,1.384,SL,-0.98,2
2025-09-24 09:00:00+00:00,2025-09-24 11:00:00+00:00,long,1.385,1.383,1.392,1.386,SL,4.53,2
2025-09-26 10:00:00+00:00,2025-09-26 12:00:00+00:00,long,1.395,1.391,1.402,1.395,SL,-0.41,2
2025-10-10 09:00:00+00:00,2025-10-10 11:00:00+00:00,long,1.403,1.401,1.407,1.403,SL,-1.53,2
2025-10-14 08:00:00+00:00,2025-10-14 10:00:00+00:00,long,1.405,1.403,1.409,1.406,SL,15.77,2
2025-10-20 09:00:00+00:00,2025-10-20 11:00:00+00:00,long,1.403,1.4,1.408,1.403,SL,3.82,2
2025-10-21 08:00:00+00:00,2025-10-21 10:00:00+00:00,long,1.406,1.403,1.413,1.406,SL,2.54,2
2025-10-22 07:00:00+00:00,2025-10-22 09:00:00+00:00,short,1.4,1.402,1.394,1.4,SL,4.95,2
2025-10-27 11:00:00+00:00,2025-10-27 13:00:00+00:00,short,1.398,1.401,1.39,1.397,SL,4.75,2
2025-10-29 10:00:00+00:00,2025-10-29 12:00:00+00:00,short,1.393,1.395,1.388,1.393,SL,-3.36,2
2025-10-30 07:00:00+00:00,2025-10-30 09:00:00+00:00,short,1.393,1.395,1.386,1.393,SL,-3.33,2
2025-10-31 09:00:00+00:00,2025-10-31 11:00:00+00:00,long,1.4,1.398,1.407,1.401,SL,5.4,2
2025-11-03 10:00:00+00:00,2025-11-03 12:00:00+00:00,long,1.403,1.4,1.411,1.404,SL,9.2,2
2025-11-04 11:00:00+00:00,2025-11-04 13:00:00+00:00,long,1.407,1.405,1.412,1.407,SL,0.19,2
2025-11-05 11:00:00+00:00,2025-11-05 13:00:00+00:00,long,1.413,1.409,1.422,1.413,SL,4.96,2
2025-11-10 09:00:00+00:00,2025-11-10 11:00:00+00:00,short,1.401,1.405,1.392,1.4,SL,8.79,2
