entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-01 11:45:00+00:00,2025-07-01 12:30:00+00:00,short,1.36,1.361,1.356,1.36,SL,1.02,3
2025-07-02 10:00:00+00:00,2025-07-02 10:30:00+00:00,short,1.365,1.366,1.362,1.365,SL,3.63,2
2025-07-03 10:30:00+00:00,2025-07-03 11:00:00+00:00,short,1.359,1.36,1.356,1.359,SL,1.3,2
2025-07-04 11:00:00+00:00,2025-07-04 11:30:00+00:00,long,1.359,1.357,1.366,1.359,SL,-0.79,2
2025-07-07 10:00:00+00:00,2025-07-07 10:30:00+00:00,long,1.365,1.363,1.37,1.365,SL,6.77,2
2025-07-08 10:15:00+00:00,2025-07-08 10:45:00+00:00,short,1.365,1.366,1.361,1.364,SL,4.43,2
2025-07-09 10:30:00+00:00,2025-07-09 11:00:00+00:00,long,1.368,1.366,1.373,1.369,SL,10.3,2
2025-07-11 10:15:00+00:00,2025-07-11 10:45:00+00:00,short,1.369,1.37,1.365,1.369,SL,2.3,2
2025-07-14 11:00:00+00:00,2025-07-14 11:30:00+00:00,short,1.368,1.37,1.362,1.368,SL,-2.07,2
2025-07-15 11:00:00+00:00,2025-07-15 11:30:00+00:00,short,1.369,1.37,1.364,1.369,SL,0.05,2
2025-07-17 10:00:00+00:00,2025-07-17 10:45:00+00:00,long,1.373,1.371,1.378,1.374,SL,10.1,3
2025-07-18 10:45:00+00:00,2025-07-18 11:15:00+00:00,short,1.373,1.374,1.37,1.373,SL,9.47,2
2025-07-22 12:45:00+00:00,2025-07-22 13:15:00+00:00,short,1.368,1.37,1.363,1.367,SL,5.22,2
2025-07-23 10:00:00+00:00,2025-07-23 10:30:00+00:00,short,1.36,1.361,1.356,1.359,SL,6.6,2
2025-07-25 10:00:00+00:00,2025-07-25 11:00:00+00:00,long,1.366,1.365,1.37,1.367,SL,22.3,4
2025-07-28 10:45:00+00:00,2025-07-28 11:15:00+00:00,long,1.374,1.37,1.384,1.374,SL,0.8,2
2025-07-29 13:00:00+00:00,2025-07-29 13:30:00+00:00,long,1.375,1.373,1.38,1.375,SL,0.72,2
2025-07-30 12:00:00+00:00,2025-07-30 12:30:00+00:00,long,1.378,1.376,1.381,1.378,SL,8.97,2
2025-07-31 10:15:00+00:00,2025-07-31 10:45:00+00:00,long,1.383,1.381,1.388,1.383,SL,3.72,2
2025-08-01 11:15:00+00:00,2025-08-01 11:45:00+00:00,long,1.387,1.385,1.393,1.387,SL,0.88,2
2025-08-04 10:45:00+00:00,2025-08-04 11:15:00+00:00,long,1.378,1.377,1.383,1.378,SL,0.03,2
2025-08-05 11:00:00+00:00,2025-08-05 11:30:00+00:00,long,1.379,1.377,1.384,1.379,SL,0.26,2
2025-08-06 11:15:00+00:00,2025-08-06 11:45:00+00:00,long,1.377,1.376,1.381,1.377,SL,-2.41,2
2025-08-07 10:45:00+00:00,2025-08-07 11:15:00+00:00,short,1.372,1.373,1.369,1.372,SL,-1.33,2
2025-08-08 10:45:00+00:00,2025-08-08 11:15:00+00:00,short,1.373,1.375,1.369,1.373,SL,5.66,2
2025-08-11 10:00:00+00:00,2025-08-11 10:45:00+00:00,long,1.377,1.375,1.381,1.377,SL,4.02,3
2025-08-12 11:00:00+00:00,2025-08-12 11:30:00+00:00,long,1.379,1.377,1.382,1.379,SL,4.62,2
2025-08-13 10:15:00+00:00,2025-08-13 10:45:00+00:00,short,1.376,1.378,1.369,1.376,SL,-0.21,2
2025-08-14 10:30:00+00:00,2025-08-14 11:00:00+00:00,long,1.377,1.376,1.382,1.378,SL,4.01,2
2025-08-19 12:00:00+00:00,2025-08-19 12:30:00+00:00,long,1.382,1.38,1.386,1.382,SL,1.41,2
2025-08-20 11:45:00+00:00,2025-08-20 12:15:00+00:00,long,1.388,1.387,1.391,1.388,SL,-3.15,2
2025-08-27 10:00:00+00:00,2025-08-27 10:45:00+00:00,long,1.385,1.383,1.388,1.385,SL,8.58,3
2025-08-28 11:45:00+00:00,2025-08-28 12:15:00+00:00,short,1.378,1.379,1.375,1.377,SL,12.81,2
2025-08-29 11:30:00+00:00,2025-08-29 12:00:00+00:00,short,1.374,1.376,1.369,1.374,SL,0.37,2
2025-09-01 10:30:00+00:00,2025-09-01 11:00:00+00:00,long,1.375,1.374,1.379,1.375,SL,-2.54,2
2025-09-02 10:00:00+00:00,2025-09-02 10:30:00+00:00,long,1.376,1.374,1.379,1.377,SL,21.2,2
2025-09-03 10:15:00+00:00,2025-09-03 10:45:00+00:00,long,1.38,1.379,1.384,1.38,SL,-2.24,2
2025-09-04 12:15:00+00:00,2025-09-04 12:45:00+00:00,long,1.382,1.381,1.384,1.382,SL,3.24,2
2025-09-05 10:00:00+00:00,2025-09-05 10:30:00+00:00,short,1.38,1.381,1.377,1.38,SL,1.2,2
2025-09-08 12:00:00+00:00,2025-09-08 12:30:00+00:00,short,1.382,1.383,1.38,1.382,SL,5.78,2
2025-09-09 10:30:00+00:00,2025-09-09 11:00:00+00:00,long,1.381,1.379,1.385,1.381,SL,1.82,2
2025-09-10 11:15:00+00:00,2025-09-10 11:45:00+00:00,long,1.386,1.384,1.391,1.386,SL,0.32,2
2025-09-11 10:15:00+00:00,2025-09-11 10:45:00+00:00,long,1.388,1.387,1.391,1.388,SL,-0.7,2
2025-09-15 13:00:00+00:00,2025-09-15 13:30:00+00:00,short,1.383,1.384,1.38,1.382,SL,13.94,2
2025-09-16 10:15:00+00:00,2025-09-16 10:45:00+00:00,short,1.376,1.377,1.374,1.376,SL,-4.03,2
2025-09-17 10:00:00+00:00,2025-09-17 10:30:00+00:00,long,1.376,1.375,1.379,1.376,SL,1.64,2
2025-09-18 10:15:00+00:00,2025-09-18 10:45:00+00:00,short,1.378,1.38,1.374,1.378,SL,9.78,2
2025-09-22 10:45:00+00:00,2025-09-22 11:15:00+00:00,long,1.381,1.379,1.385,1.381,SL,-2.43,2
2025-09-24 10:00:00+00:00,2025-09-24 10:30:00+00:00,long,1.386,1.384,1.389,1.386,SL,0.62,2
2025-09-25 10:00:00+00:00,2025-09-25 10:30:00+00:00,long,1.39,1.389,1.392,1.39,SL,-3.33,2
2025-09-26 13:00:00+00:00,2025-09-26 13:45:00+00:00,long,1.396,1.394,1.4,1.396,SL,-0.93,3
2025-09-30 13:45:00+00:00,2025-09-30 14:15:00+00:00,long,1.392,1.391,1.396,1.392,SL,5.56,2
2025-10-01 10:15:00+00:00,2025-10-01 10:45:00+00:00,long,1.392,1.391,1.397,1.393,SL,4.86,2
2025-10-07 10:00:00+00:00,2025-10-07 10:30:00+00:00,long,1.396,1.395,1.398,1.396,SL,-0.33,2
2025-10-13 11:30:00+00:00,2025-10-13 12:00:00+00:00,long,1.401,1.399,1.405,1.4,SL,-2.87,2
2025-10-14 10:30:00+00:00,2025-10-14 11:00:00+00:00,long,1.406,1.404,1.412,1.406,SL,-1.54,2
2025-10-15 10:45:00+00:00,2025-10-15 11:15:00+00:00,long,1.404,1.403,1.408,1.404,SL,-0.24,2
2025-10-16 12:45:00+00:00,2025-10-16 13:15:00+00:00,long,1.404,1.403,1.407,1.404,SL,2.38,2
2025-10-17 10:15:00+00:00,2025-10-17 10:45:00+00:00,long,1.406,1.403,1.413,1.406,SL,0.39,2
2025-10-20 10:45:00+00:00,2025-10-20 11:15:00+00:00,long,1.403,1.401,1.407,1.403,SL,-1.8,2
2025-10-21 11:00:00+00:00,2025-10-21 11:30:00+00:00,long,1.406,1.405,1.41,1.406,SL,0.54,2
2025-10-22 10:00:00+00:00,2025-10-22 10:30:00+00:00,long,1.401,1.399,1.404,1.401,SL,0.33,2
2025-10-24 12:00:00+00:00,2025-10-24 12:45:00+00:00,long,1.402,1.401,1.406,1.402,SL,-1.08,3
2025-10-28 11:45:00+00:00,2025-10-28 12:15:00+00:00,long,1.4,1.399,1.404,1.4,SL,0.23,2
2025-10-29 10:15:00+00:00,2025-10-29 10:45:00+00:00,short,1.393,1.394,1.389,1.393,SL,2.64,2
2025-10-30 12:45:00+00:00,2025-10-30 13:15:00+00:00,long,1.395,1.393,1.401,1.395,SL,-2.21,2
2025-10-31 10:15:00+00:00,2025-10-31 10:45:00+00:00,long,1.4,1.399,1.404,1.4,SL,-1.42,2
2025-11-03 10:45:00+00:00,2025-11-03 11:15:00+00:00,long,1.403,1.401,1.408,1.403,SL,0.43,2
2025-11-04 11:45:00+00:00,2025-11-04 12:15:00+00:00,long,1.407,1.405,1.411,1.407,SL,0.11,2
2025-11-05 11:00:00+00:00,2025-11-05 12:30:00+00:00,long,1.412,1.411,1.415,1.413,SL,22.13,6
