entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-01 16:15:00+00:00,2025-07-01 16:45:00+00:00,long,1.363,1.36,1.369,1.364,SL,7.4,2
2025-07-02 19:00:00+00:00,2025-07-02 19:45:00+00:00,short,1.362,1.366,1.352,1.361,SL,5.3,3
2025-07-04 16:15:00+00:00,2025-07-04 16:45:00+00:00,long,1.361,1.359,1.366,1.361,SL,-2.42,2
2025-07-07 16:00:00+00:00,2025-07-07 16:30:00+00:00,short,1.365,1.366,1.361,1.364,SL,12.55,2
2025-07-08 16:00:00+00:00,2025-07-08 16:45:00+00:00,long,1.366,1.365,1.37,1.368,SL,20.24,3
2025-07-09 16:00:00+00:00,2025-07-09 16:30:00+00:00,short,1.369,1.371,1.362,1.368,SL,1.36,2
2025-07-10 16:15:00+00:00,2025-07-10 16:45:00+00:00,long,1.37,1.368,1.373,1.37,SL,6.4,2
2025-07-14 18:45:00+00:00,2025-07-14 19:15:00+00:00,long,1.37,1.367,1.376,1.369,SL,-1.41,2
2025-07-15 16:45:00+00:00,2025-07-15 17:15:00+00:00,long,1.37,1.367,1.377,1.371,SL,7.11,2
2025-07-16 16:15:00+00:00,2025-07-16 17:00:00+00:00,long,1.373,1.371,1.378,1.375,SL,20.91,3
2025-07-17 16:30:00+00:00,2025-07-17 17:00:00+00:00,short,1.375,1.378,1.368,1.375,SL,-0.43,2
2025-07-18 17:30:00+00:00,2025-07-18 18:00:00+00:00,long,1.373,1.37,1.379,1.372,SL,-2.03,2
2025-07-21 16:15:00+00:00,2025-07-21 16:45:00+00:00,long,1.371,1.369,1.374,1.371,SL,6.96,2
2025-07-22 17:00:00+00:00,2025-07-22 18:00:00+00:00,short,1.366,1.368,1.361,1.363,SL,38.1,4
2025-07-23 17:30:00+00:00,2025-07-23 18:00:00+00:00,long,1.362,1.358,1.373,1.362,SL,3.26,2
2025-07-24 16:15:00+00:00,2025-07-24 16:45:00+00:00,long,1.363,1.361,1.368,1.363,SL,0.82,2
2025-07-25 16:00:00+00:00,2025-07-25 16:30:00+00:00,long,1.371,1.367,1.38,1.371,SL,1.73,2
2025-07-28 16:00:00+00:00,2025-07-28 16:15:00+00:00,short,1.371,1.373,1.369,1.373,SL,-25.0,1
2025-07-29 16:15:00+00:00,2025-07-29 16:45:00+00:00,short,1.376,1.378,1.372,1.376,SL,3.15,2
2025-07-30 16:00:00+00:00,2025-07-30 16:30:00+00:00,long,1.381,1.378,1.388,1.381,SL,0.4,2
2025-07-31 16:30:00+00:00,2025-07-31 17:00:00+00:00,long,1.385,1.383,1.39,1.385,SL,-0.39,2
2025-08-04 21:45:00+00:00,2025-08-04 22:15:00+00:00,long,1.378,1.376,1.383,1.378,SL,-2.07,2
2025-08-05 16:30:00+00:00,2025-08-05 17:00:00+00:00,short,1.378,1.381,1.371,1.378,SL,-1.9,2
