entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2023-01-19 17:00:00+00:00,2023-01-19 19:00:00+00:00,long,1.349,1.346,1.357,1.349,SL,-2.01,2
2023-02-22 16:00:00+00:00,2023-02-22 18:00:00+00:00,long,1.354,1.352,1.36,1.355,SL,10.27,2
2023-03-02 18:00:00+00:00,2023-03-02 20:00:00+00:00,long,1.362,1.359,1.369,1.362,SL,0.61,2
2023-03-09 14:00:00+00:00,2023-03-09 15:00:00+00:00,long,1.38,1.378,1.385,1.378,SL,-30.0,1
2023-03-09 19:00:00+00:00,2023-03-09 21:00:00+00:00,long,1.379,1.377,1.386,1.38,SL,3.39,2
2023-03-10 20:00:00+00:00,2023-03-10 22:00:00+00:00,long,1.384,1.38,1.394,1.383,SL,-9.92,2
2023-04-20 19:00:00+00:00,2023-04-20 23:00:00+00:00,long,1.346,1.344,1.352,1.348,SL,19.36,4
2023-04-24 13:00:00+00:00,2023-04-24 15:00:00+00:00,long,1.354,1.352,1.359,1.354,SL,-2.62,2
2023-04-24 16:00:00+00:00,2023-04-24 18:00:00+00:00,long,1.355,1.352,1.36,1.354,SL,-6.4,2
2023-04-26 15:00:00+00:00,2023-04-26 17:00:00+00:00,long,1.363,1.36,1.368,1.362,SL,-3.1,2
2023-04-26 20:00:00+00:00,2023-04-26 22:00:00+00:00,long,1.363,1.36,1.369,1.364,SL,18.61,2
2023-05-26 15:00:00+00:00,2023-05-26 17:00:00+00:00,long,1.363,1.361,1.368,1.363,SL,4.02,2
2023-08-03 21:00:00+00:00,2023-08-03 23:00:00+00:00,long,1.335,1.333,1.341,1.335,SL,-1.68,2
2023-08-25 15:00:00+00:00,2023-08-25 17:00:00+00:00,long,1.359,1.357,1.364,1.36,SL,12.42,2
2023-08-25 22:00:00+00:00,2023-08-28 00:00:00+00:00,long,1.36,1.358,1.367,1.36,SL,-5.35,2
2023-09-05 17:00:00+00:00,2023-09-05 18:00:00+00:00,long,1.364,1.361,1.369,1.361,SL,-30.0,1
2023-09-05 20:00:00+00:00,2023-09-06 00:00:00+00:00,long,1.363,1.36,1.369,1.364,SL,11.84,4
2023-10-13 16:00:00+00:00,2023-10-13 17:00:00+00:00,long,1.367,1.365,1.372,1.365,SL,-30.0,1
2023-10-19 21:00:00+00:00,2023-10-20 00:00:00+00:00,long,1.372,1.369,1.379,1.371,SL,-7.84,3
2023-10-27 09:00:00+00:00,2023-10-27 11:00:00+00:00,long,1.382,1.38,1.387,1.382,SL,0.31,2
2023-11-17 18:00:00+00:00,2023-11-17 20:00:00+00:00,long,1.374,1.372,1.38,1.373,SL,-9.76,2
2024-02-14 15:00:00+00:00,2024-02-14 17:00:00+00:00,long,1.355,1.353,1.36,1.356,SL,7.09,2
2024-02-29 19:00:00+00:00,2024-02-29 21:00:00+00:00,long,1.358,1.356,1.363,1.357,SL,-7.18,2
2024-02-29 21:00:00+00:00,2024-02-29 23:00:00+00:00,long,1.358,1.356,1.363,1.357,SL,-8.49,2
2024-03-13 12:00:00+00:00,2024-03-13 14:00:00+00:00,long,1.349,1.348,1.352,1.349,SL,2.82,2
2024-03-13 15:00:00+00:00,2024-03-13 16:00:00+00:00,long,1.349,1.348,1.352,1.348,SL,-30.0,1
2024-03-15 15:00:00+00:00,2024-03-15 17:00:00+00:00,long,1.353,1.352,1.357,1.353,SL,-5.89,2
2024-03-15 18:00:00+00:00,2024-03-15 21:00:00+00:00,long,1.353,1.351,1.357,1.355,SL,25.2,3
2024-04-11 21:00:00+00:00,2024-04-12 01:00:00+00:00,long,1.368,1.366,1.375,1.368,SL,-2.81,4
2024-05-01 17:00:00+00:00,2024-05-01 19:00:00+00:00,long,1.377,1.375,1.381,1.377,SL,-3.47,2
2024-05-01 19:00:00+00:00,2024-05-01 21:00:00+00:00,long,1.377,1.375,1.381,1.377,SL,1.72,2
2024-06-10 19:00:00+00:00,2024-06-10 21:00:00+00:00,long,1.376,1.375,1.381,1.376,SL,-1.2,2
2024-06-10 22:00:00+00:00,2024-06-11 00:00:00+00:00,long,1.376,1.374,1.381,1.376,SL,-6.61,2
2024-07-02 13:00:00+00:00,2024-07-02 15:00:00+00:00,long,1.373,1.372,1.377,1.373,SL,-2.16,2
2024-07-24 19:00:00+00:00,2024-07-24 22:00:00+00:00,long,1.379,1.378,1.383,1.381,SL,33.93,3
2024-07-25 21:00:00+00:00,2024-07-26 00:00:00+00:00,long,1.382,1.38,1.387,1.382,SL,-2.72,3
2024-09-09 21:00:00+00:00,2024-09-09 23:00:00+00:00,long,1.356,1.354,1.36,1.356,SL,-1.59,2
2024-09-11 15:00:00+00:00,2024-09-11 18:00:00+00:00,long,1.36,1.358,1.363,1.362,SL,44.84,3
2024-11-11 19:00:00+00:00,2024-11-11 21:00:00+00:00,long,1.392,1.391,1.397,1.392,SL,1.55,2
2024-11-26 19:00:00+00:00,2024-11-26 21:00:00+00:00,long,1.408,1.404,1.419,1.408,SL,-1.88,2
