entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-02 10:00:00+00:00,2025-07-02 12:00:00+00:00,long,0.793,0.788,0.805,0.793,SL,-0.45,2
2025-07-04 07:00:00+00:00,2025-07-04 09:00:00+00:00,short,0.793,0.796,0.786,0.793,SL,2.31,2
2025-07-07 09:00:00+00:00,2025-07-07 11:00:00+00:00,long,0.795,0.793,0.801,0.796,SL,11.23,2
2025-07-08 10:00:00+00:00,2025-07-08 12:00:00+00:00,short,0.796,0.799,0.789,0.796,SL,-2.76,2
2025-07-15 10:00:00+00:00,2025-07-15 12:00:00+00:00,short,0.796,0.798,0.789,0.796,SL,1.24,2
2025-07-17 09:00:00+00:00,2025-07-17 11:00:00+00:00,long,0.805,0.8,0.817,0.805,SL,3.6,2
2025-07-23 08:00:00+00:00,2025-07-23 10:00:00+00:00,long,0.794,0.791,0.801,0.794,SL,-2.94,2
2025-07-24 09:00:00+00:00,2025-07-24 11:00:00+00:00,long,0.793,0.791,0.798,0.794,SL,5.62,2
2025-07-29 08:00:00+00:00,2025-07-29 10:00:00+00:00,long,0.804,0.801,0.812,0.806,SL,21.43,2
2025-07-31 09:00:00+00:00,2025-07-31 11:00:00+00:00,short,0.811,0.815,0.802,0.812,SL,-2.82,2
2025-08-01 10:00:00+00:00,2025-08-01 12:00:00+00:00,long,0.815,0.811,0.823,0.817,SL,18.54,2
2025-08-04 09:00:00+00:00,2025-08-04 11:00:00+00:00,long,0.808,0.802,0.821,0.809,SL,7.11,2
2025-08-07 09:00:00+00:00,2025-08-07 11:00:00+00:00,short,0.805,0.807,0.798,0.805,SL,0.01,2
2025-08-08 08:00:00+00:00,2025-08-08 10:00:00+00:00,long,0.808,0.805,0.814,0.808,SL,-1.8,2
2025-08-12 10:00:00+00:00,2025-08-12 12:00:00+00:00,short,0.81,0.813,0.803,0.809,SL,5.77,2
2025-08-13 09:00:00+00:00,2025-08-13 11:00:00+00:00,short,0.806,0.807,0.802,0.804,SL,42.84,2
2025-08-14 09:00:00+00:00,2025-08-14 11:00:00+00:00,long,0.806,0.803,0.814,0.807,SL,0.89,2
