entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-01 10:15:00+00:00,2025-07-01 10:45:00+00:00,short,0.791,0.793,0.788,0.791,SL,7.0,2
2025-07-02 10:15:00+00:00,2025-07-02 10:45:00+00:00,long,0.793,0.791,0.797,0.793,SL,0.83,2
2025-07-04 10:00:00+00:00,2025-07-04 10:45:00+00:00,long,0.794,0.792,0.797,0.794,SL,4.72,3
2025-07-07 10:15:00+00:00,2025-07-07 10:45:00+00:00,long,0.795,0.794,0.798,0.796,SL,5.55,2
2025-07-08 10:00:00+00:00,2025-07-08 10:30:00+00:00,short,0.796,0.798,0.792,0.796,SL,-1.71,2
2025-07-09 10:30:00+00:00,2025-07-09 11:00:00+00:00,long,0.797,0.796,0.801,0.797,SL,0.21,2
2025-07-10 11:30:00+00:00,2025-07-10 12:00:00+00:00,long,0.795,0.794,0.799,0.795,SL,-1.47,2
2025-07-11 10:15:00+00:00,2025-07-11 10:45:00+00:00,short,0.797,0.798,0.793,0.797,SL,-4.7,2
2025-07-15 10:15:00+00:00,2025-07-15 10:45:00+00:00,short,0.796,0.797,0.793,0.795,SL,2.15,2
2025-07-18 10:00:00+00:00,2025-07-18 10:30:00+00:00,short,0.803,0.804,0.8,0.803,SL,-1.27,2
2025-07-22 11:30:00+00:00,2025-07-22 12:00:00+00:00,short,0.797,0.799,0.792,0.797,SL,-1.73,2
2025-07-23 10:00:00+00:00,2025-07-23 10:30:00+00:00,short,0.792,0.794,0.786,0.792,SL,1.05,2
2025-07-24 10:30:00+00:00,2025-07-24 11:00:00+00:00,long,0.793,0.792,0.796,0.794,SL,5.43,2
2025-07-25 12:00:00+00:00,2025-07-25 12:30:00+00:00,long,0.797,0.795,0.802,0.797,SL,-1.72,2
2025-07-28 10:45:00+00:00,2025-07-28 11:15:00+00:00,long,0.799,0.796,0.807,0.799,SL,-0.74,2
2025-07-30 13:45:00+00:00,2025-07-30 14:15:00+00:00,long,0.806,0.805,0.81,0.806,SL,4.26,2
2025-07-31 10:15:00+00:00,2025-07-31 10:45:00+00:00,long,0.813,0.811,0.818,0.813,SL,-1.53,2
2025-08-01 11:00:00+00:00,2025-08-01 11:30:00+00:00,long,0.816,0.813,0.823,0.816,SL,2.05,2
2025-08-04 10:30:00+00:00,2025-08-04 11:00:00+00:00,long,0.809,0.804,0.82,0.809,SL,-1.01,2
2025-08-05 10:15:00+00:00,2025-08-05 10:45:00+00:00,short,0.809,0.81,0.805,0.809,SL,0.36,2
2025-08-06 10:00:00+00:00,2025-08-06 10:30:00+00:00,long,0.808,0.806,0.813,0.808,SL,0.72,2
2025-08-07 11:00:00+00:00,2025-08-07 11:30:00+00:00,long,0.806,0.804,0.81,0.807,SL,18.48,2
2025-08-08 10:15:00+00:00,2025-08-08 10:45:00+00:00,short,0.807,0.808,0.804,0.807,SL,7.95,2
2025-08-11 10:00:00+00:00,2025-08-11 10:45:00+00:00,long,0.807,0.806,0.81,0.808,SL,11.35,3
2025-08-12 10:15:00+00:00,2025-08-12 10:45:00+00:00,short,0.81,0.812,0.806,0.81,SL,2.85,2
2025-08-13 10:30:00+00:00,2025-08-13 11:00:00+00:00,short,0.804,0.807,0.797,0.804,SL,3.98,2
2025-08-14 11:30:00+00:00,2025-08-14 12:00:00+00:00,long,0.807,0.805,0.811,0.807,SL,-3.08,2
2025-08-15 10:00:00+00:00,2025-08-15 10:30:00+00:00,short,0.806,0.807,0.803,0.806,SL,-5.02,2
2025-08-18 10:45:00+00:00,2025-08-18 11:15:00+00:00,long,0.807,0.806,0.81,0.808,SL,15.26,2
2025-08-19 10:45:00+00:00,2025-08-19 11:15:00+00:00,short,0.806,0.808,0.801,0.806,SL,-2.59,2
2025-08-25 11:45:00+00:00,2025-08-25 12:15:00+00:00,short,0.802,0.803,0.798,0.802,SL,-3.8,2
2025-08-26 10:00:00+00:00,2025-08-26 10:30:00+00:00,long,0.807,0.805,0.811,0.807,SL,1.92,2
2025-08-27 10:00:00+00:00,2025-08-27 10:45:00+00:00,long,0.806,0.805,0.808,0.806,SL,11.25,3
2025-08-28 11:45:00+00:00,2025-08-28 12:15:00+00:00,short,0.801,0.802,0.799,0.801,SL,6.05,2
2025-08-29 10:15:00+00:00,2025-08-29 10:45:00+00:00,short,0.802,0.803,0.799,0.801,SL,16.34,2
2025-09-01 10:00:00+00:00,2025-09-01 10:30:00+00:00,long,0.8,0.799,0.803,0.8,SL,-4.51,2
2025-09-02 11:15:00+00:00,2025-09-02 11:45:00+00:00,long,0.804,0.801,0.812,0.804,SL,-0.55,2
2025-09-04 10:45:00+00:00,2025-09-04 11:15:00+00:00,long,0.805,0.804,0.809,0.805,SL,-3.2,2
2025-09-05 10:30:00+00:00,2025-09-05 11:00:00+00:00,short,0.804,0.805,0.802,0.804,SL,3.99,2
2025-09-08 10:15:00+00:00,2025-09-08 10:45:00+00:00,short,0.796,0.798,0.793,0.796,SL,6.04,2
