entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-01 17:00:00+00:00,2025-07-01 17:30:00+00:00,long,0.791,0.788,0.797,0.791,SL,-0.29,2
2025-07-04 16:30:00+00:00,2025-07-04 17:00:00+00:00,short,0.793,0.795,0.79,0.793,SL,1.79,2
2025-07-07 16:15:00+00:00,2025-07-07 16:45:00+00:00,short,0.797,0.799,0.793,0.797,SL,1.66,2
2025-07-08 16:00:00+00:00,2025-07-08 16:30:00+00:00,long,0.799,0.797,0.803,0.799,SL,2.05,2
2025-07-09 16:45:00+00:00,2025-07-09 17:30:00+00:00,short,0.795,0.798,0.789,0.794,SL,12.4,3
2025-07-10 16:30:00+00:00,2025-07-10 17:00:00+00:00,long,0.797,0.795,0.802,0.798,SL,6.41,2
2025-07-14 20:15:00+00:00,2025-07-14 20:45:00+00:00,long,0.798,0.795,0.804,0.798,SL,0.97,2
2025-07-15 16:30:00+00:00,2025-07-15 17:00:00+00:00,long,0.798,0.795,0.807,0.799,SL,6.28,2
2025-07-16 16:15:00+00:00,2025-07-16 16:45:00+00:00,long,0.805,0.802,0.811,0.805,SL,3.03,2
2025-07-18 16:15:00+00:00,2025-07-18 16:45:00+00:00,short,0.799,0.801,0.795,0.799,SL,-2.15,2
2025-07-21 17:00:00+00:00,2025-07-21 17:30:00+00:00,short,0.799,0.8,0.796,0.798,SL,4.22,2
2025-07-22 16:45:00+00:00,2025-07-22 17:15:00+00:00,short,0.796,0.798,0.791,0.796,SL,-0.11,2
2025-07-23 16:30:00+00:00,2025-07-23 17:00:00+00:00,long,0.795,0.793,0.8,0.795,SL,-2.12,2
2025-07-24 17:00:00+00:00,2025-07-24 17:30:00+00:00,short,0.793,0.796,0.786,0.793,SL,-0.68,2
2025-07-25 21:45:00+00:00,2025-07-25 22:15:00+00:00,short,0.795,0.798,0.787,0.795,SL,-0.94,2
2025-07-28 16:15:00+00:00,2025-07-28 16:45:00+00:00,long,0.802,0.8,0.807,0.803,SL,8.43,2
2025-07-29 16:00:00+00:00,2025-07-29 16:30:00+00:00,long,0.808,0.806,0.813,0.808,SL,-2.29,2
2025-08-04 18:45:00+00:00,2025-08-04 19:15:00+00:00,long,0.808,0.805,0.815,0.808,SL,0.66,2
