entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-11 11:00:00+00:00,2025-07-11 12:00:00+00:00,long,0.797,0.796,0.801,0.796,SL,-40.0,1
2025-07-16 21:00:00+00:00,2025-07-16 23:00:00+00:00,long,0.802,0.799,0.809,0.801,SL,-5.64,2
2025-07-23 21:00:00+00:00,2025-07-23 23:00:00+00:00,short,0.793,0.794,0.788,0.792,SL,8.67,2
2025-07-31 10:00:00+00:00,2025-07-31 12:00:00+00:00,long,0.812,0.81,0.818,0.813,SL,9.61,2
2025-07-31 15:00:00+00:00,2025-07-31 17:00:00+00:00,long,0.813,0.811,0.818,0.814,SL,14.14,2
2025-08-21 10:00:00+00:00,2025-08-21 12:00:00+00:00,short,0.805,0.806,0.801,0.805,SL,-8.07,2
2025-09-09 11:00:00+00:00,2025-09-09 13:00:00+00:00,short,0.793,0.795,0.789,0.793,SL,9.88,2
2025-09-12 13:00:00+00:00,2025-09-12 15:00:00+00:00,short,0.797,0.798,0.793,0.797,SL,-1.83,2
2025-09-18 10:00:00+00:00,2025-09-18 12:00:00+00:00,short,0.789,0.791,0.784,0.789,SL,-5.83,2
2025-09-18 12:00:00+00:00,2025-09-18 14:00:00+00:00,short,0.788,0.79,0.783,0.788,SL,-5.3,2
2025-09-29 15:00:00+00:00,2025-09-29 17:00:00+00:00,short,0.796,0.798,0.792,0.797,SL,-9.89,2
2025-10-10 12:00:00+00:00,2025-10-10 15:00:00+00:00,long,0.806,0.804,0.809,0.806,SL,9.32,3
2025-10-16 11:00:00+00:00,2025-10-16 13:00:00+00:00,short,0.797,0.798,0.793,0.797,SL,-2.67,2
2025-10-16 15:00:00+00:00,2025-10-16 17:00:00+00:00,short,0.797,0.798,0.793,0.797,SL,0.21,2
2025-10-17 16:00:00+00:00,2025-10-17 18:00:00+00:00,short,0.791,0.793,0.786,0.792,SL,-8.09,2
2025-10-28 17:00:00+00:00,2025-10-28 19:00:00+00:00,short,0.794,0.795,0.79,0.793,SL,18.54,2
2025-11-04 10:00:00+00:00,2025-11-04 12:00:00+00:00,long,0.808,0.807,0.811,0.808,SL,9.66,2
2025-12-12 13:00:00+00:00,2025-12-12 15:00:00+00:00,short,0.795,0.796,0.792,0.795,SL,-7.31,2
2025-12-12 16:00:00+00:00,2025-12-12 17:00:00+00:00,short,0.795,0.796,0.792,0.796,SL,-40.0,1
2025-12-23 17:00:00+00:00,2025-12-23 19:00:00+00:00,short,0.79,0.791,0.786,0.789,SL,11.96,2
