entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2023-01-06 07:00:00+00:00,2023-01-06 09:00:00+00:00,long,134.159,133.237,136.465,134.037,SL,-3.97,2
2023-01-09 11:00:00+00:00,2023-01-09 13:00:00+00:00,long,132.442,131.263,135.389,132.461,SL,0.48,2
2023-01-12 11:00:00+00:00,2023-01-12 15:00:00+00:00,short,130.956,132.584,126.885,130.788,SL,3.09,4
2023-01-13 08:00:00+00:00,2023-01-13 10:00:00+00:00,short,128.551,129.461,126.277,128.455,SL,3.17,2
2023-01-16 10:00:00+00:00,2023-01-16 12:00:00+00:00,long,128.718,127.176,132.573,128.626,SL,-1.8,2
2023-01-20 08:00:00+00:00,2023-01-20 10:00:00+00:00,long,129.166,128.319,131.283,129.051,SL,-4.08,2
2023-01-23 07:00:00+00:00,2023-01-23 09:00:00+00:00,long,129.854,129.008,131.969,130.021,SL,5.93,2
2023-01-24 08:00:00+00:00,2023-01-24 10:00:00+00:00,short,130.048,130.752,128.288,129.849,SL,8.49,2
2023-01-26 10:00:00+00:00,2023-01-26 12:00:00+00:00,long,129.809,128.995,131.845,129.857,SL,1.79,2
2023-02-07 08:00:00+00:00,2023-02-07 10:00:00+00:00,short,132.1,132.732,130.52,132.11,SL,-0.46,2
2023-02-08 11:00:00+00:00,2023-02-08 13:00:00+00:00,short,130.671,131.412,128.819,130.817,SL,-5.92,2
2023-02-09 09:00:00+00:00,2023-02-09 11:00:00+00:00,short,131.146,131.856,129.37,131.013,SL,5.6,2
2023-02-10 09:00:00+00:00,2023-02-10 11:00:00+00:00,short,130.448,131.92,126.769,129.967,SL,9.81,2
2023-02-13 08:00:00+00:00,2023-02-13 10:00:00+00:00,long,132.223,131.319,134.482,132.149,SL,-2.45,2
2023-02-14 07:00:00+00:00,2023-02-14 09:00:00+00:00,short,131.869,132.477,130.348,131.943,SL,-3.66,2
2023-02-15 08:00:00+00:00,2023-02-15 10:00:00+00:00,long,133.318,132.514,135.328,133.293,SL,-0.93,2
2023-02-28 10:00:00+00:00,2023-02-28 12:00:00+00:00,long,136.713,136.092,138.266,136.668,SL,-2.18,2
2023-03-02 09:00:00+00:00,2023-03-02 11:00:00+00:00,long,136.781,135.998,138.739,136.674,SL,-4.09,2
2023-03-06 11:00:00+00:00,2023-03-06 13:00:00+00:00,long,136.091,135.341,137.966,136.024,SL,-2.68,2
2023-03-09 08:00:00+00:00,2023-03-09 10:00:00+00:00,short,136.639,137.459,134.59,136.691,SL,-1.91,2
2023-03-14 11:00:00+00:00,2023-03-14 13:00:00+00:00,long,134.088,132.982,136.853,134.001,SL,-2.36,2
2023-03-15 11:00:00+00:00,2023-03-15 12:00:00+00:00,long,134.665,133.995,136.339,133.995,SL,-30.0,1
2023-03-20 09:00:00+00:00,2023-03-20 11:00:00+00:00,short,131.106,132.692,127.142,130.928,SL,3.37,2
2023-03-24 07:00:00+00:00,2023-03-24 09:00:00+00:00,short,130.1,130.974,127.916,130.221,SL,-4.14,2
2023-03-30 09:00:00+00:00,2023-03-30 11:00:00+00:00,short,132.36,132.911,130.982,132.315,SL,2.45,2
2023-04-11 10:00:00+00:00,2023-04-11 12:00:00+00:00,short,133.144,133.713,131.721,133.111,SL,1.76,2
2023-04-14 10:00:00+00:00,2023-04-14 12:00:00+00:00,short,132.228,132.764,130.888,132.274,SL,-2.56,2
2023-04-19 08:00:00+00:00,2023-04-19 10:00:00+00:00,long,134.443,133.936,135.711,134.66,SL,12.84,2
2023-04-21 08:00:00+00:00,2023-04-21 10:00:00+00:00,short,133.797,134.306,132.525,133.782,SL,0.89,2
2023-04-28 11:00:00+00:00,2023-04-28 13:00:00+00:00,long,135.634,133.293,141.487,135.988,SL,4.53,2
2023-05-02 07:00:00+00:00,2023-05-02 09:00:00+00:00,long,137.677,137.273,138.686,137.683,SL,0.45,2
2023-05-05 07:00:00+00:00,2023-05-05 09:00:00+00:00,short,133.967,134.373,132.953,133.996,SL,-2.16,2
2023-05-08 07:00:00+00:00,2023-05-08 09:00:00+00:00,short,134.744,135.319,133.307,134.786,SL,-2.17,2
2023-05-10 08:00:00+00:00,2023-05-10 10:00:00+00:00,long,135.337,135.049,136.057,135.394,SL,5.96,2
2023-05-11 10:00:00+00:00,2023-05-11 12:00:00+00:00,long,134.551,133.875,136.241,134.747,SL,8.71,2
2023-05-12 09:00:00+00:00,2023-05-12 11:00:00+00:00,long,134.795,134.383,135.825,134.815,SL,1.45,2
2023-05-15 08:00:00+00:00,2023-05-15 10:00:00+00:00,long,136.185,135.619,137.601,136.176,SL,-0.5,2
2023-05-17 07:00:00+00:00,2023-05-17 09:00:00+00:00,long,136.575,136.258,137.366,136.729,SL,14.63,2
2023-05-18 10:00:00+00:00,2023-05-18 12:00:00+00:00,long,137.812,137.265,139.179,137.841,SL,1.59,2
2023-06-05 09:00:00+00:00,2023-06-05 11:00:00+00:00,long,140.34,139.927,141.371,140.356,SL,1.17,2
2023-06-06 10:00:00+00:00,2023-06-06 12:00:00+00:00,short,139.301,139.676,138.364,139.215,SL,6.9,2
2023-06-09 08:00:00+00:00,2023-06-09 12:00:00+00:00,long,139.307,138.74,140.725,139.642,SL,17.71,4
2023-06-16 09:00:00+00:00,2023-06-16 11:00:00+00:00,long,140.973,139.823,143.847,141.26,SL,7.48,2
2023-06-21 10:00:00+00:00,2023-06-21 12:00:00+00:00,long,142.086,141.259,144.154,142.069,SL,-0.62,2
2023-06-22 11:00:00+00:00,2023-06-22 14:00:00+00:00,long,141.975,141.589,142.939,142.008,SL,2.6,3
2023-06-23 08:00:00+00:00,2023-06-23 10:00:00+00:00,long,143.386,142.787,144.884,143.344,SL,-2.12,2
2023-06-29 07:00:00+00:00,2023-06-29 09:00:00+00:00,long,144.582,144.115,145.751,144.515,SL,-4.32,2
2023-07-03 09:00:00+00:00,2023-07-03 11:00:00+00:00,long,144.736,144.203,146.07,144.755,SL,1.07,2
