entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-01-06 16:00:00+00:00,2025-01-15 16:00:00+00:00,long,157.29,156.136,160.175,156.136,SL,-30.0,168
2025-01-13 16:00:00+00:00,2025-01-15 10:00:00+00:00,long,157.351,156.811,158.702,156.811,SL,-30.0,42
2025-01-16 17:00:00+00:00,2025-01-20 01:00:00+00:00,short,155.424,156.457,152.84,156.457,SL,-30.0,32
2025-01-17 17:00:00+00:00,2025-01-20 16:00:00+00:00,long,156.106,155.467,157.704,155.467,SL,-30.0,23
2025-01-20 16:00:00+00:00,2025-01-22 18:00:00+00:00,short,155.548,156.548,153.047,156.548,SL,-30.0,50
2025-01-22 20:00:00+00:00,2025-01-24 05:00:00+00:00,long,156.573,155.664,158.846,155.664,SL,-30.0,33
2025-01-23 18:00:00+00:00,2025-01-24 15:00:00+00:00,short,156.001,156.491,154.776,156.491,SL,-30.0,21
2025-01-24 17:00:00+00:00,2025-02-05 04:00:00+00:00,short,155.728,156.691,153.32,153.32,TP,75.0,179
2025-01-27 21:00:00+00:00,2025-02-05 03:00:00+00:00,long,154.542,153.785,156.435,153.785,SL,-30.0,150
2025-01-29 19:00:00+00:00,2025-01-29 21:00:00+00:00,short,155.055,155.536,153.854,155.536,SL,-30.0,2
2025-01-30 18:00:00+00:00,2025-02-05 03:00:00+00:00,long,154.419,153.74,156.117,153.74,SL,-30.0,81
2025-01-31 16:00:00+00:00,2025-01-31 20:00:00+00:00,short,154.619,155.102,153.412,155.102,SL,-30.0,4
2025-02-03 20:00:00+00:00,2025-02-04 19:00:00+00:00,long,154.954,154.293,156.607,154.293,SL,-30.0,23
2025-02-04 18:00:00+00:00,2025-02-05 17:00:00+00:00,short,154.56,155.469,152.287,152.287,TP,75.0,23
2025-02-05 17:00:00+00:00,2025-02-12 02:00:00+00:00,short,152.139,153.211,149.46,153.211,SL,-30.0,105
2025-02-06 17:00:00+00:00,2025-02-12 01:00:00+00:00,short,151.688,152.619,149.36,152.619,SL,-30.0,80
2025-02-07 18:00:00+00:00,2025-02-11 17:00:00+00:00,short,151.305,152.538,148.223,152.538,SL,-30.0,47
2025-02-10 16:00:00+00:00,2025-02-11 13:00:00+00:00,short,151.636,152.169,150.303,152.169,SL,-30.0,21
2025-02-13 17:00:00+00:00,2025-02-20 03:00:00+00:00,short,153.13,154.103,150.698,150.698,TP,75.0,106
2025-02-17 17:00:00+00:00,2025-02-18 01:00:00+00:00,short,151.364,151.592,150.795,151.592,SL,-30.0,8
2025-02-20 17:00:00+00:00,2025-02-21 03:00:00+00:00,short,149.51,150.23,147.709,150.23,SL,-30.0,10
