entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2022-01-18 12:00:00+00:00,2022-01-18 14:00:00+00:00,long,114.745,114.517,115.314,114.7,SL,-7.82,2
2022-01-21 11:00:00+00:00,2022-01-21 14:00:00+00:00,short,113.966,114.164,113.471,113.84,SL,25.56,3
2022-02-14 20:00:00+00:00,2022-02-14 22:00:00+00:00,short,115.427,115.688,114.773,115.42,SL,1.03,2
2022-02-28 10:00:00+00:00,2022-02-28 12:00:00+00:00,long,115.561,115.347,116.096,115.551,SL,-1.83,2
2022-03-03 17:00:00+00:00,2022-03-03 19:00:00+00:00,long,115.636,115.483,116.019,115.638,SL,0.61,2
2022-03-07 10:00:00+00:00,2022-03-07 12:00:00+00:00,short,114.964,115.154,114.49,114.999,SL,-7.37,2
2022-03-15 17:00:00+00:00,2022-03-15 19:00:00+00:00,long,118.115,117.839,118.806,118.198,SL,11.98,2
2022-03-17 22:00:00+00:00,2022-03-18 00:00:00+00:00,long,118.644,118.418,119.208,118.622,SL,-3.92,2
2022-03-21 19:00:00+00:00,2022-03-21 21:00:00+00:00,long,119.265,119.107,119.66,119.434,SL,42.88,2
2022-03-23 17:00:00+00:00,2022-03-23 19:00:00+00:00,long,120.974,120.67,121.734,121.082,SL,14.24,2
2022-03-28 19:00:00+00:00,2022-03-28 22:00:00+00:00,long,123.4,122.796,124.909,123.578,SL,11.81,3
2022-05-13 09:00:00+00:00,2022-05-13 11:00:00+00:00,short,128.674,129.158,127.465,128.587,SL,7.22,2
2022-05-19 09:00:00+00:00,2022-05-19 11:00:00+00:00,short,128.574,128.94,127.66,128.055,SL,56.76,2
2022-05-25 09:00:00+00:00,2022-05-25 11:00:00+00:00,short,126.99,127.315,126.177,127.052,SL,-7.63,2
2022-05-31 11:00:00+00:00,2022-05-31 13:00:00+00:00,long,127.923,127.608,128.711,127.932,SL,1.13,2
2022-06-02 10:00:00+00:00,2022-06-02 12:00:00+00:00,long,129.895,129.631,130.556,129.914,SL,2.89,2
2022-06-02 16:00:00+00:00,2022-06-02 18:00:00+00:00,long,129.941,129.658,130.649,129.984,SL,6.12,2
2022-06-06 10:00:00+00:00,2022-06-06 12:00:00+00:00,long,130.771,130.497,131.457,130.771,SL,0.02,2
2022-06-09 17:00:00+00:00,2022-06-09 19:00:00+00:00,long,134.303,133.777,135.618,134.206,SL,-7.39,2
2022-06-20 12:00:00+00:00,2022-06-20 15:00:00+00:00,long,134.807,134.338,135.98,134.859,SL,4.44,3
2022-06-29 11:00:00+00:00,2022-06-29 13:00:00+00:00,long,136.179,135.849,137.004,136.468,SL,35.04,2
2022-07-01 13:00:00+00:00,2022-07-01 15:00:00+00:00,short,135.356,135.78,134.296,135.124,SL,21.91,2
2022-07-15 10:00:00+00:00,2022-07-15 12:00:00+00:00,long,138.916,138.553,139.824,138.855,SL,-6.68,2
2022-07-22 09:00:00+00:00,2022-07-22 11:00:00+00:00,short,137.721,138.078,136.828,137.581,SL,15.63,2
2022-07-29 17:00:00+00:00,2022-07-29 19:00:00+00:00,short,133.668,134.343,131.98,133.35,SL,18.83,2
2022-08-22 13:00:00+00:00,2022-08-22 15:00:00+00:00,long,137.035,136.691,137.894,137.031,SL,-0.43,2
2022-09-02 19:00:00+00:00,2022-09-02 21:00:00+00:00,long,140.228,139.826,141.233,140.17,SL,-5.81,2
2022-09-07 21:00:00+00:00,2022-09-08 00:00:00+00:00,long,144.133,143.608,145.446,144.037,SL,-7.31,2
2022-09-08 11:00:00+00:00,2022-09-08 13:00:00+00:00,long,144.039,143.461,145.484,144.017,SL,-1.49,2
2022-09-21 10:00:00+00:00,2022-09-21 12:00:00+00:00,long,143.743,143.416,144.561,143.765,SL,2.63,2
2022-10-03 15:00:00+00:00,2022-10-03 17:00:00+00:00,long,144.925,144.623,145.68,144.91,SL,-2.04,2
