entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2022-01-19 11:45:00+00:00,2022-01-19 15:15:00+00:00,long,1816.95,1814.818,1821.214,1821.214,TP,80.0,14
2022-01-21 10:30:00+00:00,2022-01-21 12:00:00+00:00,short,1832.65,1835.393,1827.165,1835.393,SL,-40.0,6
2022-01-26 13:45:00+00:00,2022-01-26 14:15:00+00:00,short,1843.16,1845.258,1838.963,1845.258,SL,-40.0,2
2022-01-28 10:00:00+00:00,2022-01-28 12:30:00+00:00,short,1793.72,1795.801,1789.557,1789.557,TP,80.0,10
2022-02-02 12:00:00+00:00,2022-02-02 15:15:00+00:00,long,1802.54,1800.437,1806.747,1806.747,TP,80.0,13
2022-02-03 12:45:00+00:00,2022-02-03 13:30:00+00:00,short,1803.16,1804.996,1799.487,1804.996,SL,-40.0,3
2022-02-04 12:00:00+00:00,2022-02-04 13:15:00+00:00,long,1813.3,1811.293,1817.313,1811.293,SL,-40.0,5
2022-02-08 09:15:00+00:00,2022-02-08 10:00:00+00:00,short,1817.39,1819.052,1814.065,1819.052,SL,-40.0,3
2022-02-15 10:30:00+00:00,2022-02-15 11:15:00+00:00,short,1861.57,1865.657,1853.396,1853.396,TP,80.0,3
2022-02-17 10:30:00+00:00,2022-02-17 15:30:00+00:00,long,1886.41,1881.459,1896.311,1896.311,TP,80.0,20
2022-02-22 10:15:00+00:00,2022-02-22 10:45:00+00:00,short,1904.36,1908.199,1896.682,1896.682,TP,80.0,2
2022-02-23 11:30:00+00:00,2022-02-23 12:15:00+00:00,short,1891.66,1894.632,1885.715,1894.632,SL,-40.0,3
2022-02-28 09:45:00+00:00,2022-02-28 12:15:00+00:00,short,1896.7,1902.773,1884.555,1902.773,SL,-40.0,10
2022-03-01 10:30:00+00:00,2022-03-01 12:15:00+00:00,long,1913.74,1910.897,1919.426,1919.426,TP,80.0,7
2022-03-02 12:45:00+00:00,2022-03-02 15:30:00+00:00,short,1926.28,1933.655,1911.531,1933.655,SL,-40.0,11
