entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-01-03 11:00:00+00:00,2025-01-03 22:00:00+00:00,short,2653.49,2659.411,2638.687,2638.687,TP,100.0,11
2025-01-06 17:00:00+00:00,2025-01-07 08:00:00+00:00,short,2634.19,2646.282,2603.961,2646.282,SL,-40.0,14
2025-01-07 14:00:00+00:00,2025-01-07 15:00:00+00:00,short,2651.6,2657.457,2636.958,2657.457,SL,-40.0,1
2025-01-07 17:00:00+00:00,2025-01-08 16:00:00+00:00,long,2647.62,2641.177,2663.727,2663.727,TP,100.0,22
2025-01-15 16:00:00+00:00,2025-01-16 10:00:00+00:00,long,2681.99,2673.666,2702.801,2702.801,TP,100.0,17
2025-01-15 16:00:00+00:00,2025-01-15 22:00:00+00:00,long,2681.99,2676.246,2696.351,2696.351,TP,100.0,6
2025-01-16 09:00:00+00:00,2025-01-16 10:00:00+00:00,short,2698.17,2699.006,2696.08,2699.006,SL,-40.0,1
2025-01-16 14:00:00+00:00,2025-01-16 15:00:00+00:00,long,2703.65,2700.587,2711.309,2711.309,TP,100.0,1
2025-01-17 09:00:00+00:00,2025-01-17 11:00:00+00:00,long,2710.51,2704.892,2724.556,2704.892,SL,-40.0,2
2025-01-17 09:00:00+00:00,2025-01-17 18:00:00+00:00,short,2710.51,2716.528,2695.464,2716.528,SL,-40.0,9
2025-01-20 09:00:00+00:00,2025-01-21 03:00:00+00:00,short,2703.48,2713.419,2678.632,2713.419,SL,-40.0,15
2025-01-20 09:00:00+00:00,2025-01-20 11:00:00+00:00,short,2703.48,2708.209,2691.657,2708.209,SL,-40.0,2
2025-01-22 09:00:00+00:00,2025-01-23 11:00:00+00:00,long,2748.62,2741.661,2766.017,2741.661,SL,-40.0,25
2025-01-22 13:00:00+00:00,2025-01-22 16:00:00+00:00,long,2756.4,2750.787,2770.432,2750.787,SL,-40.0,3
2025-01-23 16:00:00+00:00,2025-01-23 18:00:00+00:00,short,2746.2,2753.744,2727.339,2753.744,SL,-40.0,2
2025-01-23 22:00:00+00:00,2025-01-24 04:00:00+00:00,long,2753.81,2746.455,2772.197,2772.197,TP,100.0,5
2025-01-24 10:00:00+00:00,2025-01-27 04:00:00+00:00,long,2774.14,2759.745,2810.127,2759.745,SL,-40.0,17
2025-01-27 09:00:00+00:00,2025-01-27 10:00:00+00:00,short,2749.36,2758.639,2726.163,2758.639,SL,-40.0,1
2025-01-27 10:00:00+00:00,2025-01-27 12:00:00+00:00,long,2757.13,2752.33,2769.13,2769.13,TP,100.0,2
2025-01-28 09:00:00+00:00,2025-01-28 11:00:00+00:00,short,2738.97,2742.268,2730.726,2742.268,SL,-40.0,2
2025-01-28 11:00:00+00:00,2025-01-28 15:00:00+00:00,short,2743.36,2747.816,2732.219,2747.816,SL,-40.0,4
2025-01-29 09:00:00+00:00,2025-01-29 10:00:00+00:00,long,2759.05,2757.936,2761.834,2761.834,TP,100.0,1
2025-01-29 09:00:00+00:00,2025-01-29 10:00:00+00:00,short,2759.05,2762.334,2750.841,2762.334,SL,-40.0,1
2025-01-30 14:00:00+00:00,2025-01-30 17:00:00+00:00,long,2780.17,2773.94,2795.744,2795.744,TP,100.0,3
2025-01-30 19:00:00+00:00,2025-02-03 01:00:00+00:00,long,2795.55,2786.082,2819.221,2786.082,SL,-40.0,28
2025-01-31 19:00:00+00:00,2025-01-31 20:00:00+00:00,long,2808.43,2797.488,2835.786,2797.488,SL,-40.0,1
2025-01-31 20:00:00+00:00,2025-02-03 01:00:00+00:00,long,2798.96,2791.764,2816.951,2791.764,SL,-40.0,4
