entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-07-01 10:00:00+00:00,2025-07-01 10:30:00+00:00,long,3336.19,3323.927,3366.848,3337.667,SL,2.3,2
2025-07-02 13:45:00+00:00,2025-07-02 14:15:00+00:00,long,3344.3,3328.81,3383.026,3346.56,SL,3.08,2
2025-07-03 10:15:00+00:00,2025-07-03 11:00:00+00:00,short,3356.15,3364.796,3334.536,3353.456,SL,6.78,3
2025-07-04 10:00:00+00:00,2025-07-04 10:30:00+00:00,short,3338.91,3345.909,3321.412,3337.409,SL,4.11,2
2025-07-07 10:30:00+00:00,2025-07-07 11:00:00+00:00,short,3306.67,3316.569,3281.922,3301.979,SL,10.96,2
2025-07-08 12:30:00+00:00,2025-07-08 13:00:00+00:00,short,3324.14,3337.158,3291.594,3322.228,SL,3.0,2
2025-07-09 11:45:00+00:00,2025-07-09 12:15:00+00:00,short,3284.97,3293.981,3262.443,3285.671,SL,-2.92,2
2025-07-10 11:45:00+00:00,2025-07-10 12:15:00+00:00,long,3328.62,3319.873,3350.488,3329.263,SL,0.84,2
2025-07-11 13:15:00+00:00,2025-07-11 13:45:00+00:00,long,3345.73,3330.892,3382.826,3346.922,SL,1.42,2
2025-07-14 10:15:00+00:00,2025-07-14 10:45:00+00:00,long,3374.61,3355.219,3423.087,3373.589,SL,-1.77,2
2025-07-15 10:45:00+00:00,2025-07-15 11:15:00+00:00,long,3364.29,3356.64,3383.414,3364.71,SL,0.23,2
2025-07-17 10:30:00+00:00,2025-07-17 11:00:00+00:00,short,3327.88,3340.941,3295.228,3326.321,SL,2.31,2
2025-07-18 10:30:00+00:00,2025-07-18 11:00:00+00:00,long,3347.88,3330.807,3390.562,3349.077,SL,1.24,2
2025-07-21 10:45:00+00:00,2025-07-21 11:15:00+00:00,short,3364.7,3371.645,3347.337,3363.935,SL,1.49,2
2025-07-22 10:15:00+00:00,2025-07-22 10:45:00+00:00,short,3383.73,3388.642,3371.451,3384.082,SL,-3.57,2
2025-07-24 10:45:00+00:00,2025-07-24 11:15:00+00:00,short,3367.61,3381.069,3333.961,3367.189,SL,0.13,2
2025-07-25 10:30:00+00:00,2025-07-25 11:00:00+00:00,short,3353.48,3360.572,3335.749,3354.102,SL,-3.43,2
2025-07-29 11:45:00+00:00,2025-07-29 12:15:00+00:00,long,3326.31,3314.91,3354.809,3325.12,SL,-3.38,2
2025-07-30 11:30:00+00:00,2025-07-30 12:00:00+00:00,long,3329.86,3322.06,3349.36,3332.37,SL,6.92,2
2025-07-31 11:00:00+00:00,2025-07-31 11:30:00+00:00,long,3308.16,3296.74,3336.711,3313.45,SL,10.81,2
2025-08-01 13:45:00+00:00,2025-08-01 14:15:00+00:00,long,3298.22,3289.448,3320.15,3300.128,SL,4.44,2
2025-08-05 10:15:00+00:00,2025-08-05 10:45:00+00:00,long,3374.16,3364.786,3397.595,3374.546,SL,0.1,2
2025-08-06 11:30:00+00:00,2025-08-06 12:00:00+00:00,short,3366.32,3379.527,3333.301,3365.737,SL,0.44,2
2025-08-07 10:15:00+00:00,2025-08-07 10:45:00+00:00,long,3392.19,3373.993,3437.683,3395.133,SL,3.56,2
2025-08-11 10:00:00+00:00,2025-08-11 10:30:00+00:00,short,3362.98,3378.448,3324.31,3364.158,SL,-2.47,2
2025-08-12 10:30:00+00:00,2025-08-12 11:00:00+00:00,long,3355.45,3340.885,3391.861,3355.885,SL,0.15,2
2025-08-13 12:00:00+00:00,2025-08-13 12:30:00+00:00,long,3359.23,3347.739,3387.958,3362.219,SL,5.74,2
2025-08-14 10:00:00+00:00,2025-08-14 10:30:00+00:00,long,3362.57,3354.972,3381.566,3364.032,SL,3.66,2
2025-08-18 10:00:00+00:00,2025-08-18 10:30:00+00:00,long,3353.66,3344.95,3375.436,3354.47,SL,1.32,2
2025-08-20 11:15:00+00:00,2025-08-20 11:45:00+00:00,short,3321.54,3326.718,3308.594,3321.648,SL,-2.21,2
2025-08-21 13:45:00+00:00,2025-08-21 14:15:00+00:00,short,3328.37,3340.738,3297.451,3326.058,SL,3.97,2
