entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2025-01-06 12:00:00+00:00,2025-01-06 15:00:00+00:00,long,2633.65,2623.438,2659.18,2623.438,SL,-30.0,3
2025-01-07 10:00:00+00:00,2025-01-07 15:00:00+00:00,long,2642.63,2636.202,2658.699,2658.699,TP,75.0,5
2025-01-10 10:00:00+00:00,2025-01-10 15:00:00+00:00,long,2680.05,2672.123,2699.868,2672.123,SL,-30.0,5
2025-01-14 10:00:00+00:00,2025-01-14 11:00:00+00:00,long,2670.96,2665.436,2684.769,2665.436,SL,-30.0,1
2025-01-15 11:00:00+00:00,2025-01-15 16:00:00+00:00,long,2685.82,2678.57,2703.946,2678.57,SL,-30.0,5
2025-01-16 11:00:00+00:00,2025-01-20 01:00:00+00:00,long,2705.42,2691.767,2739.551,2691.767,SL,-30.0,36
2025-01-17 11:00:00+00:00,2025-01-17 18:00:00+00:00,short,2705.01,2715.987,2677.567,2715.987,SL,-30.0,7
2025-01-21 11:00:00+00:00,2025-01-21 16:00:00+00:00,short,2721.15,2734.833,2686.943,2734.833,SL,-30.0,5
2025-01-22 11:00:00+00:00,2025-01-23 11:00:00+00:00,long,2758.37,2744.621,2792.743,2744.621,SL,-30.0,23
2025-01-23 11:00:00+00:00,2025-01-23 18:00:00+00:00,short,2745.86,2756.118,2720.215,2756.118,SL,-30.0,7
2025-01-24 12:00:00+00:00,2025-01-24 18:00:00+00:00,long,2775.77,2770.305,2789.433,2770.305,SL,-30.0,6
2025-01-27 10:00:00+00:00,2025-01-27 16:00:00+00:00,long,2757.13,2745.354,2786.57,2745.354,SL,-30.0,6
2025-01-28 11:00:00+00:00,2025-01-28 20:00:00+00:00,long,2743.36,2736.644,2760.149,2760.149,TP,75.0,9
2025-01-29 10:00:00+00:00,2025-01-29 14:00:00+00:00,long,2763.97,2756.221,2783.344,2756.221,SL,-30.0,4
2025-01-30 10:00:00+00:00,2025-01-31 15:00:00+00:00,long,2776.12,2763.425,2807.858,2807.858,TP,75.0,28
2025-02-03 10:00:00+00:00,2025-02-04 15:00:00+00:00,long,2796.69,2783.011,2830.889,2830.889,TP,75.0,28
2025-02-04 10:00:00+00:00,2025-02-04 16:00:00+00:00,long,2815.1,2805.021,2840.297,2840.297,TP,75.0,6
2025-02-05 10:00:00+00:00,2025-02-06 10:00:00+00:00,long,2867.53,2852.825,2904.293,2852.825,SL,-30.0,23
2025-02-06 13:00:00+00:00,2025-02-06 16:00:00+00:00,long,2865.92,2852.787,2898.753,2852.787,SL,-30.0,3
2025-02-07 10:00:00+00:00,2025-02-07 15:00:00+00:00,long,2866.35,2858.482,2886.02,2858.482,SL,-30.0,5
2025-02-10 11:00:00+00:00,2025-02-11 15:00:00+00:00,long,2902.99,2884.466,2949.301,2884.466,SL,-30.0,27
2025-02-11 11:00:00+00:00,2025-02-13 07:00:00+00:00,short,2903.2,2921.39,2857.726,2921.39,SL,-30.0,42
2025-02-12 11:00:00+00:00,2025-02-12 18:00:00+00:00,short,2886.68,2898.043,2858.272,2898.043,SL,-30.0,7
2025-02-13 10:00:00+00:00,2025-02-13 20:00:00+00:00,short,2911.66,2922.857,2883.669,2922.857,SL,-30.0,10
2025-02-14 10:00:00+00:00,2025-02-14 14:00:00+00:00,long,2935.26,2928.731,2951.582,2928.731,SL,-30.0,4
2025-02-19 10:00:00+00:00,2025-02-19 17:00:00+00:00,long,2938.64,2928.468,2964.07,2928.468,SL,-30.0,7
2025-02-20 10:00:00+00:00,2025-02-20 14:00:00+00:00,long,2954.46,2944.384,2979.65,2944.384,SL,-30.0,4
2025-02-26 10:00:00+00:00,2025-02-26 16:00:00+00:00,long,2917.97,2903.069,2955.222,2903.069,SL,-30.0,6
2025-02-27 10:00:00+00:00,2025-02-28 16:00:00+00:00,short,2881.34,2898.998,2837.194,2837.194,TP,75.0,29
2025-02-28 10:00:00+00:00,2025-03-03 01:00:00+00:00,short,2856.06,2867.608,2827.189,2867.608,SL,-30.0,14
2025-03-03 10:00:00+00:00,2025-03-04 09:00:00+00:00,long,2868.62,2857.643,2896.063,2896.063,TP,75.0,22
2025-03-04 12:00:00+00:00,2025-03-10 20:00:00+00:00,long,2914.64,2884.388,2990.271,2884.388,SL,-30.0,100
2025-03-10 10:00:00+00:00,2025-03-10 20:00:00+00:00,short,2908.34,2916.746,2887.326,2887.326,TP,75.0,10
2025-03-11 11:00:00+00:00,2025-03-13 17:00:00+00:00,long,2910.04,2891.075,2957.452,2957.452,TP,75.0,52
