entry_time,exit_time,side,entry,sl,tp,exit,outcome,pnl,bars_to_exit
2022-01-17 17:30:00+00:00,2022-01-18 03:30:00+00:00,short,1818.61,1821.668,1810.966,1820.604,SL,-16.31,26
2022-01-19 17:00:00+00:00,2022-01-20 07:00:00+00:00,long,1837.11,1816.97,1887.46,1838.729,SL,2.01,52
2022-01-21 16:00:00+00:00,2022-01-21 17:00:00+00:00,long,1842.1,1833.663,1863.192,1838.241,SL,-11.43,4
2022-01-24 17:00:00+00:00,2022-01-24 17:45:00+00:00,short,1832.74,1843.916,1804.801,1835.584,SL,-6.36,3
2022-01-25 16:45:00+00:00,2022-01-25 17:15:00+00:00,long,1850.34,1837.279,1882.992,1846.015,SL,-8.28,2
2022-01-26 16:00:00+00:00,2022-01-26 16:30:00+00:00,short,1840.42,1848.664,1819.809,1836.11,SL,13.07,2
2022-01-27 17:45:00+00:00,2022-01-28 14:15:00+00:00,short,1796.48,1810.659,1761.033,1788.016,SL,14.92,78
2022-01-28 16:15:00+00:00,2022-01-28 16:45:00+00:00,short,1783.64,1793.647,1758.622,1788.941,SL,-13.24,2
2022-01-31 19:00:00+00:00,2022-02-01 15:15:00+00:00,long,1798.5,1788.84,1822.65,1803.771,SL,13.64,77
2022-02-01 16:30:00+00:00,2022-02-01 17:30:00+00:00,short,1801.21,1809.467,1780.567,1802.578,SL,-4.14,4
2022-02-02 17:30:00+00:00,2022-02-02 22:30:00+00:00,long,1808.09,1800.378,1827.369,1805.492,SL,-8.42,20
2022-02-03 16:30:00+00:00,2022-02-03 17:00:00+00:00,short,1795.89,1805.364,1772.204,1793.462,SL,6.41,2
2022-02-07 19:45:00+00:00,2022-02-08 07:00:00+00:00,long,1820.05,1811.177,1842.233,1819.872,SL,-0.5,41
2022-02-08 17:30:00+00:00,2022-02-09 15:30:00+00:00,long,1826.38,1816.854,1850.196,1828.384,SL,5.26,84
2022-02-09 18:30:00+00:00,2022-02-09 22:15:00+00:00,long,1833.01,1825.283,1852.327,1831.554,SL,-4.71,15
2022-02-11 18:45:00+00:00,2022-02-11 21:00:00+00:00,long,1836.95,1824.26,1868.676,1855.367,SL,36.28,9
2022-02-14 17:00:00+00:00,2022-02-14 18:15:00+00:00,long,1867.14,1852.308,1904.22,1864.731,SL,-4.06,5
2022-02-15 16:00:00+00:00,2022-02-15 16:30:00+00:00,long,1855.93,1843.532,1886.925,1849.631,SL,-12.7,2
2022-02-16 16:30:00+00:00,2022-02-16 20:45:00+00:00,long,1863.83,1850.793,1896.423,1865.642,SL,3.47,17
2022-02-17 19:00:00+00:00,2022-02-18 03:30:00+00:00,long,1897.99,1884.598,1931.471,1895.311,SL,-5.0,30
2022-02-18 17:30:00+00:00,2022-02-18 19:15:00+00:00,short,1891.43,1900.898,1867.761,1896.952,SL,-14.58,7
2022-02-21 20:15:00+00:00,2022-02-21 21:00:00+00:00,long,1901.35,1893.46,1921.075,1901.308,SL,-0.13,3
2022-02-22 17:15:00+00:00,2022-02-22 18:15:00+00:00,short,1896.71,1906.922,1871.181,1900.54,SL,-9.38,4
2022-02-23 16:45:00+00:00,2022-02-23 22:15:00+00:00,long,1905.92,1895.233,1932.637,1905.27,SL,-1.52,22
2022-02-24 16:15:00+00:00,2022-02-24 17:15:00+00:00,short,1954.05,1968.807,1917.157,1917.157,TP,62.5,4
2022-02-25 18:30:00+00:00,2022-02-25 22:00:00+00:00,short,1885.5,1899.218,1851.205,1892.625,SL,-12.98,14
2022-02-28 17:30:00+00:00,2022-02-28 21:00:00+00:00,short,1908.09,1919.744,1878.955,1900.875,SL,15.48,14
2022-03-01 16:30:00+00:00,2022-03-01 17:15:00+00:00,long,1922.54,1911.202,1950.886,1919.134,SL,-7.51,3
